name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Balluff BFB0001- Fiber-Based Devices For Plastic And Glass Fibers, Series 21M PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Luminescence Sensors,,BLT0009,BLT,BLT0009,,50571.43,Piece,Each,1,Our BLT luminescence sensors (with UV light sensor) detect objects that a human cannot see without help. They are useful for detecting invisibly marked products or lubricants that were previously enriched with luminescent particles.,,,,,,Series,21M,Dimension,12 x 50 x 42.5 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of Operation,Luminescence Sensor,Principle of Optical Operation,"Diffuse Sensor, Focused",Light Type,Ultraviolet light,Light Spot Size,1.5 mm at 10 mm,Range,0...40 mm,Connection,"Connector, M12x1-Male, 4-pin",Housing material,"Zinc, Die casting, Powder coated Aluminium",Operating voltage Ub,10...30 VDC,1716373209-Product-BLT0009.PNG,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=149596&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BFB0003- Fiber-Based Devices For Plastic And Glass Fibers, Series 75K NPN normally (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Fiber-Based Devices For Plastic And Glass Fibers,,BFB0001,BFB,BFB0001,,14849.42,Piece,Each,1,"BFB fiber-based devices for plastic and glass fibers from Balluff are used when a conventional optical sensor would be too large or too rigid for the application. They can be combined with plastic or glass fiber optics for a complete sensor so that, depending on the application, the maximum amount of flexibility is available to you.Our large selection of plastic fiber optics can be used especially when requirements for robustness or resistance to environmental temperatures or chemicals are not too ideal. We do, however, have high-temperature-resistant fibers available in our range of products. With glass fiber optics, we also offer tread-resistant, temperature-resistant, and chemical-resistant variants.",,,,,,Series,75K,Dimension,10.4 x 35.4 x 79.3 mm,Interface,NPN normally open/normally closed (NO/NC),Principle of Operation,Fiber Optic Device,Operating Voltage Ub,10...30 VDC,Light Type,"LED, red light",Connection,"Cable, 2.00 m, PVC",Housing material,ABS,Switching Frequency,1500 Hz,,,,,1716373221-Product-BFB0001.PNG,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=153183&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BFB0004- Fiber-Based Devices For Plastic And Glass Fibers, Series 75K PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Fiber-Based Devices For Plastic And Glass Fibers,,BFB0003,BFB,BFB0003,,13973.62,Piece,Each,1,"BFB fiber-based devices for plastic and glass fibers from Balluff are used when a conventional optical sensor would be too large or too rigid for the application. They can be combined with plastic or glass fiber optics for a complete sensor so that, depending on the application, the maximum amount of flexibility is available to you.Our large selection of plastic fiber optics can be used especially when requirements for robustness or resistance to environmental temperatures or chemicals are not too ideal. We do, however, have high-temperature-resistant fibers available in our range of products. With glass fiber optics, we also offer tread-resistant, temperature-resistant, and chemical-resistant variants.",,,,,,Series,75K,Dimension,10.4 x 35.4 x 79.3 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of Operation,Fiber Optic Device,Operating Voltage Ub,10...30 VDC,Light Type,"LED, red light",Connection,"Cable, 2.00 m, PVC",Housing material,ABS,Switching Frequency,1500 Hz,,,,,1716373234-Product-BFB0003.PNG,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=153181&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BFB0005- Fiber-Based Devices For Plastic And Glass Fibers, Series 75K PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Fiber-Based Devices For Plastic And Glass Fibers,,BFB0004,BFB,BFB0004,,13973.62,Piece,Each,1,"BFB fiber-based devices for plastic and glass fibers from Balluff are used when a conventional optical sensor would be too large or too rigid for the application. They can be combined with plastic or glass fiber optics for a complete sensor so that, depending on the application, the maximum amount of flexibility is available to you.Our large selection of plastic fiber optics can be used especially when requirements for robustness or resistance to environmental temperatures or chemicals are not too ideal. We do, however, have high-temperature-resistant fibers available in our range of products. With glass fiber optics, we also offer tread-resistant, temperature-resistant, and chemical-resistant variants.",,,,,,Series,75K,Dimension,10.4 x 35.4 x 84 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of Operation,Fiber Optic Device,Operating Voltage Ub,10...30 VDC,Light Type,"LED, red light",Connection,"Connector, M8x1-Male, 4-pin",Housing material,ABS,Switching Frequency,1500 Hz,,,,,1716373247-Product-BFB0004.PNG,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=153180&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BFB0006- Fiber-Based Devices For Plastic And Glass Fibers, Series 75K NPN (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Fiber-Based Devices For Plastic And Glass Fibers,,BFB0005,BFB,BFB0005,,23513.9,Piece,Each,1,"BFB fiber-based devices for plastic and glass fibers from Balluff are used when a conventional optical sensor would be too large or too rigid for the application. They can be combined with plastic or glass fiber optics for a complete sensor so that, depending on the application, the maximum amount of flexibility is available to you.Our large selection of plastic fiber optics can be used especially when requirements for robustness or resistance to environmental temperatures or chemicals are not too ideal. We do, however, have high-temperature-resistant fibers available in our range of products. With glass fiber optics, we also offer tread-resistant, temperature-resistant, and chemical-resistant variants.",,,,,,Series,75K,Dimension,10.4 x 35.4 x 84 mm,Interface,NPN normally open/normally closed (NO/NC),Principle of Operation,Fiber Optic Device,Operating Voltage Ub,10...30 VDC,Light Type,"LED, red light",Connection,"Connector, M8x1-Male, 4-pin",Housing material,ABS,Switching Frequency,8000 Hz /1000 Hz/125 Hz,,,,,1716373260-Product-BFB0005.PNG,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=153185&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BFB0007- Fiber-Based Devices For Plastic And Glass Fibers, Series 75K PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Fiber-Based Devices For Plastic And Glass Fibers,,BFB0006,BFB,BFB0006,,23513.9,Piece,Each,1,"BFB fiber-based devices for plastic and glass fibers from Balluff are used when a conventional optical sensor would be too large or too rigid for the application. They can be combined with plastic or glass fiber optics for a complete sensor so that, depending on the application, the maximum amount of flexibility is available to you.Our large selection of plastic fiber optics can be used especially when requirements for robustness or resistance to environmental temperatures or chemicals are not too ideal. We do, however, have high-temperature-resistant fibers available in our range of products. With glass fiber optics, we also offer tread-resistant, temperature-resistant, and chemical-resistant variants.",,,,,,Series,75K,Dimension,10.4 x 35.4 x 84 mm,Interface,PNP normally open/normally closed (NO/NC),Principle of Operation,Fiber Optic Device,Operating Voltage Ub,10...30 VDC,Light Type,"LED, red light",Connection,"Connector, M8x1-Male, 4-pin",Housing material,ABS,Switching Frequency,8000 Hz /1000 Hz/125 Hz,,,,,1716373273-Product-BFB0006.PNG,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=153184&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BFB0008- Fiber-Based Devices For Plastic And Glass Fibers, Series 75K Analog, voltage 0-10 V NPN NO/NC",Balluff,Sensors,Photoelectric Sensors,Fiber-Based Devices For Plastic And Glass Fibers,,BFB0007,BFB,BFB0007,,25132.8,Piece,Each,1,"BFB fiber-based devices for plastic and glass fibers from Balluff are used when a conventional optical sensor would be too large or too rigid for the application. They can be combined with plastic or glass fiber optics for a complete sensor so that, depending on the application, the maximum amount of flexibility is available to you.Our large selection of plastic fiber optics can be used especially when requirements for robustness or resistance to environmental temperatures or chemicals are not too ideal. We do, however, have high-temperature-resistant fibers available in our range of products. With glass fiber optics, we also offer tread-resistant, temperature-resistant, and chemical-resistant variants.",,,,,,Series,75K,Dimension,10.4 x 35.4 x 79.3 mm,Interface,"Analog, voltage 0-10 V NPN NO/NC",Principle of Operation,Fiber Optic Device,Operating Voltage Ub,10...30 VDC,Light Type,"LED, red light",Connection,"Cable, 2.00 m, PVC",Housing material,ABS,Switching Frequency,8000 Hz /1000 Hz/125 Hz,,,,,1716373284-Product-BFB0007.PNG,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=153187&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BFB0009- Fiber-Based Devices For Plastic And Glass Fibers, Series 75K PNP NO/NC Analog, voltage 0-10 V",Balluff,Sensors,Photoelectric Sensors,Fiber-Based Devices For Plastic And Glass Fibers,,BFB0008,BFB,BFB0008,,25132.8,Piece,Each,1,"BFB fiber-based devices for plastic and glass fibers from Balluff are used when a conventional optical sensor would be too large or too rigid for the application. They can be combined with plastic or glass fiber optics for a complete sensor so that, depending on the application, the maximum amount of flexibility is available to you.Our large selection of plastic fiber optics can be used especially when requirements for robustness or resistance to environmental temperatures or chemicals are not too ideal. We do, however, have high-temperature-resistant fibers available in our range of products. With glass fiber optics, we also offer tread-resistant, temperature-resistant, and chemical-resistant variants.",,,,,,Series,75K,Dimension,10.4 x 35.4 x 79.3 mm,Interface,"PNP NO/NC Analog, voltage 0-10 V",Principle of Operation,Fiber Optic Device,Operating Voltage Ub,10...30 VDC,Light Type,"LED, red light",Connection,"Cable, 2.00 m, PVC",Housing material,ABS,Switching Frequency,8000 Hz /1000 Hz/125 Hz,,,,,1716373296-Product-BFB0008.PN,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=153186&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BFB000C- Fiber-Based Devices For Plastic And Glass Fibers, Series 18M 2x PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Fiber-Based Devices For Plastic And Glass Fibers,,BFB0009,BFB,BFB0009,,13814.38,Piece,Each,1,"BFB fiber-based devices for plastic and glass fibers from Balluff are used when a conventional optical sensor would be too large or too rigid for the application. They can be combined with plastic or glass fiber optics for a complete sensor so that, depending on the application, the maximum amount of flexibility is available to you.Our large selection of plastic fiber optics can be used especially when requirements for robustness or resistance to environmental temperatures or chemicals are not too ideal. We do, however, have high-temperature-resistant fibers available in our range of products. With glass fiber optics, we also offer tread-resistant, temperature-resistant, and chemical-resistant variants.",,,,,,Series,18M,Dimension,18 x 75 mm,Interface,2x PNP normally open/normally closed (NO/NC),Principle of Operation,Photoelectric Sensor,Operating Voltage Ub,10...30 VDC,Light Type,"LED, red light",Connection,"Connector-Male, 4-pin",Housing material,"Brass, nickel-plated",Switching Frequency,1000 Hz,,,,,1716373308-Product-BFB0009.PNG,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=265754&con=en&ws=appoval,,,,,,,,1,1-2 days,
"Balluff BOS00JJ- Fiber-Based Devices For Plastic And Glass Fibers, Series 18M 2x PNP (NO/NC)",Balluff,Sensors,Photoelectric Sensors,Fiber-Based Devices For Plastic And Glass Fibers,,BFB000C,BFB,BFB000C,,14331.27,Piece,Each,1,"BFB fiber-based devices for plastic and glass fibers from Balluff are used when a conventional optical sensor would be too large or too rigid for the application. They can be combined with plastic or glass fiber optics for a complete sensor so that, depending on the application, the maximum amount of flexibility is available to you.Our large selection of plastic fiber optics can be used especially when requirements for robustness or resistance to environmental temperatures or chemicals are not too ideal. We do, however, have high-temperature-resistant fibers available in our range of products. With glass fiber optics, we also offer tread-resistant, temperature-resistant, and chemical-resistant variants.",,,,,,Series,18M,Dimension,18 x 75 mm,Interface,2x PNP normally open/normally closed (NO/NC),Principle of Operation,Photoelectric Sensor,Operating Voltage Ub,10...30 VDC,Light Type,LED infrared,Connection,"Connector-Male, 4-pin",Housing material,"Brass, nickel-plated",Switching Frequency,1000 Hz,,,,,1716373344-Product-BFB000C.PNG,,,18%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://publications.balluff.com/pdfengine/pdf?type=pdb&id=265753&con=en&ws=appoval,,,,,,,,1,1-2 days,
