name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Schneider Electric LC1E0601M7- EasyPact TVS Power Contactor 6 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Factory Automation,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E0601M7,,LC1E0601M7,1355,,,,,,,,,,,Ampere/Current Rating,(6 A),Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,,,18%,,,,,,,,,1,1-2 days,
"Schneider Electric LC1E0901M7- Easypact TVS Power Contactor 9 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Factory Automation,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E0901M7,,LC1E0901M7,1390,,,,,,,,,,,Ampere/Current Rating,(9 A),Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,,,18%,,,,,,,,,1,1-2 days,
"Schneider Electric LC1E0910M7- EasyPact TVS Power Contactor 9 A, 3 Pole, 220 V AC, 1 NO, AC3 Duty",Schneider Electric,Factory Automation,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E0910M7,,LC1E0910M7,1390,,,,,,,,,,,Ampere/Current Rating,(9 A),Auxiliary Contact,1 NO,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,,,18%,,,,,,,,,1,1-2 days,
"Schneider Electric LC1E1201M7- EasyPact TVS Power Contactor 12 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Factory Automation,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E1201M7,,LC1E1201M7,1585,,,,,,,,,,,Ampere/Current Rating,(12 A),Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,,,18%,,,,,,,,,1,1-2 days,
"Schneider Electric LC1E1210M7- EasyPact TVS Power Contactor 12 A, 3 Pole, 220 V AC, 1 NO, AC3 Duty",Schneider Electric,Factory Automation,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E1210M7,,LC1E1210M7,1585,,,,,,,,,,,Ampere/Current Rating,(12 A),Auxiliary Contact,1 NO,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,,,18%,,,,,,,,,1,1-2 days,
"Schneider Electric LC1E1801M7- Easypact TVS Power Contactor 18 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Factory Automation,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E1801M7,,LC1E1801M7,1830,,,,,,,,,,,Ampere/Current Rating,18 A,Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,,,18%,,,,,,,,,1,1-2 days,
"Schneider Electric LC1E1810M7- EasyPact TVS Power Contactor 18 A, 3 Pole, 220 V AC, 1 NO, AC3 Duty",Schneider Electric,Factory Automation,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E1810M7,,LC1E1810M7,1830,,,,,,,,,,,Ampere/Current Rating,18 A,Auxiliary Contact,1 NO,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,,,18%,,,,,,,,,1,1-2 days,
"Schneider Electric LC1E2501M7- EasyPact TVS Power Contactor 25 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Factory Automation,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E2501M7,,LC1E2501M7,2495,,,,,,,,,,,Ampere/Current Rating,25 A,Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716551521-Product-Screenshot 2024-05-24 172148.png,,,18%,,,,,,,,,1,1-2 days,
"Schneider Electric LC1E2510M7- EasyPact TVS Power Contactor 25 A, 3 Pole, 220 V AC, 1 NO, AC3 Duty",Schneider Electric,Factory Automation,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E2510M7,,LC1E2510M7,2495,,,,,,,,,,,Ampere/Current Rating,25 A,Auxiliary Contact,1 NO,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,,,18%,,,,,,,,,1,1-2 days,
"Schneider Electric LC1E3201M7- EasyPact TVS Power Contactor 32 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Factory Automation,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E3201M7,,LC1E3201M7,5225,,,,,,,,,,,Ampere/Current Rating,32 A,Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716551794-Product-Screenshot 2024-05-24 172622.png,,,18%,,,,,,,,,1,1-2 days,
