name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Schneider Electric LRE03- EasyPact TVS Thermal Overload Relay 0.25 - 0.4 A, Direct & Independent Mounting, For Use With E06 to E38 Contacor",Schneider Electric,Factory Automation,Relay,Thermal Overload Relay,"Direct & Independent Mounting, For Use With E06 to E38 Contacor",LRE03,,LRE03,,2285,Piece,Each,1,,,,,,,Mounting Type,Direct & Independent Mounting,Operating Type,Thermal,Overload Range,0.25 - 0.4 A,Reset Type,Class 10,,,,,,,,,,,,,,,1716881797-Product-Screenshot 2024-05-28 130623.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric LRE04- EasyPact TVS Thermal Overload Relay 0.4 - 0.63 A, Direct & Independent Mounting, For Use With E06 to E38 Contacor",Schneider Electric,Factory Automation,Relay,Thermal Overload Relay,"Direct & Independent Mounting, For Use With E06 to E38 Contacor",LRE04,,LRE04,,2285,Piece,Each,1,,,,,,,Mounting Type,Direct & Independent Mounting,Operating Type,Thermal,Overload Range,0.4 - 0.63 A,Reset Type,Class 10,,,,,,,,,,,,,,,1716881797-Product-Screenshot 2024-05-28 130623.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric LRE05- EasyPact TVS Thermal Overload Relay 0.63 - 1 A, Direct & Independent Mounting, For Use With E06 to E38 Contacor",Schneider Electric,Factory Automation,Relay,Thermal Overload Relay,"Direct & Independent Mounting, For Use With E06 to E38 Contacor",LRE05,,LRE05,,2285,Piece,Each,1,,,,,,,Mounting Type,Direct & Independent Mounting,Operating Type,Thermal,Overload Range,0.63 - 1 A,Reset Type,Class 10,,,,,,,,,,,,,,,1716886343-Product-Screenshot 2024-05-28 142212.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric LRE06- EasyPact TVS Thermal Overload Relay 1 - 1.6 A, Direct & Independent Mounting, For Use With E06 to E38 Contacor",Schneider Electric,Factory Automation,Relay,Thermal Overload Relay,"Direct & Independent Mounting, For Use With E06 to E38 Contacor",LRE06,,LRE06,,2285,Piece,Each,1,,,,,,,Mounting Type,Direct & Independent Mounting,Operating Type,Thermal,Overload Range,1 - 1.6 A,Reset Type,Class 10,,,,,,,,,,,,,,,1716886343-Product-Screenshot 2024-05-28 142212.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric LRE07- EasyPact TVS Thermal Overload Relay 1.6 - 2.5 A, Direct & Independent Mounting, For Use With E06 to E38 Contacor",Schneider Electric,Factory Automation,Relay,Thermal Overload Relay,"Direct & Independent Mounting, For Use With E06 to E38 Contacor",LRE07,,LRE07,,2285,Piece,Each,1,,,,,,,Mounting Type,Direct & Independent Mounting,Operating Type,Thermal,Overload Range,1.6 - 2.5 A,Reset Type,Class 10,,,,,,,,,,,,,,,1716886343-Product-Screenshot 2024-05-28 142212.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric EasyPact TVS Thermal Overload Relay 2.5 - 4 A, Direct & Independent Mounting, For Use With E06 to E38 Contacor | LRE08",Schneider Electric,Factory Automation,Relay,Thermal Overload Relay,"Direct & Independent Mounting, For Use With E06 to E38 Contacor",LRE08,,LRE08,,2285,Piece,Each,1,,,,,,,Mounting Type,Direct & Independent Mounting,Operating Type,Thermal,Overload Range,2.5 - 4 A,Reset Type,Class 10,,,,,,,,,,,,,,,1716886343-Product-Screenshot 2024-05-28 142212.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric LRE10- EasyPact TVS Thermal Overload Relay 4 - 6 A, Direct & Independent Mounting, For Use With E06 to E38 Contacor",Schneider Electric,Factory Automation,Relay,Thermal Overload Relay,"Direct & Independent Mounting, For Use With E06 to E38 Contacor",LRE10,,LRE10,,2285,Piece,Each,1,,,,,,,Mounting Type,Direct & Independent Mounting,Operating Type,Thermal,Overload Range,4 - 6 A,Reset Type,Class 10,,,,,,,,,,,,,,,1716886343-Product-Screenshot 2024-05-28 142212.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric LRE12- EasyPact TVS Thermal Overload Relay 5.5 - 8 A, Direct & Independent Mounting, For Use With E09 to E38 Contacor",Schneider Electric,Factory Automation,Relay,Thermal Overload Relay,"Direct & Independent Mounting, For Use With E09 to E38 Contacor",LRE12,,LRE12,,2285,Piece,Each,1,,,,,,,Mounting Type,Direct & Independent Mounting,Operating Type,Thermal,Overload Range,5.5 - 8 A,Reset Type,Class 10,,,,,,,,,,,,,,,1716886343-Product-Screenshot 2024-05-28 142212.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric LRE14- EasyPact TVS Thermal Overload Relay 7 - 10 A, Direct & Independent Mounting, For Use With E09 to E38 Contacor",Schneider Electric,Factory Automation,Relay,Thermal Overload Relay,"Direct & Independent Mounting, For Use With E09 to E38 Contacor",LRE14,,LRE14,,2285,Piece,Each,1,,,,,,,Mounting Type,Direct & Independent Mounting,Operating Type,Thermal,Overload Range,7 - 10 A,Reset Type,Class 10,,,,,,,,,,,,,,,1716886343-Product-Screenshot 2024-05-28 142212.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric LRE16- EasyPact TVS Thermal Overload Relay 9 - 13 A, Direct & Independent Mounting, For Use With E12 to E38 Contacor",Schneider Electric,Factory Automation,Relay,Thermal Overload Relay,"Direct & Independent Mounting, For Use With E12 to E38 Contacor",LRE16,,LRE16,,2285,Piece,Each,1,,,,,,,Mounting Type,Direct & Independent Mounting,Operating Type,Thermal,Overload Range,9 - 13 A,Reset Type,Class 10,,,,,,,,,,,,,,,1716886343-Product-Screenshot 2024-05-28 142212.png,,,18%,,,,,,,,,1,1-2 Days,
