name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Schneider Electric GZ1E01- EasyPact TVS GZ1-E MPCB With Pushbutton Control 0.1 - 0.16 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E01,GZ1-E,GZ1E01,,4130,Piece,Each,1,,,,,,,Current Rating,0.16 A,Breaking Capacity,100 kA,Overload Range,0.1 - 0.16 A,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E02- EasyPact TVS GZ1-E MPCB With Pushbutton Control 0.16 - 0.25 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E02,GZ1-E,GZ1E02,,4130,Piece,Each,1,,,,,,,Current Rating,0.25 A,Breaking Capacity,100 kA,Overload Range,0.16 - 0.25,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E03- EasyPact TVS GZ1-E MPCB With Pushbutton Control 0.25 - 0.4 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E03,GZ1-E,GZ1E03,,4130,Piece,Each,1,,,,,,,Current Rating,0.4 A,Breaking Capacity,100 kA,Overload Range,0.25 - 0.40,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E04- EasyPact TVS GZ1-E MPCB With Pushbutton Control 0.4 - 0.63 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E04,GZ1-E,GZ1E04,,4810,Piece,Each,1,,,,,,,Current Rating,0.63 A,Breaking Capacity,100 kA,Overload Range,0.40 - 0.63,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E05- EasyPact TVS GZ1-E MPCB With Pushbutton Control 0.63 - 1 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E05,GZ1-E,GZ1E05,,4810,Piece,Each,1,,,,,,,Current Rating,(1 A),Breaking Capacity,100 kA,Overload Range,0.63 – 1.0,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E06- EasyPact TVS GZ1-E MPCB With Pushbutton Control 1 - 1.6 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E06,GZ1-E,GZ1E06,,4710,Piece,Each,1,,,,,,,Current Rating,1.6 A,Breaking Capacity,100 kA,Overload Range,1.0 – 1.6,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E07- EasyPact TVS GZ1-E MPCB With Pushbutton Control 1.6 - 2.5 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E07,GZ1-E,GZ1E07,,4710,Piece,Each,1,,,,,,,Current Rating,2.5 A,Breaking Capacity,100 kA,Overload Range,1.6 – 2.5,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E08- EasyPact TVS GZ1-E MPCB With Pushbutton Control 2.5 - 4 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E08,GZ1-E,GZ1E08,,4895,Piece,Each,1,,,,,,,Current Rating,(4 A),Breaking Capacity,100 kA,Overload Range,2.5 – 4,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E10- EasyPact TVS GZ1-E MPCB With Pushbutton Control 4 - 6.3 A, 100 kA, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E10,GZ1-E,GZ1E10,,4895,Piece,Each,1,,,,,,,Current Rating,6.3 A,Breaking Capacity,100 kA,Overload Range,4 – 6.3,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E14- EasyPact TVS GZ1-E MPCB With Pushbutton Control 6 - 10 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E14,GZ1-E,GZ1E14,,5215,Piece,Each,1,,,,,,,Current Rating,(10 A),Breaking Capacity,100 kA,Overload Range,6 – 10,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E16- EasyPact TVS GZ1-E MPCB With Pushbutton Control 9 - 14 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E16,GZ1-E,GZ1E16,,5880,Piece,Each,1,,,,,,,Current Rating,(14 A),Breaking Capacity,10 kA,Overload Range,9 – 14,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E20- EasyPact TVS GZ1-E MPCB With Pushbutton Control 13 - 18 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E20,GZ1-E,GZ1E20,,6395,Piece,Each,1,,,,,,,Current Rating,(18 A),Breaking Capacity,10 kA,Overload Range,13 – 18,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E21- EasyPact TVS GZ1-E MPCB With Pushbutton Control 17 - 23 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E21,GZ1-E,GZ1E21,,6740,Piece,Each,1,,,,,,,Current Rating,(23 A),Breaking Capacity,10 kA,Overload Range,17 – 23,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
"Schneider Electric GZ1E22- EasyPact TVS GZ1-E MPCB With Pushbutton Control 20 - 25 A, Thermal Magnetic, O/L & S/C",Schneider Electric,Factory Automation,Low Voltage Switch Gear,MPCB,GZ1-E Thermal Magnetic - With Pushbutton Control,GZ1E22,GZ1-E,GZ1E22,,7080,Piece,Each,1,,,,,,,Current Rating,(25 A),Breaking Capacity,10 kA,Overload Range,20 – 25,Protection Type,O/L & S/C,Rated Voltage (V),415V AC,Release Type,Thermal Magnetic,Type,Pushbutton Control,,,,,,,,,1717046229-Product-Screenshot 2024-05-30 104653.png,,,18%,,,,,,,,,1,1-2 Days,
