c1_category,c2_category,leaf_category
Servo System,Servo Amplifier,"Motor Power up to 1kW, 400V, RJ, EtherCAT"
Servo System,Servo Amplifier,"Motor Power up to 2kW, 400V, RJ, EtherCAT"
Servo System,Servo Amplifier,"Motor Power up to 3.5kW, 400V, RJ, EtherCAT"
PLC,Compact PLC,Main Unit
PLC,Compact PLC,Main Unit
PLC,Compact PLC,Main Unit
PLC,Compact PLC,Main Unit
PLC,Compact PLC,Main Unit
PLC,Compact PLC,Main Unit
PLC,Compact PLC,Analogue I/O Module
PLC,Compact PLC,Analogue I/O Module
PLC,Compact PLC,Digital I/O Module
PLC,Compact PLC,Digital I/O Module
PLC,Compact PLC,Digital I/O Module
