name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi HG-KN13J- Servomotor HG-KN, 100W, Torque 0.32 Nm, max. torque 0.95 Nm",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-KN13J,HG-KN,HG-KN13J,25550,12775,Piece,Each,1,"Mitsubishi HG-KN13J- Servomotor HG-KN, 100W, Torque 0.32 Nm, max. torque 0.95 Nm",,,,,,Rated Voltage,200 V AC,Protective Structure,IP65,Rated Output Capacity,0.1 kW,Moment of inertia J [x10-4 kg m2],0.088,Peak Running Range (Nm),0.95,Rated Torque (Nm),0.32,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),4500,Brake,No,,,,,1717134068-Product-Screenshot 2024-05-31 111005.png,,85012000,18%,,,,,43mm,40mm,114mm,0.57kg,1,1-2 Days,
"Mitsubishi HG-KN23K- Servomotor HG-KN, 200W, Torque 0.64 Nm, max. torque 1.9 Nm, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-KN23K,HG-KN,HG-KN23K,32150,16075,Piece,Each,1,"Mitsubishi HG-KN23K- Servomotor HG-KN, 200W, Torque 0.64 Nm, max. torque 1.9 Nm, Key-way",,,,,,Rated Voltage,200 V AC,Protective Structure,IP65,Rated Output Capacity,0.2 kW,Moment of inertia J [x10-4 kg m2],0.24,Peak Running Range (Nm),1.9,Rated Torque (Nm),0.64,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),4500,Brake,No,,,,,1717135056-Product-Screenshot 2024-05-31 112725.png,,85012000,18%,,,,,60mm,60mm,106.6mm,0.91kg,1,1-2 Days,
"Mitsubishi HG-KN43K- Servomotor HG-KN, 400W, Torque 1.3 Nm, max. torque 3.8 Nm, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-KN43K,HG-KN,HG-KN43K,45300,22650,Piece,Each,1,"Mitsubishi HG-KN43K- Servomotor HG-KN, 400W, Torque 1.3 Nm, max. torque 3.8 Nm, Key-way",,,,,,Rated Voltage,200 V AC,Protective Structure,IP65,Rated Output Capacity,0.4 kW,Moment of inertia J [x10-4 kg m2],0.42,Peak Running Range (Nm),3.8,Rated Torque (Nm),1.3,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),4500,Brake,No,,,,,1717135175-Product-Screenshot 2024-05-31 112927.png,,85012000,18%,,,,,60mm,60mm,128.3mm,1.4kg,1,1-2 Days,
"Mitsubishi HG-KN73JK- Servomotor HG-KN, 750W, Torque 2.4 Nm, max. torque 7.2 Nm, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-KN73JK,HG-KN,HG-KN73JK,53350,26675,Piece,Each,1,"Mitsubishi HG-KN73JK- Servomotor HG-KN, 750W, Torque 2.4 Nm, max. torque 7.2 Nm, Key-way",,,,,,Rated Voltage,200 V AC,Protective Structure,IP65,Rated Output Capacity,0.75 kW,Moment of inertia J [x10-4 kg m2],1.43,Peak Running Range (Nm),7.2,Rated Torque (Nm),2.4,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),4500,Brake,No,,,,,1717135273-Product-Screenshot 2024-05-31 113105.png,,85012000,18%,,,,,80mm,80mm,162.2mm,3kg,1,1-2 Days,
"Mitsubishi HG-SN52JK- Servomotor HG-SN, 500W; Torque 2.4 Nm, max. torque 7.2 Nm, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SN52JK,HG-SN,HG-SN52JK,50200,25100,Piece,Each,1,"Mitsubishi HG-SN52JK- Servomotor HG-SN, 500W; Torque 2.4 Nm, max. torque 7.2 Nm, Key-way",,,,,,Rated Voltage,200 V AC,Protective Structure,IP67,Rated Output Capacity,0.5 kW,Moment of inertia J [x10-4 kg m2],6.1,Peak Running Range (Nm),7.16,Rated Torque (Nm),2.39,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717135334-Product-Screenshot 2024-05-31 113202.png,,85012000,18%,,,,,130mm,"173,5mm","173,5mm",4.8kg,1,1-2 Days,
"Mitsubishi HG-SN102JK- Servomotor HG-SN, 1kW; Torque 4.8 Nm, max. torque 14.3 Nm, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SN102JK,HG-SN,HG-SN102JK,59450,29725,Piece,Each,1,"Mitsubishi HG-SN102JK- Servomotor HG-SN, 1kW; Torque 4.8 Nm, max. torque 14.3 Nm, Key-way",,,,,,Rated Voltage,200 V AC,Protective Structure,IP67,Rated Output Capacity,1 kW,Moment of inertia J [x10-4 kg m2],11.9,Peak Running Range (Nm),14.3,Rated Torque (Nm),4.77,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717136529-Product-Screenshot 2024-05-31 115200.png,,85012000,18%,,,,,130mm,177.5mm,187.5mm,6.2kg,1,1-2 Days,
"Mitsubishi HG-SN152JK- Servomotor HG-SN, 1.5kW; Torque 7.2 Nm, max. torque 21.5 Nm, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SN152JK,HG-SN,HG-SN152JK,86750,43375,Piece,Each,1,"Mitsubishi HG-SN152JK- Servomotor HG-SN, 1.5kW; Torque 7.2 Nm, max. torque 21.5 Nm, Key-way",,,,,,Rated Voltage,200 V AC,Protective Structure,IP67,Rated Output Capacity,1.5 kW,Moment of inertia J [x10-4 kg m2],17.8,Peak Running Range (Nm),21.5,Rated Torque (Nm),7.16,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717136529-Product-Screenshot 2024-05-31 115200.png,,85012000,18%,,,,,130mm,177.5mm,201.5mm,7.3kg,1,1-2 Days,
"Mitsubishi HG-SN202JK- Servomotor HG-SN, 2kW; Torque 9.6 Nm, max. torque 28.6 Nm, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SN202JK,HG-SN,HG-SN202JK,98300,49150,Piece,Each,1,"Mitsubishi HG-SN202JK- Servomotor HG-SN, 2kW; Torque 9.6 Nm, max. torque 28.6 Nm, Key-way",,,,,,Rated Voltage,200 V AC,Protective Structure,IP67,Rated Output Capacity,2 kW,Moment of inertia J [x10-4 kg m2],38.3,Peak Running Range (Nm),28.6,Rated Torque (Nm),9.55,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717136529-Product-Screenshot 2024-05-31 115200.png,,85012000,18%,,,,,176mm,228.9mm,217.5mm,11kg,1,1-2 Days,
"Mitsubishi HG-SN302JK- Servomotor HG-SN, 3kW; Torque 14.3 Nm, max. torque 42.9 Nm, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SN302JK,HG-SN,HG-SN302JK,116450,58225,Piece,Each,1,"Mitsubishi HG-SN302JK- Servomotor HG-SN, 3kW; Torque 14.3 Nm, max. torque 42.9 Nm, Key-way",,,,,,Rated Voltage,200 V AC,Protective Structure,IP67,Rated Output Capacity,3 kW,Moment of inertia J [x10-4 kg m2],58.5,Peak Running Range (Nm),42.9,Rated Torque (Nm),14.3,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717136529-Product-Screenshot 2024-05-31 115200.png,,85012000,18%,,,,,176mm,228.9mm,241.5mm,16kg,1,1-2 Days,
"Mitsubishi HG-SR524- Servomotor HG Series, Power 500 W; Torque 2.4 Nm, Max. Torque 7.2 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR524,HG-SR,HG-SR524,57250,28625,Piece,Each,1,"Mitsubishi HG-SR524- Servomotor HG Series, Power 500 W; Torque 2.4 Nm, Max. Torque 7.2 Nm , 400V",,,,,,Rated Voltage,400 V AC,Protective Structure,IP67,Rated Output Capacity,0.5 kW,Moment of inertia J [x10-4 kg m2],7.26,Peak Running Range (Nm),7.2,Rated Torque (Nm),2.4,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717136529-Product-Screenshot 2024-05-31 115200.png,,85012000,18%,,,,,130mm,177.5mm,173.5mm,4.8kg,1,1-2 Days,
"Mitsubishi HG-SR1024- Servomotor HG Series, Power 1 kW; Torque 4.8 Nm, Max. Torque 14.3 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR1024,HG-SR,HG-SR1024,69550,34775,Piece,Each,1,"Mitsubishi HG-SR1024- Servomotor HG Series, Power 1 kW; Torque 4.8 Nm, Max. Torque 14.3 Nm , 400V",,,,,,Rated Voltage,400 V AC,Protective Structure,IP67,Rated Output Capacity,1 kW,Moment of inertia J [x10-4 kg m2],11.6,Peak Running Range (Nm),14.3,Rated Torque (Nm),4.8,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717136529-Product-Screenshot 2024-05-31 115200.png,,85012000,18%,,,,,130mm,177.5mm,187.5mm,6.2kg,1,1-2 Days,
"Mitsubishi HG-SR1524- Servomotor HG Series, Power 1.5 kW; Torque 7.2 Nm, Max. Torque 21.5 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR1524,HG-SR,HG-SR1524,85800,42900,Piece,Each,1,"Mitsubishi HG-SR1524- Servomotor HG Series, Power 1.5 kW; Torque 7.2 Nm, Max. Torque 21.5 Nm , 400V",,,,,,Rated Voltage,400 V AC,Protective Structure,IP67,Rated Output Capacity,1.5 kW,Moment of inertia J [x10-4 kg m2],16,Peak Running Range (Nm),21.5,Rated Torque (Nm),7.2,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717136529-Product-Screenshot 2024-05-31 115200.png,,85012000,18%,,,,,130mm,177.5mm,201.5mm,7.3kg,1,1-2 Days,
"Mitsubishi HG-SR2024- Servomotor HG Series, Power 2 kW; Torque 9.5 Nm, Max. Torque 28.6 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR2024,HG-SR,HG-SR2024,98100,49050,Piece,Each,1,"Mitsubishi HG-SR2024- Servomotor HG Series, Power 2 kW; Torque 9.5 Nm, Max. Torque 28.6 Nm , 400V",,,,,,Rated Voltage,400 V AC,Protective Structure,IP67,Rated Output Capacity,2 kW,Moment of inertia J [x10-4 kg m2],46.8,Peak Running Range (Nm),28.6,Rated Torque (Nm),9.5,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717136529-Product-Screenshot 2024-05-31 115200.png,,85012000,18%,,,,,176mm,228.9mm,217.5mm,11kg,1,1-2 Days,
"Mitsubishi HG-SR3524- Servomotor HG Series, Power 3.5 kW; Torque 16.7 Nm, Max. Torque 50.1 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR3524,HG-SR,HG-SR3524,122650,61325,Piece,Each,1,"Mitsubishi HG-SR3524- Servomotor HG Series, Power 3.5 kW; Torque 16.7 Nm, Max. Torque 50.1 Nm , 400V",,,,,,Rated Voltage,400 V AC,Protective Structure,IP67,Rated Output Capacity,3.5 kW,Moment of inertia J [x10-4 kg m2],78.6,Peak Running Range (Nm),50.1,Rated Torque (Nm),16.7,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717136529-Product-Screenshot 2024-05-31 115200.png,,85012000,18%,,,,,176mm,228.9mm,241.5mm,16kg,1,1-2 Days,
