c1_category,c2_category,leaf_category
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Motor,Rotary Servo Motor
Servo System,Servo Amplifier,
Servo System,Servo Amplifier,
Servo System,Servo Amplifier,
Servo System,Servo Amplifier,
Servo System,Servo Amplifier,
Servo System,Servo Amplifier,
Servo System,Servo Amplifier,
Servo System,Servo Amplifier,
Servo System,Servo Amplifier,
PLC,Modular PLC,Temperature Control
PLC,Modular PLC,Temperature Control
PLC,Modular PLC,Temperature Control
PLC,Modular PLC,Analog Output
PLC,Modular PLC,Analog Output
PLC,Modular PLC,Analog Output
PLC,Modular PLC,Analog Output
PLC,Modular PLC,Analog Output
