name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi HG-KN73BJK- Servomotor HG-KN, 750W; Torque 2.4 Nm, max. torque 7.2 Nm, brake, Low Inertia, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,Rotary Servo Motor,HG-KN73BJK,HG-KN,HG-KN73BJK,68700,34350,Piece,Each,1,"Mitsubishi HG-KN73BJK- Servomotor HG-KN, 750W; Torque 2.4 Nm, max. torque 7.2 Nm, brake, Low Inertia, Key-way",,,,,,Rated Capacity (kW),"0,75 Kw",Rated Torque (Nm),"2,4 Nm",Maximum Torque (Nm),"7,2 Nm",Rated Speed (rpm),3000,Maximum Speed (rpm),5000,Inertia (kg*cm2),"1,39",Brake,YES,Shaft Type,KEYWAY,Protection Class,IP65,Power Supply (V),200 V,Encoder Type,17-BIT,1717218599-Product-Screenshot 2024-06-01 103843.png,,85012000,18%,,,,,80mm,80mm,202.5mm,4kg,1,1-2 Days,
"Mitsubishi HG-SN52BJK- Servomotor HG-SN, 500W; Torque 2.4 Nm, max. torque 7.2 Nm, brake, Medium Inertia, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,Rotary Servo Motor,HG-SN52BJK,HG-SN,HG-SN52BJK,76900,38450,Piece,Each,1,"Mitsubishi HG-SN52BJK- Servomotor HG-SN, 500W; Torque 2.4 Nm, max. torque 7.2 Nm, brake, Medium Inertia, Key-way",,,,,,Rated Capacity (kW),0.5 Kw,Rated Torque (Nm),"2,39 Nm",Maximum Torque (Nm),"7,16 Nm",Rated Speed (rpm),2000,Maximum Speed (rpm),3000,Inertia (kg*cm2),"9,48",Brake,YES,Shaft Type,KEYWAY,Protection Class,IP67,Power Supply (V),200 V,Encoder Type,17-BIT,1717220290-Product-Screenshot 2024-06-01 105317.png,,85012000,18%,,,,,130mm,177.5mm,208mm,6.7kg,1,1-2 Days,
"Mitsubishi HG-SN102BJK- Servomotor HG-SN, 1kW; Torque 4.8 Nm, max. torque 14.3 Nm, brake, Medium Inertia, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,Rotary Servo Motor,HG-SN102BJK,HG-SN,HG-SN102BJK,85700,42850,Piece,Each,1,"Mitsubishi HG-SN102BJK- Servomotor HG-SN, 1kW; Torque 4.8 Nm, max. torque 14.3 Nm, brake, Medium Inertia, Key-way",,,,,,Rated Capacity (kW),1 Kw,Rated Torque (Nm),"4,77 Nm",Maximum Torque (Nm),"14,3 Nm",Rated Speed (rpm),2000,Maximum Speed (rpm),3000,Inertia (kg*cm2),"13,8",Brake,YES,Shaft Type,KEYWAY,Protection Class,IP67,Power Supply (V),200 V,Encoder Type,17-BIT,1717220290-Product-Screenshot 2024-06-01 105317.png,,85012000,18%,,,,,130mm,177.5mm,208mm,8.2kg,1,1-2 Days,
"Mitsubishi HG-SN152BJK- Servomotor HG-SN, 1.5kW; Torque 7.2 Nm, max. torque 21.5 Nm, brake, Medium Inertia, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,Rotary Servo Motor,HG-SN152BJK,HG-SN,HG-SN152BJK,117600,58800,Piece,Each,1,"Mitsubishi HG-SN152BJK- Servomotor HG-SN, 1.5kW; Torque 7.2 Nm, max. torque 21.5 Nm, brake, Medium Inertia, Key-way",,,,,,Rated Capacity (kW),"1,5 Kw",Rated Torque (Nm),"7,16 Nm",Maximum Torque (Nm),"21,5 Nm",Rated Speed (rpm),2000,Maximum Speed (rpm),3000,Inertia (kg*cm2),"18,2",Brake,YES,Shaft Type,KEYWAY,Protection Class,IP67,Power Supply (V),200 V,Encoder Type,17-BIT,1717220290-Product-Screenshot 2024-06-01 105317.png,,85012000,18%,,,,,130mm,177.5mm,236mm,9.3kg,1,1-2 Days,
"Mitsubishi HG-SN202BJK- Servomotor HG-SN, 2kW; Torque 9.6 Nm, max. torque 28.6 Nm, brake, Medium Inertia, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,Rotary Servo Motor,HG-SN202BJK,HG-SN,HG-SN202BJK,131600,65800,Piece,Each,1,"Mitsubishi HG-SN202BJK- Servomotor HG-SN, 2kW; Torque 9.6 Nm, max. torque 28.6 Nm, brake, Medium Inertia, Key-way",,,,,,Rated Capacity (kW),2 Kw,Rated Torque (Nm),"9,55",Maximum Torque (Nm),"9,55",Rated Speed (rpm),2000,Maximum Speed (rpm),3000,Inertia (kg*cm2),"56,5",Brake,YES,Shaft Type,KEYWAY,Protection Class,IP67,Power Supply (V),200 V,Encoder Type,17-BIT,1717220290-Product-Screenshot 2024-06-01 105317.png,,85012000,18%,,,,,176mm,228.9mm,267mm,17kg,1,1-2 Days,
"Mitsubishi HG-SN302BJK- Servomotor HG-SN, 3kW; Torque 14.3 Nm, max. torque 42.9 Nm, brake, Medium Inertia, Key-way",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,Rotary Servo Motor,HG-SN302BJK,HG-SN,HG-SN302BJK,176650,88325,Piece,Each,1,"Mitsubishi HG-SN302BJK- Servomotor HG-SN, 3kW; Torque 14.3 Nm, max. torque 42.9 Nm, brake, Medium Inertia, Key-way",,,,,,Rated Capacity (kW),3 Kw,Rated Torque (Nm),"14,3",Maximum Torque (Nm),"42,9",Rated Speed (rpm),2000,Maximum Speed (rpm),2500,Inertia (kg*cm2),"88,2",Brake,YES,Shaft Type,KEYWAY,Protection Class,IP67,Power Supply (V),200 V,Encoder Type,17-BIT,1717223423-Product-Screenshot 2024-06-01 120010.png,,85012000,18%,,,,,176mm,228.9mm,291mm,22kg,1,1-2 Days,
"Mitsubishi HG-JR534B- Servomotor HG Series, Power 500 W; Torque 1.59 Nm, Max. 4.77 Nm , Brake, 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,Rotary Servo Motor,HG-JR534B,HG-JR,HG-JR534B,102300,51150,Piece,Each,1,"Mitsubishi HG-JR534B- Servomotor HG Series, Power 500 W; Torque 1.59 Nm, Max. 4.77 Nm , Brake, 400V",,,,,,Rated Capacity (kW),"0,5",Rated Torque (Nm),"1,6",Maximum Torque (Nm),"6,4",Rated Speed (rpm),3000,Maximum Speed (rpm),6000,Inertia (kg*cm2),"2,02",Brake,YES,Shaft Type,STRAIGHT SHAFT,Protection Class,IP67,Power Supply (V),400 V,Inertia,Low inertia,1717223742-Product-Screenshot 2024-06-01 120521.png,,85012000,18%,,,,,90mm,138.8 mm,213 mm,4.4 kg,1,1-2 Days,
"Mitsubishi HG-JR734B- Servomotor HG Series, Power 750 W; Torque 2.39 Nm, Max. 7.16 Nm , Brake, 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,Rotary Servo Motor,HG-JR734B,HG-JR,HG-JR734B,143900,71950,Piece,Each,1,"Mitsubishi HG-JR734B- Servomotor HG Series, Power 750 W; Torque 2.39 Nm, Max. 7.16 Nm , Brake, 400V",,,,,,Rated Capacity (kW),"0,75",Rated Torque (Nm),"2,4",Maximum Torque (Nm),"9,6",Rated Speed (rpm),3000,Maximum Speed (rpm),6000,Inertia (kg*cm2),"2,59",Brake,YES,Shaft Type,STRAIGHT SHAFT,Protection Class,IP67,Power Supply (V),400 V,Inertia,Low inertia,1717224585-Product-Screenshot 2024-06-01 121935.png,,85012000,18%,,,,,90mm,138.8mm,231mm,5.1kg,1,1-2 Days,
"Mitsubishi HG-JR1034B- Servomotor HG Series, Power 1 kW; Torque 3.18 Nm, Max. 9.55 Nm , Brake, 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,Rotary Servo Motor,HG-JR1034B,HG-JR,HG-JR1034B,153450,75190.5,Piece,Each,1,"Mitsubishi HG-JR1034B- Servomotor HG Series, Power 1 kW; Torque 3.18 Nm, Max. 9.55 Nm , Brake, 400V",,,,,,Rated Capacity (kW),1 Kw,Rated Torque (Nm),"3,2",Maximum Torque (Nm),"9,6",Rated Speed (rpm),3000,Maximum Speed (rpm),6000,Inertia (kg*cm2),"3,15",Brake,YES,Shaft Type,STRAIGHT SHAFT,Protection Class,IP67,Power Supply (V),400 V,Inertia,Low inertia,1717224585-Product-Screenshot 2024-06-01 121935.png,,85012000,18%,,,,,90mm,138.8mm,249mm,5.9kg,1,1-2 Days,
"Mitsubishi HG-JR1534B- Servomotor HG Series, Power 1,5 kW; Torque 4.77 Nm, Max. 14.3 Nm , Brake, 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,Rotary Servo Motor,HG-JR1534B,HG-JR,HG-JR1534B,179050,87734.5,Piece,Each,1,"Mitsubishi HG-JR1534B- Servomotor HG Series, Power 1,5 kW; Torque 4.77 Nm, Max. 14.3 Nm , Brake, 400V",,,,,,Rated Capacity (kW),1.5 Kw,Rated Torque (Nm),"4,8",Maximum Torque (Nm),"14,3",Rated Speed (rpm),3000,Maximum Speed (rpm),6000,Inertia (kg*cm2),"4,29",Brake,YES,Shaft Type,STRAIGHT SHAFT,Protection Class,IP67,Power Supply (V),400 V,Inertia,Low inertia,1717224585-Product-Screenshot 2024-06-01 121935.png,,85012000,18%,,,,,90mm,138.8mm,285mm,7.3kg,1,1-2 Days,
