name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Balluff BAM0033-Flexible Mounting System, Inductive Sensor",Balluff,Sensor,Sensor Accessories,Inductive Sensors,Flexible Mounting System For Inductive Factor 1 Sensors Accessories,BAM0033,BAM,BAM0033,,596.55,Piece,Each,1,"Balluff BAM0033-Flexible Mounting System, Inductive Sensor",,,,,,Use,For M30 Sensors,Material,Stainless Steel,Dimension,Ø 42 x 47 mm,Mounting Part,Clamps,,,,,,,,,,,,,,,1716880264-Product-BAM0033.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=148602&con=en,,,,,,,,1,1-2 Days,Inductive Factor 1 Sensors
"Balluff BAM0037-Flexible Mounting System, Inductive Sensor",Balluff,Sensor,Sensor Accessories,Inductive Sensors,Flexible Mounting System For Inductive Factor 1 Sensors Accessories,BAM0037,BAM,BAM0037,,472.31,Piece,Each,1,"Balluff BAM0037-Flexible Mounting System, Inductive Sensor",,,,,,Use,For M12 Sensors,Material,Stainless Steel,Dimension,Ø 28 x 34 mm,Mounting Part,Clamps,,,,,,,,,,,,,,,1716974780-Product-BAM0037.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=149269&con=en,,,,,,,,1,1-2 Days,Inductive Factor 1 Sensors
"Balluff BAM0032-Flexible Mounting System, Inductive Sensor",Balluff,Sensor,Sensor Accessories,Inductive Sensors,Flexible Mounting System For Inductive Factor 1 Sensors Accessories,BAM0032,BAM,BAM0032,,584.77,Piece,Each,1,"Balluff BAM0032-Flexible Mounting System, Inductive Sensor",,,,,,Use,For M18 Sensors,Material,Stainless Steel,Dimension,Ø 28 x 34 mm,Mounting Part,Clamps,,,,,,,,,,,,,,,1716977686-Product-BAM0032.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=148601&con=en,,,,,,,,1,1-2 Days,Inductive Factor 1 Sensors
"Balluff BAM00JY-Universal Brackets, Inductive Sensor",Balluff,Sensor,Sensor Accessories,Inductive Sensors,Universal Brackets For Inductive Factor 1 Sensors Accessories,BAM00JY,BAM,BAM00JY,,1473.7,Piece,Each,1,"Balluff BAM00JY-Universal Brackets, Inductive Sensor",,,,,,Version,Mounting Block,Use,"For Capacitive Sensors BCS Q40, Inductive Sensors BES Q40 & BIC Q40",Material,Die-Cast Zinc,Dimension,40 x 25 x 40 mm,Mounting Part,"Screws, Clamps",,,,,,,,,,,,,1716880699-Product-BAM00JY.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=281166&con=en,,,,,,,,1,1-2 Days,Inductive Factor 1 Sensors
"Balluff BAM01TM-Universal Brackets, Inductive Sensor",Balluff,Sensor,Sensor Accessories,Inductive Sensors,Universal Brackets For Inductive Factor 1 Sensors Accessories,BAM01TM,BAM,BAM01TM,,2148.43,Piece,Each,1,"Balluff BAM01TM-Universal Brackets, Inductive Sensor",,,,,,Version,Holder,Use,"For Capacitive Sensors BCS Q40, Unicompact Sensors, Inductive Sensors BES Q40 & BIC Q40",Material,"Aluminum Anodized, Plastic",Dimension,100 x 5 x 40 mm,Mounting Part,Threads,,,,,,,,,,,,,1716880921-Product-BAM01TM.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=220718&con=en,,,,,,,,1,1-2 Days,Inductive Factor 1 Sensors
"Balluff BAM026J-Universal Brackets, Inductive Sensor",Balluff,Sensor,Sensor Accessories,Inductive Sensors,Universal Brackets For Inductive Factor 1 Sensors Accessories,BAM026J,BAM,BAM026J,,3925.22,Piece,Each,1,"Balluff BAM026J-Universal Brackets, Inductive Sensor",,,,,,Version,Holder,Use,"For Capacitive Sensors BCS Q40, Inductive Sensors BES Q40 & BIC Q40",Material,Aluminum Anodized,Dimension,50 x 5 x 80 mm,Mounting Part,Threads,,,,,,,,,,,,,1716881038-Product-BAM026J.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=238253&con=en,,,,,,,,1,1-2 Days,Inductive Factor 1 Sensors
"Balluff BAM02WA-Universal Brackets, Inductive Sensor",Balluff,Sensor,Sensor Accessories,Inductive Sensors,Universal Brackets For Inductive Factor 1 Sensors Accessories,BAM02WA,BAM,BAM02WA,,3486.11,Piece,Each,1,"Balluff BAM02WA-Universal Brackets, Inductive Sensor",,,,,,Version,Holder,Use,For Inductive Sensors BES Q40 & BIC Q40,Material,PA 6,Dimension,40 x 30 x 62.7 mm,Mounting Part,Threads,,,,,,,,,,,,,1716881207-Product-BAM02WA.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=253173&con=en,,,,,,,,1,1-2 Days,Inductive Factor 1 Sensors
"Balluff BAM0218-Universal Brackets, Inductive Sensor",Balluff,Sensor,Sensor Accessories,Inductive Sensors,Universal Brackets For Inductive Factor 1 Sensors Accessories,BAM0218,BAM,BAM0218,,1293.77,Piece,Each,1,"Balluff BAM0218-Universal Brackets, Inductive Sensor",,,,,,Version,Mounting Clamp,Use,"For Sensors Ø12 mm, For M12 Sensors",Material,Aluminum Anodized,Dimension,12 x 20 x 32 mm,Mounting Part,"Screws, Clamps",,,,,,,,,,,,,1716973287-Product-BAM0218.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=231327&con=en,,,,,,,,1,1-2 Days,Inductive Factor 1 Sensors
"Balluff BAM0219-Universal Brackets, Inductive Sensor",Balluff,Sensor,Sensor Accessories,Inductive Sensors,Universal Brackets For Inductive Factor 1 Sensors Accessories,BAM0219,BAM,BAM0219,,2046.68,Piece,Each,1,"Balluff BAM0219-Universal Brackets, Inductive Sensor",,,,,,Version,Mounting Clamp,Use,"For Sensors Ø18 mm, For M18 Sensors",Material,Aluminum Anodized,Dimension,12 x 26 x 36 mm,Mounting Part,"Screws, Clamps",,,,,,,,,,,,,1716976433-Product-BAM0219.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=231328&con=en,,,,,,,,1,1-2 Days,Inductive Factor 1 Sensors
"Balluff BAM009W-Universal Brackets, Inductive Sensor",Balluff,Sensor,Sensor Accessories,Inductive Sensors,Universal Brackets For Inductive Factor 1 Sensors Accessories,BAM009W,BAM,BAM009W,,3238.7,Piece,Each,1,"Balluff BAM009W-Universal Brackets, Inductive Sensor",,,,,,Use,For M08 Sensors,Material,Stainless Steel,Dimension,12 x 17.5 x 16 mm,Mounting Part,Threads,,,,,,,,,,,,,,,1717051442-Product-BAM009W.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=278370&con=en,,,,,,,,1,1-2 Days,Inductive Factor 1 Sensors
