name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a+BA:BA,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Cummins C600D5P-Diesel Generator Set K19 Series, 600kVA/480kWe, 835 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set K19 Series, 600kVA/480kWe, 835 Amp",C600D5P,K19,C600D5P,,,Piece,Each,1,"Cummins C600D5P-Diesel Generator Set K19 Series, 600kVA/480kWe, 835 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,835 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,600 kVa/480 kWe,No. Of Phases,3,,,,,,,,,1717587298-Product-C600D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C625D5P-Diesel Generator Set K19 Series, 625kVA/500kWe, 870 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set K19 Series, 625kVA/500kWe, 870 Amp",C625D5P,K19,C625D5P,,,Piece,Each,1,"Cummins C625D5P-Diesel Generator Set K19 Series, 625kVA/500kWe, 870 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,870 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,625 kVa/500 kWe,No. Of Phases,3,,,,,,,,,1717587310-Product-C625D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C500D5P-Diesel Generator Set K19 Series, 500kVA/400kWe, 695 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set K19 Series, 500kVA/400kWe, 695 Amp",C500D5P,K19,C500D5P,,,Piece,Each,1,"Cummins C500D5P-Diesel Generator Set K19 Series, 500kVA/400kWe, 695 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,695 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,500 kVa/400 kWe,No. Of Phases,3,,,,,,,,,1717587321-Product-C500D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C650D5P-Diesel Generator Set QSK19 Series, 650kVA/520kWe, 904 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set QSK19 Series, 650kVA/520kWe, 904 Amp",C650D5P,QSK19,C650D5P,,,Piece,Each,1,"Cummins C650D5P-Diesel Generator Set QSK19 Series, 650kVA/520kWe, 904 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,904 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,650 kVa/520 kWe,No. Of Phases,3,,,,,,,,,1717587332-Product-C650D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C750D5P-Diesel Generator Set K38 Series, 750kVA/600kWe, 1043 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set K38 Series, 750kVA/600kWe, 1043 Amp",C750D5P,K38,C750D5P,,,Piece,Each,1,"Cummins C750D5P-Diesel Generator Set K38 Series, 750kVA/600kWe, 1043 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,1043 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,750 kVa/600 kWe,No. Of Phases,3,,,,,,,,,1717587355-Product-C750D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C810D5P-Diesel Generator Set K38 Series, 810kVA/648kWe, 1126 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set K38 Series, 810kVA/648kWe, 1126 Amp",C810D5P,K38,C810D5P,,,Piece,Each,1,"Cummins C810D5P-Diesel Generator Set K38 Series, 810kVA/648kWe, 1126 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,1126 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,810 kVa/648 kWe,No. Of Phases,3,,,,,,,,,1717587374-Product-C810D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C910D5P-Diesel Generator Set K38 Series, 910kVA/728kWe, 1266 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set K38 Series, 910kVA/728kWe, 1266 Amp",C910D5P,K38,C910D5P,,,Piece,Each,1,"Cummins C910D5P-Diesel Generator Set K38 Series, 910kVA/728kWe, 1266 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,1266 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,910 kVa/728 kWe,No. Of Phases,3,,,,,,,,,1717587383-Product-C910D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C1010D5P-Diesel Generator Set K38 Series, 1010kVA, No. Of Phase-3",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set K38 Series, 1010kVA, No. Of Phase-3",C1010D5P,K38,C1010D5P,,,Piece,Each,1,"Cummins C1010D5P-Diesel Generator Set K38 Series, 1010kVA, No. Of Phase-3",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Prime Power Rating kVA,1010 kVA,No. Of Phases,3,,,,,,,,,,,,,,,1717587393-Product-C1010D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C7.5D5P-Diesel Generator Set X1.3 Series, 7.5 kVa/6 kWe, (11-33) Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set X1.3 Series, 7.5 kVa/6 kWe, (11-33) Amp",C7.5D5P,X1.3,C7.5D5P,,,Piece,Each,1,"Cummins C7.5D5P-Diesel Generator Set X1.3 Series, 7.5 kVa/6 kWe, (11-33) Amp",,,,,,Output Voltage (V),415 V-230 V,Power Factor,0.8 (Lagging),Current (3 phase/ 1 phase),11 Amp-33 Amp,Frequency (Hz) and RPM,"50 Hz, 1500 RPM",Duty,Prime,Power Rating kVA / kWe,7.5 kVa/6 kWe,No. Of Phases,(3-1) Phase,,,,,,,,,1717587403-Product-C7.5D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C10D5P-Diesel Generator Set X1.3 Series, 10 kVa/8 kWe, (14-44) Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set X1.3 Series, 10 kVa/8 kWe, (14-44) Amp",C10D5P,X1.3,C10D5P,,,Piece,Each,1,"Cummins C10D5P-Diesel Generator Set X1.3 Series, 10 kVa/8 kWe, (14-44) Amp",,,,,,Output Voltage (V),415 V-230 V,Power Factor,0.8 (Lagging),Current (3 phase/ 1 phase),14 Amp-44 Amp,Frequency (Hz) and RPM,"50 Hz, 1500 RPM",Duty,Prime,Power Rating kVA / kWe,10 kVa/8 kWe,No. Of Phases,(3-1) Phase,,,,,,,,,1717587416-Product-C10D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
