c1_category,c2_category,leaf_category
Compression Tools,Insulated Terminal Crimping Tools,Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool
Compression Tools,End Sealing Ferrules Crimping Tools,Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool
Compression Tools,Open Barrel Tab Terminal Crimping Tools,Range 0.5 - 6 mm² Open Barrel Tab Terminal Crimping Tool
Compression Tools,Insulated Terminal Crimping Tools,Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool
Compression Tools,End Sealing Ferrules Crimping Tools,Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool
Compression Tools,End Sealing Ferrules Crimping Tools,Range 6 mm²/10 mm²/16 mm² End Sealing Ferrules Crimping Tool
Compression Tools,End Sealing Ferrules Crimping Tools,Range 10 mm²/16 mm²/25 mm²/35 mm² End Sealing Ferrules Crimping Tool
Compression Tools,Insulated Terminal Crimping Tools,Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool
Compression Tools,End Sealing Ferrules Crimping Tools,Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool
Compression Tools,End Sealing Ferrules Crimping Tools,Range 6 mm²/10 mm²/16 mm² End Sealing Ferrules Crimping Tool
Compression Tools,End Sealing Ferrules Crimping Tools,Range 0.25 - 6 mm² End Sealing Ferrules Crimping Tool
Compression Tools,Open Barrel Tab Terminal Crimping Tools,Range 0.5 - 6 mm² Open Barrel Tab Terminal Crimping Tool
