name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Jainson JN001-Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool,Jainson,Tools,Compression Tools,Insulated Terminal Crimping Tools,Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool,JN001,,JN001,,2400,Piece,Each,1,Jainson JN001-Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool,,,,,,Capacity,0.5 - 6 mm²,Weight,550grm,,,,,,,,,,,,,,,,,,,1717652843-Product-Screenshot 2024-06-06 111645.png,,,18%,,,,,,,,,1,1-2 Days,
Jainson JN002-Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool,Jainson,Tools,Compression Tools,End Sealing Ferrules Crimping Tools,Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool,JN002,,JN002,,2400,Piece,Each,1,Jainson JN002-Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool,,,,,,Capacity,0.5 - 6 mm²,Weight,550grm,,,,,,,,,,,,,,,,,,,1717656389-Product-Screenshot 2024-06-06 121554.png,,,18%,,,,,,,,,1,1-2 Days,
Jainson JN003-Range 0.5 - 6 mm² Open Barrel Tab Terminal Crimping Tool,Jainson,Tools,Compression Tools,Open Barrel Tab Terminal Crimping Tools,Range 0.5 - 6 mm² Open Barrel Tab Terminal Crimping Tool,JN003,,JN003,,2400,Piece,Each,1,Jainson JN003-Range 0.5 - 6 mm² Open Barrel Tab Terminal Crimping Tool,,,,,,Capacity,0.5 - 6 mm²,Weight,550grm,,,,,,,,,,,,,,,,,,,1717656474-Product-Screenshot 2024-06-06 121727.png,,,18%,,,,,,,,,1,1-2 Days,
Jainson JN004-Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool,Jainson,Tools,Compression Tools,Insulated Terminal Crimping Tools,Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool,JN004,,JN004,,2100,Piece,Each,1,Jainson JN004-Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool,,,,,,Capacity,0.5 - 6 mm²,Weight,490grm,,,,,,,,,,,,,,,,,,,1717656550-Product-Screenshot 2024-06-06 121854.png,,,18%,,,,,,,,,1,1-2 Days,
Jainson JN005-Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool,Jainson,Tools,Compression Tools,End Sealing Ferrules Crimping Tools,Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool,JN005,,JN005,,2100,Piece,Each,1,Jainson JN005-Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool,,,,,,Capacity,0.5 - 6 mm²,Weight,490grm,,,,,,,,,,,,,,,,,,,1717656626-Product-Screenshot 2024-06-06 122004.png,,,18%,,,,,,,,,1,1-2 Days,
Jainson JN006-Range 6 mm²/10 mm²/16 mm² End Sealing Ferrules Crimping Tool,Jainson,Tools,Compression Tools,End Sealing Ferrules Crimping Tools,Range 6 mm²/10 mm²/16 mm² End Sealing Ferrules Crimping Tool,JN006,,JN006,,2100,Piece,Each,1,Jainson JN006-Range 6 mm²/10 mm²/16 mm² End Sealing Ferrules Crimping Tool,,,,,,Capacity,6 mm²/10 mm²/16 mm²,Weight,490grm,,,,,,,,,,,,,,,,,,,1717656695-Product-Screenshot 2024-06-06 122114.png,,,18%,,,,,,,,,1,1-2 Days,
Jainson JN007-Range 10 mm²/16 mm²/25 mm²/35 mm² End Sealing Ferrules Crimping Tool,Jainson,Tools,Compression Tools,End Sealing Ferrules Crimping Tools,Range 10 mm²/16 mm²/25 mm²/35 mm² End Sealing Ferrules Crimping Tool,JN007,,JN007,,2400,Piece,Each,1,Jainson JN007-Range 10 mm²/16 mm²/25 mm²/35 mm² End Sealing Ferrules Crimping Tool,,,,,,Capacity,10 mm²/16 mm²/25 mm²/35 mm²,Weight,490grm,,,,,,,,,,,,,,,,,,,1717656745-Product-Screenshot 2024-06-06 122210.png,,,18%,,,,,,,,,1,1-2 Days,
Jainson JN008-Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool,Jainson,Tools,Compression Tools,Insulated Terminal Crimping Tools,Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool,JN008,,JN008,,2100,Piece,Each,1,Jainson JN008-Range 0.5 - 6 mm² Insulated Terminal Crimping Hand Tool,,,,,,Capacity,0.5 - 6 mm²,Weight,600grm,,,,,,,,,,,,,,,,,,,1717656812-Product-Screenshot 2024-06-06 122316.png,,,18%,,,,,,,,,1,1-2 Days,
Jainson JN009-Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool,Jainson,Tools,Compression Tools,End Sealing Ferrules Crimping Tools,Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool,JN009,,JN009,,2100,Piece,Each,1,Jainson JN009-Range 0.5 - 6 mm² End Sealing Ferrules Crimping Tool,,,,,,Capacity,0.5 - 6 mm²,Weight,600grm,,,,,,,,,,,,,,,,,,,1717656888-Product-Screenshot 2024-06-06 122435.png,,,18%,,,,,,,,,1,1-2 Days,
Jainson JN010-Range 6 mm²/10 mm²/16 mm² End Sealing Ferrules Crimping Tool,Jainson,Tools,Compression Tools,End Sealing Ferrules Crimping Tools,Range 6 mm²/10 mm²/16 mm² End Sealing Ferrules Crimping Tool,JN010,,JN010,,2100,Piece,Each,1,Jainson JN010-Range 6 mm²/10 mm²/16 mm² End Sealing Ferrules Crimping Tool,,,,,,Capacity,6 mm²/10 mm²/16 mm²,Weight,600grm,,,,,,,,,,,,,,,,,,,1717656996-Product-Screenshot 2024-06-06 122625.png,,,18%,,,,,,,,,1,1-2 Days,
Jainson JN011-Range 0.25 - 6 mm² End Sealing Ferrules Crimping Tool,Jainson,Tools,Compression Tools,End Sealing Ferrules Crimping Tools,Range 0.25 - 6 mm² End Sealing Ferrules Crimping Tool,JN011,,JN011,,2100,Piece,Each,1,Jainson JN011-Range 0.25 - 6 mm² End Sealing Ferrules Crimping Tool,,,,,,Capacity,0.25 - 6 mm²,Weight,400grm,,,,,,,,,,,,,,,,,,,1717657041-Product-Screenshot 2024-06-06 122713.png,,,18%,,,,,,,,,1,1-2 Days,
Jainson JN012-Range 0.5 - 6 mm² Open Barrel Tab Terminal Crimping Tool,Jainson,Tools,Compression Tools,Open Barrel Tab Terminal Crimping Tools,Range 0.5 - 6 mm² Open Barrel Tab Terminal Crimping Tool,JN012,,JN012,,2100,Piece,Each,1,Jainson JN012-Range 0.5 - 6 mm² Open Barrel Tab Terminal Crimping Tool,,,,,,Capacity,0.5 - 6 mm²,Weight,600grm,,,,,,,,,,,,,,,,,,,1717657091-Product-Screenshot 2024-06-06 122801.png,,,18%,,,,,,,,,1,1-2 Days,
