name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-1",Jainson,Tools,Compression Tools,Crimping Tool Dies,"GRD-95 Punch Ring Type Dies,Steel,Silver die",GRD-95,,GRD-95,,340,Piece,Each,1,"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-1",,,,,,Type,Punch Ring Type Dies,Size,R-1,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660029-Product-Screenshot 2024-06-06 131634.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-2",Jainson,Tools,Compression Tools,Crimping Tool Dies,"GRD-95 Punch Ring Type Dies,Steel,Silver die",GRD-95,,GRD-95,,340,Piece,Each,1,"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-2",,,,,,Type,Punch Ring Type Dies,Size,R-2,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660029-Product-Screenshot 2024-06-06 131634.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-3",Jainson,Tools,Compression Tools,Crimping Tool Dies,"GRD-95 Punch Ring Type Dies,Steel,Silver die",GRD-95,,GRD-95,,340,Piece,Each,1,"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-3",,,,,,Type,Punch Ring Type Dies,Size,R-3,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660029-Product-Screenshot 2024-06-06 131634.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-4",Jainson,Tools,Compression Tools,Crimping Tool Dies,"GRD-95 Punch Ring Type Dies,Steel,Silver die",GRD-95,,GRD-95,,340,Piece,Each,1,"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-4",,,,,,Type,Punch Ring Type Dies,Size,R-4,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660029-Product-Screenshot 2024-06-06 131634.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-5",Jainson,Tools,Compression Tools,Crimping Tool Dies,"GRD-95 Punch Ring Type Dies,Steel,Silver die",GRD-95,,GRD-95,,340,Piece,Each,1,"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-5",,,,,,Type,Punch Ring Type Dies,Size,R-5,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660029-Product-Screenshot 2024-06-06 131634.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-6",Jainson,Tools,Compression Tools,Crimping Tool Dies,"GRD-95 Punch Ring Type Dies,Steel,Silver die",GRD-95,,GRD-95,,340,Piece,Each,1,"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-6",,,,,,Type,Punch Ring Type Dies,Size,R-6,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660029-Product-Screenshot 2024-06-06 131634.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-7",Jainson,Tools,Compression Tools,Crimping Tool Dies,"GRD-95 Punch Ring Type Dies,Steel,Silver die",GRD-95,,GRD-95,,340,Piece,Each,1,"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-7",,,,,,Type,Punch Ring Type Dies,Size,R-7,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660029-Product-Screenshot 2024-06-06 131634.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-8",Jainson,Tools,Compression Tools,Crimping Tool Dies,"GRD-95 Punch Ring Type Dies,Steel,Silver die",GRD-95,,GRD-95,,340,Piece,Each,1,"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-8",,,,,,Type,Punch Ring Type Dies,Size,R-8,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660029-Product-Screenshot 2024-06-06 131634.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-9",Jainson,Tools,Compression Tools,Crimping Tool Dies,"GRD-95 Punch Ring Type Dies,Steel,Silver die",GRD-95,,GRD-95,,340,Piece,Each,1,"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-9",,,,,,Type,Punch Ring Type Dies,Size,R-9,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660029-Product-Screenshot 2024-06-06 131634.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-10",Jainson,Tools,Compression Tools,Crimping Tool Dies,"GRD-95 Punch Ring Type Dies,Steel,Silver die",GRD-95,,GRD-95,,340,Piece,Each,1,"Jainson GRD-95-Punch Ring Type Dies, Steel, Silver die, Size R-10",,,,,,Type,Punch Ring Type Dies,Size,R-10,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660029-Product-Screenshot 2024-06-06 131634.png,,,18%,,,,,,,,,1,1-2 Days,
