name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-10",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-95,,GRD-95,,380,Piece,Each,1,"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-10",,,,,,Type,Hexagonal Type Dies,Size,H-10,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-16",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-95,,GRD-95,,380,Piece,Each,1,"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-16",,,,,,Type,Hexagonal Type Dies,Size,H-16,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-25",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-95,,GRD-95,,380,Piece,Each,1,"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-25",,,,,,Type,Hexagonal Type Dies,Size,H-25,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-35",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-95,,GRD-95,,380,Piece,Each,1,"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-35",,,,,,Type,Hexagonal Type Dies,Size,H-35,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-50",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-95,,GRD-95,,380,Piece,Each,1,"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-50",,,,,,Type,Hexagonal Type Dies,Size,H-50,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-70",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-95,,GRD-95,,380,Piece,Each,1,"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-70",,,,,,Type,Hexagonal Type Dies,Size,H-70,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-95",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-95,,GRD-95,,380,Piece,Each,1,"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-95",,,,,,Type,Hexagonal Type Dies,Size,H-95,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-120",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-95,,GRD-95,,380,Piece,Each,1,"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-120",,,,,,Type,Hexagonal Type Dies,Size,H-120,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-150",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-95,,GRD-95,,380,Piece,Each,1,"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-150",,,,,,Type,Hexagonal Type Dies,Size,H-150,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-185",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-95,,GRD-95,,380,Piece,Each,1,"Jainson GRD-95-Hexagonal Type Dies, Steel, Silver die, Size H-185",,,,,,Type,Hexagonal Type Dies,Size,H-185,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-10",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-185,,GRD-185,,380,Piece,Each,1,"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-10",,,,,,Type,Hexagonal Type Dies,Size,H-10,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-16",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-185,,GRD-185,,380,Piece,Each,1,"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-16",,,,,,Type,Hexagonal Type Dies,Size,H-16,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-25",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-185,,GRD-185,,380,Piece,Each,1,"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-25",,,,,,Type,Hexagonal Type Dies,Size,H-25,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-35",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-185,,GRD-185,,380,Piece,Each,1,"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-35",,,,,,Type,Hexagonal Type Dies,Size,H-35,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-50",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-185,,GRD-185,,380,Piece,Each,1,"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-50",,,,,,Type,Hexagonal Type Dies,Size,H-50,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-70",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-185,,GRD-185,,380,Piece,Each,1,"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-70",,,,,,Type,Hexagonal Type Dies,Size,H-70,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-95",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-185,,GRD-185,,380,Piece,Each,1,"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-95",,,,,,Type,Hexagonal Type Dies,Size,H-95,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-120",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-185,,GRD-185,,380,Piece,Each,1,"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-120",,,,,,Type,Hexagonal Type Dies,Size,H-120,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-150",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-185,,GRD-185,,380,Piece,Each,1,"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-150",,,,,,Type,Hexagonal Type Dies,Size,H-150,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-185",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",GRD-185,,GRD-185,,380,Piece,Each,1,"Jainson GRD-185-Hexagonal Type Dies, Steel, Silver die, Size H-185",,,,,,Type,Hexagonal Type Dies,Size,H-185,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660073-Product-Screenshot 2024-06-06 131451.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson SURYA-400-Hexagonal Type Dies, Steel, Silver die, Size H-25",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",SURYA-400,,SURYA-400,,680,Piece,Each,1,"Jainson SURYA-400-Hexagonal Type Dies, Steel, Silver die, Size H-25",,,,,,Type,Hexagonal Type Dies,Size,H-25,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660411-Product-1.webp,,,18%,,,,,,,,,1,1-2 Days,
"Jainson SURYA-400-Hexagonal Type Dies, Steel, Silver die, Size H-35",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",SURYA-400,,SURYA-400,,680,Piece,Each,1,"Jainson SURYA-400-Hexagonal Type Dies, Steel, Silver die, Size H-35",,,,,,Type,Hexagonal Type Dies,Size,H-35,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660411-Product-1.webp,,,18%,,,,,,,,,1,1-2 Days,
"Jainson SURYA-400-Hexagonal Type Dies, Steel, Silver die, Size H-50",Jainson,Tools,Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die",SURYA-400,,SURYA-400,,680,Piece,Each,1,"Jainson SURYA-400-Hexagonal Type Dies, Steel, Silver die, Size H-50",,,,,,Type,Hexagonal Type Dies,Size,H-50,Material,Steel,Color,Silver,,,,,,,,,,,,,,,1717660411-Product-1.webp,,,18%,,,,,,,,,1,1-2 Days,
