c1_category,c2_category,leaf_category
Harmony,Push Button,"Push Button, Harmony XB5N XB7N, Plastic, Flush, white, 22mm, Spring Return, Unmarked, 1 NO"
Harmony,Push Button,"Push Button, Harmony XB5N XB7N, Plastic, Flush, black, 22mm, Spring Return, Unmarked, 1 NO"
Harmony,Push Button,"Push Button, Harmony XB5N XB7N, Plastic, Flush, Green, 22mm, Spring Return, Unmarked, 1 NO"
Harmony,Push Button,"Push Button, Harmony XB5N XB7N, Plastic, Flush, Yellow, 22mm, Spring Return, Unmarked, 1 NO"
Harmony,Push Button,"Push button, Harmony XB5N XB7N, Plastic, Flush, Blue, 22mm, Spring Return, Unmarked, 1 NO"
Harmony,Push Button,"Push Button, Harmony XB5N XB7N, Plastic, Flush, Red, 22mm, Spring Return, Unmarked, 1 NC"
Harmony,Push Button,"Push Button, Harmony XB5N XB7N, Plastic, Flush, Red, 22mm, Spring Return, Unmarked, 1 NO"
Harmony,Push Button,"Push Button, Harmony XB5N XB7N, Plastic, Projecting, Red, 22mm, Spring Return, Unmarked, 1 NC"
Harmony,Push Button,"Double-Headed Push Button, Harmony XB5N XB7N, Plastic, 22mm, 1 Green flush marked I + 1 Red projecting marked O, 1NO+1NC"
Harmony,Push Button,"Push Button, Harmony XB5N XB7N, Plastic, Flush, Transparent boot, Green, 22mm, Spring Return, Unmarked, 1 NO, IP65"
