name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Schneider Electric XB5AW31B1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, White, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",Schneider Electric,Factory Automation,Harmony,Illuminated Push Button,"Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, White, 22mm, Spring Return, 24V AC DC, 1 NO",XB5AW31B1N,XB5N,XB5AW31B1N,528,343.2,Piece,Each,1,"Schneider Electric XB5AW31B1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, White, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",,,,,,Range of Product,Harmony XB5N/XB7N,Product or Component Type,Illuminated Push-Button,Contact Operation,Slow-Break,Product Compatibility,ZB5...N,Bezel Material,Dark Grey Plastic,Fixing Collar Material,Plastic,Mounting Diamete,22.5 mm,Shape of Signaling Unit Head,Round,Type of Operator,Spring Return,Contacts Type and Composition,1 NO,Rated Supply Voltage,24 V AC/DC 50/60 Hz,1718189175-Product-Screenshot 2024-06-12 161114.png,,,18%,,,,,30 mm,42 mm,57 mm,0.056 kg,1,1-2 days,
"Schneider Electric XB5AW33B1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Green, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",Schneider Electric,Factory Automation,Harmony,Illuminated Push Button,"Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Green, 22mm, Spring Return, 24V AC DC, 1 NO",XB5AW33B1N,XB5N,XB5AW33B1N,528,343.2,Piece,Each,1,"Schneider Electric XB5AW33B1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Green, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",,,,,,Range of Product,Harmony XB5N/XB7N,Product or Component Type,Illuminated Push-Button,Contact Operation,Slow-Break,Product Compatibility,ZB5...N,Bezel Material,Dark Grey Plastic,Fixing Collar Material,Plastic,Mounting Diamete,22.5 mm,Shape of Signaling Unit Head,Round,Type of Operator,Spring Return,Contacts Type and Composition,1 NO,Rated Supply Voltage,24 V AC/DC 50/60 Hz,1718190237-Product-Screenshot 2024-06-12 163347.png,,,18%,,,,,30 mm,42 mm,57 mm,0.056 kg,1,1-2 days,
"Schneider Electric XB5AW34B2N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Red, 22mm, Spring Return, unmarked, 24V AC DC, 1 NC",Schneider Electric,Factory Automation,Harmony,Illuminated Push Button,"Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Red, 22mm, Spring Return, 24V AC DC, 1 NC",XB5AW34B2N,XB5N,XB5AW34B2N,528,343.2,Piece,Each,1,"Schneider Electric XB5AW34B2N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Red, 22mm, Spring Return, unmarked, 24V AC DC, 1 NC",,,,,,Range of Product,Harmony XB5N/XB7N,Product or Component Type,Illuminated Push-Button,Contact Operation,Slow-Break,Product Compatibility,ZB5...N,Bezel Material,Dark Grey Plastic,Fixing Collar Material,Plastic,Mounting Diamete,22.5 mm,Shape of Signaling Unit Head,Round,Type of Operator,Spring Return,Contacts Type and Composition,1 NC,Rated Supply Voltage,24 V AC/DC 50/60 Hz,1718190492-Product-Screenshot 2024-06-12 163802.png,,,18%,,,,,30 mm,42 mm,57 mm,0.056 kg,1,1-2 days,
"Schneider Electric XB5AW35B1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Yellow, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",Schneider Electric,Factory Automation,Harmony,Illuminated Push Button,"Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Yellow, 22mm, Spring Return, 24V AC DC, 1 NO",XB5AW35B1N,XB5N,XB5AW35B1N,528,343.2,Piece,Each,1,"Schneider Electric XB5AW35B1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Yellow, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",,,,,,Range of Product,Harmony XB5N/XB7N,Product or Component Type,Illuminated Push-Button,Contact Operation,Slow-Break,Product Compatibility,ZB5...N,Bezel Material,Dark Grey Plastic,Fixing Collar Material,Plastic,Mounting Diamete,22.5 mm,Shape of Signaling Unit Head,Round,Type of Operator,Spring Return,Contacts Type and Composition,1 NO,Rated Supply Voltage,24 V AC/DC 50/60 Hz,1718190542-Product-Screenshot 2024-06-12 163853.png,,,18%,,,,,30 mm,42 mm,57 mm,0.056 kg,1,1-2 days,
"Schneider Electric XB5AW38B1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush,Amber, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",Schneider Electric,Factory Automation,Harmony,Illuminated Push Button,"Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush,Amber, 22mm, Spring Return, 24V AC DC, 1 NO",XB5AW38B1N,XB5N,XB5AW38B1N,590,383.5,Piece,Each,1,"Schneider Electric XB5AW38B1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush,Amber, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",,,,,,Range of Product,Harmony XB5N/XB7N,Product or Component Type,Illuminated Push-Button,Contact Operation,Slow-Break,Product Compatibility,ZB5...N,Bezel Material,Dark Grey Plastic,Fixing Collar Material,Plastic,Mounting Diamete,22.5 mm,Shape of Signaling Unit Head,Round,Type of Operator,Spring Return,Contacts Type and Composition,1 NO,Rated Supply Voltage,24 V AC/DC 50/60 Hz,1718190595-Product-Screenshot 2024-06-12 163947.png,,,18%,,,,,30 mm,42 mm,57 mm,0.056 kg,1,1-2 days,
"Schneider Electric XB5AW36B1N- Illuminated Push button, Harmony XB5N XB7N, Plastic, Flush, Blue, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",Schneider Electric,Factory Automation,Harmony,Illuminated Push Button,"Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Blue, 22mm, Spring Return, 24V AC DC, 1 NO",XB5AW36B1N,XB5N,XB5AW36B1N,1020,663,Piece,Each,1,"Schneider Electric XB5AW36B1N- Illuminated Push button, Harmony XB5N XB7N, Plastic, Flush, Blue, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",,,,,,Range of Product,Harmony XB5N/XB7N,Product or Component Type,Illuminated Push-Button,Contact Operation,Slow-Break,Product Compatibility,ZB5...N,Bezel Material,Dark Grey Plastic,Fixing Collar Material,Plastic,Mounting Diamete,22.5 mm,Shape of Signaling Unit Head,Round,Type of Operator,Spring Return,Contacts Type and Composition,1 NO,Rated Supply Voltage,24 V AC/DC 50/60 Hz,1718190651-Product-Screenshot 2024-06-12 164041.png,,,18%,,,,,30 mm,42 mm,57 mm,0.056 kg,1,1-2 days,
"Schneider Electric XB5AW33G1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Green, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",Schneider Electric,Factory Automation,Harmony,Illuminated Push Button,"Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Green, 22mm, Spring Return, 24V AC DC, 1 NO",XB5AW33G1N,XB5N,XB5AW33G1N,642,417.3,Piece,Each,1,"Schneider Electric XB5AW33G1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Green, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",,,,,,Range of Product,Harmony XB5N/XB7N,Product or Component Type,Illuminated Push-Button,Contact Operation,Slow-Break,Product Compatibility,ZB5...N,Bezel Material,Dark Grey Plastic,Fixing Collar Material,Plastic,Mounting Diamete,22.5 mm,Shape of Signaling Unit Head,Round,Type of Operator,Spring Return,Contacts Type and Composition,1 NO,Rated Supply Voltage,24 V AC/DC 50/60 Hz,1718190715-Product-Screenshot 2024-06-12 164142.png,,,18%,,,,,30 mm,42 mm,57 mm,0.056 kg,1,1-2 days,
"Schneider Electric XB5AW34G2N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Red, 22mm, Spring Return, unmarked, 24V AC DC, 1 NC",Schneider Electric,Factory Automation,Harmony,Illuminated Push Button,"Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Red, 22mm, Spring Return, 24V AC DC, 1 NC",XB5AW34G2N,XB5N,XB5AW34G2N,642,417.3,Piece,Each,1,"Schneider Electric XB5AW34G2N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Red, 22mm, Spring Return, unmarked, 24V AC DC, 1 NC",,,,,,Range of Product,Harmony XB5N/XB7N,Product or Component Type,Illuminated Push-Button,Contact Operation,Slow-Break,Product Compatibility,ZB5...N,Bezel Material,Dark Grey Plastic,Fixing Collar Material,Plastic,Mounting Diamete,22.5 mm,Shape of Signaling Unit Head,Round,Type of Operator,Spring Return,Contacts Type and Composition,1 NC,Rated Supply Voltage,24 V AC/DC 50/60 Hz,1718190773-Product-Screenshot 2024-06-12 164243.png,,,18%,,,,,30 mm,42 mm,57 mm,0.056 kg,1,1-2 days,
"Schneider Electric XB5AW31M1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, White, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",Schneider Electric,Factory Automation,Harmony,Illuminated Push Button,"Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, White, 22mm, Spring Return, 24V AC DC, 1 NO",XB5AW31M1N,XB5N,XB5AW31M1N,601,390.65,Piece,Each,1,"Schneider Electric XB5AW31M1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, White, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",,,,,,Range of Product,Harmony XB5N/XB7N,Product or Component Type,Illuminated Push-Button,Contact Operation,Slow-Break,Product Compatibility,ZB5...N,Bezel Material,Dark Grey Plastic,Fixing Collar Material,Plastic,Mounting Diamete,22.5 mm,Shape of Signaling Unit Head,Round,Type of Operator,Spring Return,Contacts Type and Composition,1 NO,Rated Supply Voltage,24 V AC/DC 50/60 Hz,1718190820-Product-Screenshot 2024-06-12 164330.png,,,18%,,,,,30 mm,42 mm,57 mm,0.056 kg,1,1-2 days,
"Schneider Electric XB5AW33M1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Green, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",Schneider Electric,Factory Automation,Harmony,Illuminated Push Button,"Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Green, 22mm, Spring Return, 24V AC DC, 1 NO",XB5AW33M1N,XB5N,XB5AW33M1N,528,343.2,Piece,Each,1,"Schneider Electric XB5AW33M1N- Illuminated Push Button, Harmony XB5N XB7N, Plastic, Flush, Green, 22mm, Spring Return, unmarked, 24V AC DC, 1 NO",,,,,,Range of Product,Harmony XB5N/XB7N,Product or Component Type,Illuminated Push-Button,Contact Operation,Slow-Break,Product Compatibility,ZB5...N,Bezel Material,Dark Grey Plastic,Fixing Collar Material,Plastic,Mounting Diamete,22.5 mm,Shape of Signaling Unit Head,Round,Type of Operator,Spring Return,Contacts Type and Composition,1 NO,Rated Supply Voltage,24 V AC/DC 50/60 Hz,1718190872-Product-Screenshot 2024-06-12 164416.png,,,18%,,,,,30 mm,42 mm,57 mm,0.056 kg,1,1-2 days,
