name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Jainson 319-05 - Copper Tubular Crimping Terminal Socket, 2.5mm²",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,,319-05,,319-05,7030,4780.4,Piece,(Pack of 1000),1,"Jainson 319-05 - Copper Tubular Crimping Terminal Socket, 2.5mm²",,,,,,Size,2.5 mm²,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,5.2 mm,,,,,,,,,1718619019-Product-Screenshot 2024-06-17 154005.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson 319-06 - Copper Tubular Crimping Terminal Socket, 4 mm²",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,,319-06,,319-06,9920,6745.6,Piece,(Pack of 1000),1,"Jainson 319-06 - Copper Tubular Crimping Terminal Socket, 4 mm²",,,,,,Size,4 mm²,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,,,1718619019-Product-Screenshot 2024-06-17 154005.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson 319-07 - Copper Tubular Crimping Terminal Socket, 6 mm²",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,,319-07,,319-07,10800,7344,Piece,(Pack of 1000),1,"Jainson 319-07 - Copper Tubular Crimping Terminal Socket, 6 mm²",,,,,,Size,6 mm²,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,,,1718619019-Product-Screenshot 2024-06-17 154005.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson 319-08 - Copper Tubular Crimping Terminal Socket, 10 mm²",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,,319-08,,319-08,13640,9275.2,Piece,(Pack of 1000),1,"Jainson 319-08 - Copper Tubular Crimping Terminal Socket, 10 mm²",,,,,,Size,10 mm²,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,,,1718619019-Product-Screenshot 2024-06-17 154005.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson 319-09 - Copper Tubular Crimping Terminal Socket, 16 mm²",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,,319-09,,319-09,9085,6177.8,Piece,(Pack of 500),1,"Jainson 319-09 - Copper Tubular Crimping Terminal Socket, 16 mm²",,,,,,Size,16 mm²,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,,,1718619019-Product-Screenshot 2024-06-17 154005.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson 319-10 - Copper Tubular Crimping Terminal Socket, 25 mm²",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,,319-10,,319-10,9273,6305.64,Piece,(Pack of 300),1,"Jainson 319-10 - Copper Tubular Crimping Terminal Socket, 25 mm²",,,,,,Size,25 mm²,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,,,1718619019-Product-Screenshot 2024-06-17 154005.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson 319-11 - Copper Tubular Crimping Terminal Socket, 35 mm²",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,,319-11,,319-11,10821,7358.28,Piece,(Pack of 300),1,"Jainson 319-11 - Copper Tubular Crimping Terminal Socket, 35 mm²",,,,,,Size,35 mm²,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,,,1718619019-Product-Screenshot 2024-06-17 154005.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson 319-12 - Copper Tubular Crimping Terminal Socket, 35 mm²",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,,319-12,,319-12,10821,7358.28,Piece,(Pack of 300),1,"Jainson 319-12 - Copper Tubular Crimping Terminal Socket, 35 mm²",,,,,,Size,35 mm²,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,8.2 mm,,,,,,,,,1718619019-Product-Screenshot 2024-06-17 154005.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson 319-13 - Copper Tubular Crimping Terminal Socket, 50 mm²",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,,319-13,,319-13,9228,6275.04,Piece,(Pack of 200),1,"Jainson 319-13 - Copper Tubular Crimping Terminal Socket, 50 mm²",,,,,,Size,50 mm²,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,,,1718619019-Product-Screenshot 2024-06-17 154005.png,,,18%,,,,,,,,,1,1-2 Days,
"Jainson 319-14 - Copper Tubular Crimping Terminal Socket, 50 mm²",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,,319-14,,319-14,9228,6275.04,Piece,(Pack of 200),1,"Jainson 319-14 - Copper Tubular Crimping Terminal Socket, 50 mm²",,,,,,Size,50 mm²,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,8.2 mm,,,,,,,,,1718619019-Product-Screenshot 2024-06-17 154005.png,,,18%,,,,,,,,,1,1-2 Days,
