name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Balluff BCC032H-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M12x1-Female, Straight, 5-Pin, 5-meter",Balluff,Sensors,Sensor Accessories,Pressure-Rated Inductive Sensors Accessories,Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories,BCC032H,BCC,BCC032H,,1547.6,Piece,Each,1,"Balluff BCC032H-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M12x1-Female, Straight, 5-Pin, 5-meter",,,,,,Connection,"M12x1-Female, Straight, 5-Pin, A-Coded",Switching Output,Complementary,Cable,"PUR Black, 5 m, Drag Chain Compatible",Number Of Conductors,4,Conductor Cross-Section,0.34 mm²,"Cable Temperature, Fixed Routing",(-50...90 °C),"Cable Temperature, Flexible Routing",(-25...90 °C),Operating Voltage Ub,250 VDC / 250 VAC,Rated Current (40 °C),4.0 A,IP Rating,"IP67, IP68, IP69K",,,1716541461-Product-BCC032H.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=287769&con=en,,,,,,,,1,1-2 Days,Pressure-Rated Inductive Sensors
"Balluff BCC032F-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M12x1-Female, Straight, 5-Pin, 2-meter",Balluff,Sensors,Sensor Accessories,Pressure-Rated Inductive Sensors Accessories,Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories,BCC032F,BCC,BCC032F,,1019.59,Piece,Each,1,"Balluff BCC032F-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M12x1-Female, Straight, 5-Pin, 2-meter",,,,,,Connection,"M12x1-Female, Straight, 5-Pin, A-Coded",Switching Output,Complementary,Cable,"PUR Black, 2 m, Drag Chain Compatible",Number Of Conductors,4,Conductor Cross-Section,0.34 mm²,"Cable Temperature, Fixed Routing",(-50...90 °C),"Cable Temperature, Flexible Routing",(-25...90 °C),Operating Voltage Ub,250 VDC / 250 VAC,Rated Current (40 °C),4.0 A,IP Rating,"IP67, IP68, IP69K",,,1716543179-Product-BCC032F.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=279285&con=en,,,,,,,,1,1-2 Days,Pressure-Rated Inductive Sensors
"Balluff BCC032J-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M12x1-Female, Straight, 5-Pin, 10-meter",Balluff,Sensors,Sensor Accessories,Pressure-Rated Inductive Sensors Accessories,Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories,BCC032J,BCC,BCC032J,,2426.89,Piece,Each,1,"Balluff BCC032J-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M12x1-Female, Straight, 5-Pin, 10-meter",,,,,,Connection,"M12x1-Female, Straight, 5-Pin, A-Coded",Switching Output,Complementary,Cable,"PUR Black, 10 m, Drag Chain Compatible",Number Of Conductors,4,Conductor Cross-Section,0.34 mm²,"Cable Temperature, Fixed Routing",(-50...90 °C),"Cable Temperature, Flexible Routing",(-25...90 °C),Operating Voltage Ub,250 VDC / 250 VAC,Rated Current (40 °C),4.0 A,IP Rating,"IP67, IP68, IP69K",,,1716543087-Product-BCC032J.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=279288&con=en,,,,,,,,1,1-2 Days,Pressure-Rated Inductive Sensors
"Balluff BCC0KZT-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M12x1-Female, Straight, 5-Pin, 10-meter",Balluff,Sensors,Sensor Accessories,Pressure-Rated Inductive Sensors Accessories,Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories,BCC0KZT,BCC,BCC0KZT,,2586.47,Piece,Each,1,"Balluff BCC0KZT-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M12x1-Female, Straight, 5-Pin, 10-meter",,,,,,Connection,"M12x1-Female, Straight, 5-Pin, A-Coded",Switching Output,Complementary,Cable,"PUR Black, 10 m, Drag Chain Compatible",Number Of Conductors,4,Conductor Cross-Section,0.34 mm²,"Cable Temperature, Fixed Routing",(-50...90 °C),"Cable Temperature, Flexible Routing",(-25...90 °C),Operating Voltage Ub,250 VDC / 250 VAC,Rated Current (40 °C),4.0 A,IP Rating,"IP67, IP68, IP69K",,,1716543598-Product-BCC0KZT.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=270270&con=en,,,,,,,,1,1-2 Days,Pressure-Rated Inductive Sensors
"Balluff BCC0FLL-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M5x0.5-Female, Straight, 4-Pin, 3-meter",Balluff,Sensors,Sensor Accessories,Pressure-Rated Inductive Sensors Accessories,Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories,BCC0FLL,BCC,BCC0FLL,,1846.4,Piece,Each,1,"Balluff BCC0FLL-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M5x0.5-Female, Straight, 4-Pin, 3-meter",,,,,,Connection,"M5x0.5-Female, Straight, 4-Pin",Switching Output,Complementary,Cable,"PUR Black, 3 m, Drag Chain Compatible",Number Of Conductors,4,Conductor Cross-Section,0.14 mm²,"Cable Temperature, Fixed Routing",(-25...80 °C),"Cable Temperature, Flexible Routing",(-5...80 °C),Operating Voltage Ub,60 VDC / 60 VAC,Rated Current (40 °C),1.0 A,IP Rating,IP67,,,1718344130-Product-BCC0FLL.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=237926&con=en,,,,,,,,1,1-2 Days,Pressure-Rated Inductive Sensors
"Balluff BCC0FLM-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M5x0.5-Female, Straight, 4-Pin, 5-meter",Balluff,Sensors,Sensor Accessories,Pressure-Rated Inductive Sensors Accessories,Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories,BCC0FLM,BCC,BCC0FLM,,2053.11,Piece,Each,1,"Balluff BCC0FLM-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M5x0.5-Female, Straight, 4-Pin, 5-meter",,,,,,Connection,"M5x0.5-Female, Straight, 4-Pin",Switching Output,Complementary,Cable,"PUR Black, 5 m, Drag Chain Compatible",Number Of Conductors,4,Conductor Cross-Section,0.14 mm²,"Cable Temperature, Fixed Routing",(-25...80 °C),"Cable Temperature, Flexible Routing",(-5...80 °C),Operating Voltage Ub,60 VDC / 60 VAC,Rated Current (40 °C),1.0 A,IP Rating,IP67,,,1718344141-Product-BCC0FLM.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=237927&con=en,,,,,,,,1,1-2 Days,Pressure-Rated Inductive Sensors
"Balluff BCC0FLN-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M5x0.5-Female, Straight, 4-Pin, 10-meter",Balluff,Sensors,Sensor Accessories,Pressure-Rated Inductive Sensors Accessories,Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories,BCC0FLN,BCC,BCC0FLN,,2570.4,Piece,Each,1,"Balluff BCC0FLN-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M5x0.5-Female, Straight, 4-Pin, 10-meter",,,,,,Connection,"M5x0.5-Female, straight, 4-pin",Switching Output,Complementary,Cable,"PUR Black, 10 m, Drag Chain Compatible",Number Of Conductors,4,Conductor Cross-Section,0.14 mm²,"Cable Temperature, Fixed Routing",(-25...80 °C),"Cable Temperature, Flexible Routing",(-5...80 °C),Operating Voltage Ub,60 VDC / 60 VAC,Rated Current (40 °C),1.0 A,IP Rating,IP67,,,1718344153-Product-BCC0FLN.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=237928&con=en,,,,,,,,1,1-2 Days,Pressure-Rated Inductive Sensors
"Balluff BCC02M8-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M8x1-Female, Straight, 3-Pin, 2-meter",Balluff,Sensors,Sensor Accessories,Pressure-Rated Inductive Sensors Accessories,Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories,BCC02M8,BCC,BCC02M8,,903.92,Piece,Each,1,"Balluff BCC02M8-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M8x1-Female, Straight, 3-Pin, 2-meter",,,,,,Connection,"M8x1-Female, Straight, 3-Pin, A-Coded",Cable,"PUR Black, 2 m, Drag Chain Compatible",Number Of Conductors,3,Conductor Cross-Section,0.34 mm²,"Cable Temperature, Fixed Routing",(-50...90 °C),"Cable Temperature, Flexible Routing",(-25...90 °C),Operating Voltage Ub,60 VDC / 60 VAC,Rated Current (40 °C),4.0 A,IP Rating,"IP67, IP69K",,,,,1718268391-Product-BCC02M8.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=279221&con=en,,,,,,,,1,1-2 Days,Pressure-Rated Inductive Sensors
"Balluff BCC02M9-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M8x1-Female, Straight, 3-Pin, 5-meter",Balluff,Sensors,Sensor Accessories,Pressure-Rated Inductive Sensors Accessories,Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories,BCC02M9,BCC,BCC02M9,,1355.89,Piece,Each,1,"Balluff BCC02M9-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M8x1-Female, Straight, 3-Pin, 5-meter",,,,,,Connection,"M8x1-Female, Straight, 3-Pin, A-Coded",Cable,"PUR Black, 5 m, Drag Chain Compatible",Number Of Conductors,3,Conductor Cross-Section,0.34 mm²,"Cable Temperature, Fixed Routing",(-50...90 °C),"Cable Temperature, Flexible Routing",(-25...90 °C),Operating Voltage Ub,60 VDC / 60 VAC,Rated Current (40 °C),4.0 A,IP Rating,"IP67, IP69K",,,,,1718268402-Product-BCC02M9.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=287779&con=en,,,,,,,,1,1-2 Days,Pressure-Rated Inductive Sensors
"Balluff Bcc02MA-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M8x1-Female, Straight, 3-Pin, 10-meter",Balluff,Sensors,Sensor Accessories,Pressure-Rated Inductive Sensors Accessories,Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories,BCC02MA,BCC,BCC02MA,,2109.87,Piece,Each,1,"Balluff Bcc02MA-Single-Ended Cordsets For Pressure-Rated Inductive Sensors Accessories, M8x1-Female, Straight, 3-Pin, 10-meter",,,,,,Connection,"M8x1-Female, Straight, 3-Pin, A-Coded",Cable,"PUR Black, 10 m, Drag Chain Compatible",Number Of Conductors,3,Conductor Cross-Section,0.34 mm²,"Cable Temperature, Fixed Routing",(-50...90 °C),"Cable Temperature, Flexible Routing",(-25...90 °C),Operating Voltage Ub,60 VDC / 60 VAC,Rated Current (40 °C),4.0 A,IP Rating,"IP67, IP69K",,,,,1718268416-Product-BCC02MA.PNG,,,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=287780&con=en,,,,,,,,1,1-2 Days,Pressure-Rated Inductive Sensors
