c1_category,c2_category,leaf_category
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel
