name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Jainson JEB-11 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 35 Sq.mm, Ring Dia 6.5 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel Tubular Terminal End,JEB-11,,JEB-11,16542,11248.56,Piece,(Pack of 300),1,"Jainson JEB-11 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 35 mmÂ², Ring Dia 6.5 mm",,,,,,Size,35 Sq.mm,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,,,,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-12 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 35 Sq.mm, Ring Dia 8.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel Tubular Terminal End,JEB-12,,JEB-12,16542,11248.56,Piece,(Pack of 300),1,"Jainson JEB-12 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 35 mmÂ², Ring Dia 8.2 mm",,,,,,Size,35 Sq.mm,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,8.2 mm,,,,,,,,,,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-13 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 50 Sq.mm , Ring Dia6.5 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel Tubular Terminal End,JEB-13,,JEB-13,14046,9551.28,Piece,(Pack of 200),1,"Jainson JEB-13 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 50 mmÂ² , Ring Dia6.5 mm",,,,,,Size,50 Sq.mm,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,,,,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-14 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 50 Sq.mm, Ring Dia 8.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel Tubular Terminal End,JEB-14,,JEB-14,14046,9551.28,Piece,(Pack of 200),1,"Jainson JEB-14 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 50 mmÂ², Ring Dia 8.2 mm",,,,,,Size,50 Sq.mm,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,8.2 mm,,,,,,,,,,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-15 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 50 Sq.mm , Ring Dia, 10.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel Tubular Terminal End,JEB-15,,JEB-15,14046,9551.28,Piece,(Pack of 200),1,"Jainson JEB-15 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 50 mmÂ² , Ring Dia, 10.2 mm",,,,,,Size,50 Sq.mm,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,10.2 mm,,,,,,,,,,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-16 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 70 Sq.mm , Ring Dia 8.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel Tubular Terminal End,JEB-16,,JEB-16,11473,7801.64,Piece,(Pack of 100),1,"Jainson JEB-16 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 70 mmÂ² , Ring Dia 8.2 mm",,,,,,Size,70 Sq.mm,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,8.2 mm,,,,,,,,,,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-17 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 70 Sq.mm, Ring Dia, 10.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel Tubular Terminal End,JEB-17,,JEB-17,11473,7801.64,Piece,(Pack of 100),1,"Jainson JEB-17 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 70 mmÂ², Ring Dia, 10.2 mm",,,,,,Size,70 Sq.mm,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,10.2 mm,,,,,,,,,,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-18 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 70 Sq.mm, Ring Dia 12.7 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel Tubular Terminal End,JEB-18,,JEB-18,11473,7801.64,Piece,(Pack of 100),1,"Jainson JEB-18 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 70 mmÂ² Ring Dia 12.7 mm",,,,,,Size,70 Sq.mm,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,12.7 mm,,,,,,,,,,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-19 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 95 Sq.mm, Ring Dia 10.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel Tubular Terminal End,JEB-19,,JEB-19,11301.75,7685.19,Piece,(Pack of 75),1,"Jainson JEB-19 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 95 mmÂ², Ring Dia 10.2 mm",,,,,,Size,95 Sq.mm,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,10.2 mm,,,,,,,,,,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-20 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 95 Sq.mm, Ring Dia 12.7 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,Long Barrel Tubular Terminal End,JEB-20,,JEB-20,11301.75,7685.19,Piece,(Pack of 75),1,"Jainson JEB-20 - Copper Tubular Crimping Terminal Sockets , Long Barrel, Conductor Size 95 mmÂ², Ring Dia 12.7 mm",,,,,,Size,95 Sq.mm,Type,Copper Tublar Crimping Terminal Socket,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,12.7 mm,,,,,,,,,,,,18%,,,,,,,,,1,1-2 days,
