name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Jainson JEB-05- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 2.5 Sq.mm, Ring Diameter 5.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,2.5 Sq.mm Long Barrel Tubular Terminal End,JEB-05,Long Barrel Tubular Terminal End,JEB-05,11560,8323.2,Piece,(Pack of 1000),1,"Jainson JEB-05- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 2.5 Sq.mm, Ring Diameter 5.2 mm",,,,,,Size,2.5 Sq.mm,Type,Long Barrel,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,5.2 mm,,,,,,,1718798965-Product-Screenshot 2024-06-19 173115.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-06- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 4 Sq.mm, Ring Diameter 6.5 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,4 Sq.mm Long Barrel Tubular Terminal End,JEB-06,Long Barrel Tubular Terminal End,JEB-06,15700,11304,Piece,(Pack of 1000),1,"Jainson JEB-06- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 4 Sq.mm, Ring Diameter 6.5 mm",,,,,,Size,4 Sq.mm,Type,Long Barrel,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,1718798965-Product-Screenshot 2024-06-19 173115.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-07- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 6 Sq.mm, Ring Diameter 6.5 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,6 Sq.mm Long Barrel Tubular Terminal End,JEB-07,Long Barrel Tubular Terminal End,JEB-07,17360,12499.2,Piece,(Pack of 1000),1,"Jainson JEB-07- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 6 Sq.mm, Ring Diameter 6.5 mm",,,,,,Size,6 Sq.mm,Type,Long Barrel,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,1718798965-Product-Screenshot 2024-06-19 173115.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-08- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 10 Sq.mm, Ring Diameter 6.5 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,10 Sq.mm Long Barrel Tubular Terminal End,JEB-08,Long Barrel Tubular Terminal End,JEB-08,21640,15580.8,Piece,(Pack of 1000),1,"Jainson JEB-08- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 10 Sq.mm, Ring Diameter 6.5 mm",,,,,,Size,10 Sq.mm,Type,Long Barrel,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,1718798965-Product-Screenshot 2024-06-19 173115.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-09- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 16 Sq.mm, Ring Diameter 6.5 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,16 Sq.mm Long Barrel Tubular Terminal End,JEB-09,Long Barrel Tubular Terminal End,JEB-09,14460,10411.2,Piece,(Pack of 500),1,"Jainson JEB-09- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 16 Sq.mm, Ring Diameter 6.5 mm",,,,,,Size,16 Sq.mm,Type,Long Barrel,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,1718798965-Product-Screenshot 2024-06-19 173115.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson JEB-10- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 25 Sq.mm, Ring Diameter 6.5 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,25 Sq.mm Long Barrel Tubular Terminal End,JEB-10,Long Barrel Tubular Terminal End,JEB-10,14733,10607.76,Piece,(Pack of 300),1,"Jainson JEB-10- Long Barrel, Copper Tubular Crimping Terminal Socket, Size 25 Sq.mm, Ring Diameter 6.5 mm",,,,,,Size,25 Sq.mm,Type,Long Barrel,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,6.5 mm,,,,,,,1718798965-Product-Screenshot 2024-06-19 173115.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson 319-282- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 25 Sq.mm, Ring Diameter 8.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,25 Sq.mm Heavy Duty Tubular Terminal End,319-282,Heavy Duty Tubular Terminal End,319-282,13158,8684.28,Piece,(Pack of 300),1,"Jainson 319-282- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 25 Sq.mm, Ring Diameter 8.2 mm",,,,,,Size,25 Sq.mm,Type,Heavy Duty,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,8.2 mm,,,,,,,1718880120-Product-Screenshot 2024-06-20 161143.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson 319-283- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 35 Sq.mm, Ring Diameter 8.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,35 Sq.mm Heavy Duty Tubular Terminal End,319-283,Heavy Duty Tubular Terminal End,319-283,13702,9043.32,Piece,(Pack of 200),1,"Jainson 319-283- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 35 Sq.mm, Ring Diameter 8.2 mm",,,,,,Size,35 Sq.mm,Type,Heavy Duty,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,8.2 mm,,,,,,,1718880120-Product-Screenshot 2024-06-20 161143.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson 319-284- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 50 Sq.mm, Ring Diameter 8.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,50 Sq.mm Heavy Duty Tubular Terminal End,319-284,Heavy Duty Tubular Terminal End,319-284,11040,7286.4,Piece,(Pack of 100),1,"Jainson 319-284- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 50 Sq.mm, Ring Diameter 8.2 mm",,,,,,Size,50 Sq.mm,Type,Heavy Duty,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,8.2 mm,,,,,,,1718880120-Product-Screenshot 2024-06-20 161143.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson 319-285- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 70 Sq.mm, Ring Diameter 10.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,70 Sq.mm Heavy Duty Tubular Terminal End,319-285,Heavy Duty Tubular Terminal End,319-285,13283.25,8766.945,Piece,(Pack of 75),1,"Jainson 319-285- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 70 Sq.mm, Ring Diameter 10.2 mm",,,,,,Size,70 Sq.mm,Type,Heavy Duty,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,10.2 mm,,,,,,,1718880120-Product-Screenshot 2024-06-20 161143.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson 319-286- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 95 Sq.mm, Ring Diameter 12.7 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,95 Sq.mm Heavy Duty Tubular Terminal End,319-286,Heavy Duty Tubular Terminal End,319-286,13239.5,8738.07,Piece,(Pack of 50),1,"Jainson 319-286- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 95 Sq.mm, Ring Diameter 12.7 mm",,,,,,Size,95 Sq.mm,Type,Heavy Duty,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,12.7 mm,,,,,,,1718880120-Product-Screenshot 2024-06-20 161143.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson 319-287- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 120 Sq.mm, Ring Diameter 12.7 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,120 Sq.mm Heavy Duty Tubular Terminal End,319-287,Heavy Duty Tubular Terminal End,319-287,14832,9789.12,Piece,(Pack of 40),1,"Jainson 319-287- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 120 Sq.mm, Ring Diameter 12.7 mm",,,,,,Size,120 Sq.mm,Type,Heavy Duty,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,12.7 mm,,,,,,,1718880120-Product-Screenshot 2024-06-20 161143.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson 319-288- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 150 Sq.mm, Ring Diameter 12.7 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,150 Sq.mm Heavy Duty Tubular Terminal End,319-288,Heavy Duty Tubular Terminal End,319-288,11458,7562.28,Piece,(Pack of 25),1,"Jainson 319-288- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 150 Sq.mm, Ring Diameter 12.7 mm",,,,,,Size,150 Sq.mm,Type,Heavy Duty,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,12.7 mm,,,,,,,1718880120-Product-Screenshot 2024-06-20 161143.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson 319-289- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 185 Sq.mm, Ring Diameter 12.7 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,185 Sq.mm Heavy Duty Tubular Terminal End,319-289,Heavy Duty Tubular Terminal End,319-289,16605.25,10959.465,Piece,(Pack of 25),1,"Jainson 319-289- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 185 Sq.mm, Ring Diameter 12.7 mm",,,,,,Size,185 Sq.mm,Type,Heavy Duty,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,12.7 mm,,,,,,,1718880120-Product-Screenshot 2024-06-20 161143.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson 319-290- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 240 Sq.mm, Ring Diameter 16.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,240 Sq.mm Heavy Duty Tubular Terminal End,319-290,Heavy Duty Tubular Terminal End,319-290,13981.65,9227.889,Piece,(Pack of 15),1,"Jainson 319-290- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 240 Sq.mm, Ring Diameter 16.2 mm",,,,,,Size,240 Sq.mm,Type,Heavy Duty,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,16.2 mm,,,,,,,1718880120-Product-Screenshot 2024-06-20 161143.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson 319-291- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 300 Sq.mm, Ring Diameter 16.2 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,300 Sq.mm Heavy Duty Tubular Terminal End,319-291,Heavy Duty Tubular Terminal End,319-291,11609.6,7662.336,Piece,(Pack of 10),1,"Jainson 319-291- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 300 Sq.mm, Ring Diameter 16.2 mm",,,,,,Size,300 Sq.mm,Type,Heavy Duty,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,16.2 mm,,,,,,,1718880120-Product-Screenshot 2024-06-20 161143.png,,,18%,,,,,,,,,1,1-2 days,
"Jainson 319-292- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 400 Sq.mm, Ring Diameter 20.3 mm",Jainson,Panel & Panel Accessories,Cable Lugs,Copper Tubular Crimping Terminal Socket,400 Sq.mm Heavy Duty Tubular Terminal End,319-292,Heavy Duty Tubular Terminal End,319-292,13576.32,8960.3712,Piece,(Pack of 8),1,"Jainson 319-292- Heavy Duty, Copper Tubular Crimping Terminal Socket, Size 400 Sq.mm, Ring Diameter 20.3 mm",,,,,,Size,400 Sq.mm,Type,Heavy Duty,Type of Product,Copper Tubular Crimping Terminal Sockets,Material,Copper,Color,Silver,No. of Holes,1,Suitable For,Cable Connection,Ring Diameter,20.3 mm,,,,,,,1718880120-Product-Screenshot 2024-06-20 161143.png,,,18%,,,,,,,,,1,1-2 days,
