c1_category,c2_category,leaf_category
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 25 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 35 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 50 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 70 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 95 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 120 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 150 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 185 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 240 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 300 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 400 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 500 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 630 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 800 Sq.mm
Cable Lugs,Copper Crimping Type In- Line Connectors,Long Barrel Cable terminal Ends 1000 Sq.mm
