name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"ABB Robot Cover, Dustproof, Waterproof & Paint proof",Reputed,Customized Product,Robot Cover,ABB Robot Cover,,,,,,,Piece,Each,1,"ABB Robot Cover, Dustproof, Waterproof & Paint proof",,,,,,Use,"Dustproof, Waterproof & Paint proof",,,,,,,,,,,,,,,,,,,,,1719048221-Product-ABB Robot Cover.PNG,,,18%,,,,,,,,,1,1-2 Days,
"DURR Robot Cover, Dustproof, Waterproof & Paint proof",Reputed,Customized Product,Robot Cover,DURR Robot Cover,,,,,,,Piece,Each,1,"DURR Robot Cover, Dustproof, Waterproof & Paint proof",,,,,,Use,"Dustproof, Waterproof & Paint proof",,,,,,,,,,,,,,,,,,,,,1719048231-Product-DURR Robot Cover.PNG,,,18%,,,,,,,,,1,1-2 Days,
"FANUC Robot Cover, Dustproof, Waterproof & Paint proof",Reputed,Customized Product,Robot Cover,FANUC Robot Cover,,,,,,,Piece,Each,1,"FANUC Robot Cover, Dustproof, Waterproof & Paint proof",,,,,,Use,"Dustproof, Waterproof & Paint proof",,,,,,,,,,,,,,,,,,,,,1719048242-Product-FANUC Robot Cover.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Kawasaki Robot Cover, Dustproof, Waterproof & Paint proof",Reputed,Customized Product,Robot Cover,Kawasaki Robot Cover,,,,,,,Piece,Each,1,"Kawasaki Robot Cover, Dustproof, Waterproof & Paint proof",,,,,,Use,"Dustproof, Waterproof & Paint proof",,,,,,,,,,,,,,,,,,,,,1719048252-Product-Kawasaki Robot Cover.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Kobelco Robot Cover, Dustproof, Waterproof & Paint proof",Reputed,Customized Product,Robot Cover,Kobelco Robot Cover,,,,,,,Piece,Each,1,"Kobelco Robot Cover, Dustproof, Waterproof & Paint proof",,,,,,Use,"Dustproof, Waterproof & Paint proof",,,,,,,,,,,,,,,,,,,,,1719048264-Product-Kobelco Robot Cover.PNG,,,18%,,,,,,,,,1,1-2 Days,
"KUKA Robot Cover, Dustproof, Waterproof & Paint proof",Reputed,Customized Product,Robot Cover,KUKA Robot Cover,,,,,,,Piece,Each,1,"KUKA Robot Cover, Dustproof, Waterproof & Paint proof",,,,,,Use,"Dustproof, Waterproof & Paint proof",,,,,,,,,,,,,,,,,,,,,1719048273-Product-KUKA Robot Cover.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Motoman Robot Cover, Dustproof, Waterproof & Paint proof",Reputed,Customized Product,Robot Cover,Motoman Robot Cover,,,,,,,Piece,Each,1,"Motoman Robot Cover, Dustproof, Waterproof & Paint proof",,,,,,Use,"Dustproof, Waterproof & Paint proof",,,,,,,,,,,,,,,,,,,,,1719048281-Product-Motoman Robot Cover.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Nachi Robot Cover, Dustproof, Waterproof & Paint proof",Reputed,Customized Product,Robot Cover,Nachi Robot Cover,,,,,,,Piece,Each,1,"Nachi Robot Cover, Dustproof, Waterproof & Paint proof",,,,,,Use,"Dustproof, Waterproof & Paint proof",,,,,,,,,,,,,,,,,,,,,1719048290-Product-Nachi Robot Cover.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Reis Robot Cover, Dustproof, Waterproof & Paint proof",Reputed,Customized Product,Robot Cover,Reis Robot Cover,,,,,,,Piece,Each,1,"Reis Robot Cover, Dustproof, Waterproof & Paint proof",,,,,,Use,"Dustproof, Waterproof & Paint proof",,,,,,,,,,,,,,,,,,,,,1719048299-Product-Reis Robot Cover.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Staubli Robot Cover, Dustproof, Waterproof & Paint proof",Reputed,Customized Product,Robot Cover,Staubli Robot Cover,,,,,,,Piece,Each,1,"Staubli Robot Cover, Dustproof, Waterproof & Paint proof",,,,,,Use,"Dustproof, Waterproof & Paint proof",,,,,,,,,,,,,,,,,,,,,1719048307-Product-Staubli Robot Cover.PNG,,,18%,,,,,,,,,1,1-2 Days,
