id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
4184,"Dowell's, CP-59-Pin Terminal Non-Insulated Thimble,Wires Size-0.75 Sq.mm (1 Pack of 200 No) .",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-59,CP-Series,CP-59,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"CP-59-Pin Terminal Non-insulated Thimble,Wires Size-0.75 Sq.mm",,,,,,Wires Size,0.75 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,3296282576-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4185,"Dowell's, CP-44-Pin Terminal Non-Insulated Thimble,Wires Size-1 Sq.mm (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-44,CP-Series,CP-44,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"CP-44-Pin Terminal Non-insulated Thimble,Wires Size-1 Sq.mm",,,,,,Wires Size,1 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,6524723676-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4186,"Dowell's, CP-9 -Pin Terminal Non-Insulated Thimble,Wires Size-1.5 Sq.mm (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-9,CP-Series,CP-9,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"CP-9 -Pin Terminal Non-insulated Thimble,Wires Size-1.5 Sq.mm",,,,,,Wires Size,1.5 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,8997023034-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4187,"Dowell's, CP-35-Pin Terminal Non-Insulated Thimble,Wires Size-1.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-35,CP-Series,CP-35,2.8/Pc,560,Piece,(1 Pack of 200 No),1,"CP-35-Pin Terminal Non-insulated Thimble,Wires Size-1.5 Sq.mm",,,,,,Wires Size,1.5 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,4876672961-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4188,"Dowell's, CP-1-Pin Terminal Non-Insulated Thimble,Wires Size-2.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-1,CP-Series,CP-1,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"CP-1-Pin Terminal Non-insulated Thimble,Wires Size-2.5 Sq.mm",,,,,,Wires Size,2.5 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,3088038412-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4189,"Dowell's, CP-2-Pin Terminal Non-Insulated Thimble,Wires Size-2.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-2,CP-Series,CP-2,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"CP-2-Pin Terminal Non-insulated Thimble,Wires Size-2.5 Sq.mm",,,,,,Wires Size,2.5 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,1391781371-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4190,"Dowell's, CP-86-Pin Terminal Non-Insulated Thimble,Wires Size-25 Sq.mm. (1 Pack of 13 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-86,CP-Series,CP-86,28/Pc,364,Piece,(1 Pack of 13 No),1,"CP-86-Pin Terminal Non-insulated Thimble,Wires Size-25 Sq.mm",,,,,,Wires Size,25 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,7305716719-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4191,"Dowell's, CP-87-Pin Terminal Non-Insulated Thimble,Wires Size-35 Sq.mm. (1 Pack of 10 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-87,CP-Series,CP-87,37/Pc,370,Piece,(1 Pack of 10 No),1,"CP-87-Pin Terminal Non-insulated Thimble,Wires Size-35 Sq.mm",,,,,,Wires Size,35 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,7081853496-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4192,"Dowell's, CP-3-Pin- Terminal Non-Insulated Thimble,Wires Size-4 Sq.mm. (Pack Of 80 Nos.)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-3,CP-Series,CP-3,4.8/Pc,384,Piece,(Pack Of 80 Nos.),1,"CP-3-Pin Terminal Non-insulated Thimble,Wires Size-4 Sq.mm",,,,,,Wires Size,4 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,3708861520-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4193,"Dowell's, CP-5-Pin- Terminal Non-Insulated Thimble,Wires Size-6 Sq.mm. (Pack Of 80 Nos.)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-5,CP-Series,CP-5,4.8/Pc,384,Piece,(Pack Of 80 Nos.),1,"CP-5-Pin Terminal Non-insulated Thimble,Wires Size-6 Sq.mm",,,,,,Wires Size,6 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,7378442885-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4194,"Dowell's, CP-7-Pin- Terminal Non-Insulated Thimble,Wires Size-10 Sq.mm. (1 Pack of 50 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-7,CP-Series,CP-7,7.6/Pc,380,Piece,(1 Pack of 50 No),1,"CP-7-Pin Terminal Non-insulated Thimble,Wires Size-10 Sq.mm",,,,,,Wires Size,10 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,8731282148-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4195,"Dowell's, CP-8-Pin- Terminal Non-Insulated Thimble,Wires Size-16 Sq.mm. (1 Pack of 25 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-8,CP-Series,CP-8,15/Pc,375,Piece,(1 Pack of 25 No),1,"CP-8-Pin Terminal Non-insulated Thimble,Wires Size-16 Sq.mm",,,,,,Wires Size,16 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,3807168102-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4196,"Dowell's, CP-88-Pin- Terminal Non-Insulated Thimble,Wires Size-50 Sq.mm. (1 Pack of 7 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-88,CP-Series,CP-88,56/Pc,392,Piece,(1 Pack of 7 No),1,"CP-88-Pin Terminal Non-insulated Thimble,Wires Size-50 Sq.mm",,,,,,Wires Size,50 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,9599241700-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4197,"Dowell's, CP-89-Pin- Terminal Non-Insulated Thimble,Wires Size-70 Sq.mm. (1 Pack of 5 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-89,CP-Series,CP-89,75/Pc,375,Piece,(1 Pack of 5 No),1,"CP-89-Pin Terminal Non-insulated Thimble,Wires Size-70 Sq.mm",,,,,,Wires Size,70 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,1978102212-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4198,"Dowell's, CP-90-Pin- Terminal Non-Insulated Thimble,Wires Size-95 Sq.mm. (1 Pack of 4 No)",Dowell's,Panel & Panel Accessories,Thimbles,Pin Terminal Non-Insulated,Non-Insulated,CP-90,CP-Series,CP-90,96/Pc,384,Piece,(1 Pack of 4 No),1,"CP-90-Pin Terminal Non-insulated Thimble,Wires Size-95 Sq.mm",,,,,,Wires Size,95 Sq.mm,,,,,,,,,,,,,,,,,,,,,1715676432-Product-Screenshot 2024-05-14 141656.png,6726119683-Dowell's--CP,,18%,,,,,,,,,1,1-2 Days,
4277,"Dowell's, RS-7317-Non Insulated Ring Terminals Thimble,Wire Size-0.75 Sqmm, Ring Size-4mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7317,RS-Series,RS-7317,2.2/Pc,440,Piece,(1 Pack of 200 No),1,"RS-7317-Non Insulated Ring Terminals Thimble,Wire Size-0.75 Sqmm, Ring Size-4mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,0.75- Sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,4264516865-Dowell's--RS,,18%,,,,,,,,,1,1-2 Days,
4278,"Dowell's, RS-7318-Non Insulated Ring Terminals Thimble,Wire Size-1 Sqmm, Ring Size-3.5mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7318,RS-Series,RS-7318,2.2/Pc,440,Piece,(1 Pack of 200 No),1,"RS-7318-Non Insulated Ring Terminals Thimble,Wire Size-1 Sqmm, Ring Size-3.5mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1 Sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,6551874578-Dowell's--RS,,18%,,,,,,,,,1,1-2 Days,
4279,"Dowell's, RS-7001-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7001,RS-Series,RS-7001,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"RS-7001-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1.5 Sqmm,Ring Size,3mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,8633273592-Dowell's--RS,,18%,,,,,,,,,1,1-2 Days,
4280,"Dowell's, RS-7002-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7002,RS-Series,RS-7002,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"RS-7002-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1.5 Sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,9618170949-Dowell's--RS,,18%,,,,,,,,,1,1-2 Days,
4281,"Dowell's, RS-7048-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Non-Insulated,Non-Insulated,RS-7048,RS-Series,RS-7048,2.5/Pc,500,Piece,(1 Pack of 200 No),1,"RS-7048-Non Insulated Ring Terminals Thimble,Wire Size-1.5 Sqmm, Ring Size-3.5mm",1715667074-Product-Screenshot 2024-05-14 114102.png,,,,,Wires Size,1.5 Sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715666812-Product-Screenshot 2024-05-14 113636.png,7413503110-Dowell's--RS,,18%,,,,,,,,,1,1-2 Days,
