c1_category,c2_category,leaf_category
Low Voltage Switch Gear,Isolators,"Series KBW, 2P, 25 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW, 2P, 40 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW, 2P, 63 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW, 2P, 80 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW,2P, 100 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW,2P, 125 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW, 3P, 25 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW,3P, 40 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW,3P, 63 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW,3P, 80 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW, 3P, 100 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW, 3P , 125 A Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW,4P , 25 A , Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW,4P, 40A , Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW,4P, 63A , Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW, 4P,80A, Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW, 4P, 100A, Isolator"
Low Voltage Switch Gear,Isolators,"Series KBW,4P, 125A , Isolator"
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 16A 30 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 25A 30 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 32A 30 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 40A 30 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 63A 30 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 16A 100 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 25A 100 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 32A 100 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 40A 100 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 63A 100 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 16A 300 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 25A 300 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 32A 300 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 40A 300 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 63A 300 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 16A 30 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 25A 30 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 32A 30 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 40A 30 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 63A 30 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 16A 100 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 25A 100 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 32A 100 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 40A 100 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 63A 100 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 16A 300 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 25A 300 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 32A 300 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 40A 300 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 63A 300 M RCCB
