id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
6784,"Mitsubishi Electric BVW-T 2P 16A 30mA- Series BVW-T 2P 16A 30mA, 240V, AC Type RCCB",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,RCCB,Series BVW-T 2P 16A 30mA RCCB,BVW-T 2P 16A 30mA,BVW,BVW-T 2P 16A 30mA,2879,2015.3,Piece,Each,1,"Mitsubishi Electric BVW-T 2P 16A 30mA- Series BVW-T 2P 16A 30mA, 240V, AC Type RCCB",,,,,,No. of Poles,DP,Rated Current,16A,Rated Voltage,240 V,Cycles with Rated Current,2000,Cycles without Rated Current,4000,Rated Current Sensibility (mA),30 mA,Pulsating Current Sensibility,TYPE AC,,,,,,,,,1719315214-Product-RCCB.PNG,3740421201-Mitsubishi-El,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,90 mm,74 mm,0.22kg,1,1-2 days,
6785,"Mitsubishi Electric BVW-T 2P 25A 30mA- Series BVW-T 2P 25A 30mA 240V, AC Type RCCB",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,RCCB,Series BVW-T 2P 25A 30mA RCCB,BVW-T 2P 25A 30mA,BVW,BVW-T 2P 25A 30mA,2938,2056.6,Piece,Each,1,"Mitsubishi Electric BVW-T 2P 25A 30mA- Series BVW-T 2P 25A 30mA 240V, AC Type RCCB",,,,,,No. of Poles,DP,Rated Current,25A,Rated Voltage,240 V,Cycles with Rated Current,2000,Cycles without Rated Current,4000,Rated Current Sensibility (mA),30 mA,Pulsating Current Sensibility,TYPE AC,,,,,,,,,1719315214-Product-RCCB.PNG,3604256448-Mitsubishi-El,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,90 mm,74 mm,0.22kg,1,1-2 days,
6786,"Mitsubishi Electric BVW-T 2P 32A 30mA- Series BVW-T 2P 32A 30mA 240V, AC Type RCCB",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,RCCB,Series BVW-T 2P 32A 30mA RCCB,BVW-T 2P 32A 30mA,BVW,BVW-T 2P 32A 30mA,3055,2138.5,Piece,Each,1,"Mitsubishi Electric BVW-T 2P 32A 30mA- Series BVW-T 2P 32A 30mA 240V, AC Type RCCB",,,,,,No. of Poles,DP,Rated Current,32A,Rated Voltage,240 V,Cycles with Rated Current,2000,Cycles without Rated Current,3000,Rated Current Sensibility (mA),30 mA,Pulsating Current Sensibility,TYPE AC,,,,,,,,,1719315214-Product-RCCB.PNG,7266015839-Mitsubishi-El,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,90 mm,74 mm,0.22kg,1,1-2 days,
6787,"Mitsubishi Electric BVW-T 2P 40A 30mA- Series BVW-T 2P 40A 30mA, 240V, AC Type RCCB",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,RCCB,Series BVW-T 2P 40A 30mA RCCB,BVW-T 2P 40A 30mA,BVW,BVW-T 2P 40A 30mA,3396,2377.2,Piece,Each,1,"Mitsubishi Electric BVW-T 2P 40A 30mA- Series BVW-T 2P 40A 30mA, 240V, AC Type RCCB",,,,,,No. of Poles,DP,Rated Current,40A,Rated Voltage,240 V,Cycles with Rated Current,2000,Cycles without Rated Current,3000,Rated Current Sensibility (mA),30 mA,Pulsating Current Sensibility,TYPE AC,,,,,,,,,1719315214-Product-RCCB.PNG,9329201440-Mitsubishi-El,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,90 mm,74 mm,0.22kg,1,1-2 days,
6788,"Mitsubishi Electric BVW-T 2P 63A 30mA- Series BVW-T 2P 63A 30mA, 240V, AC Type RCCB",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,RCCB,Series BVW-T 2P 63A 30mA RCCB,BVW-T 2P 63A 30mA,BVW,BVW-T 2P 63A 30mA,3760,2632,Piece,Each,1,"Mitsubishi Electric BVW-T 2P 63A 30mA- Series BVW-T 2P 63A 30mA, 240V, AC Type RCCB",,,,,,No. of Poles,DP,Rated Current,63A,Rated Voltage,240 V,Cycles with Rated Current,2000,Cycles without Rated Current,3000,Rated Current Sensibility (mA),30 mA,Pulsating Current Sensibility,TYPE AC,,,,,,,,,1719315214-Product-RCCB.PNG,4458487898-Mitsubishi-El,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,90 mm,74 mm,0.22kg,1,1-2 days,
6789,"Mitsubishi Electric BVW-T 2P 16A 100mA- Series BVW-T 2P 16A 100mA, 240V, AC Type RCCB",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,RCCB,Series BVW-T 2P 16A 100mA RCCB,BVW-T 2P 16A 100mA,BVW,BVW-T 2P 16A 100mA,2908,2035.6,Piece,Each,1,"Mitsubishi Electric BVW-T 2P 16A 100mA- Series BVW-T 2P 16A 100mA, 240V, AC Type RCCB",,,,,,No. of Poles,DP,Rated Current,16A,Rated Voltage,240 V,Cycles with Rated Current,2000,Cycles without Rated Current,4000,Rated Current Sensibility (mA),100mA,Pulsating Current Sensibility,TYPE AC,,,,,,,,,1719315214-Product-RCCB.PNG,8953875386-Mitsubishi-El,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,90 mm,74 mm,0.22kg,1,1-2 days,
6790,"Mitsubishi Electric BVW-T 2P 25A 100mA- Series BVW-T 2P 25A 100mA, 240V, AC Type RCCB",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,RCCB,Series BVW-T 2P 25A 100mA RCCB,BVW-T 2P 25A 100mA,BVW,BVW-T 2P 25A 100mA,2996,2097.2,Piece,Each,1,"Mitsubishi Electric BVW-T 2P 25A 100mA- Series BVW-T 2P 25A 100mA, 240V, AC Type RCCB",,,,,,No. of Poles,DP,Rated Current,25A,Rated Voltage,240 V,Cycles with Rated Current,2000,Cycles without Rated Current,4000,Rated Current Sensibility (mA),100mA,Pulsating Current Sensibility,TYPE AC,,,,,,,,,1719315214-Product-RCCB.PNG,6624935856-Mitsubishi-El,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,90 mm,74 mm,0.22kg,1,1-2 days,
6791,"Mitsubishi Electric BVW-T 2P 32A 100mA- Series BVW-T 2P 32A 100mA, 240V, AC Type RCCB",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,RCCB,Series BVW-T 2P 32A 100mA RCCB,BVW-T 2P 32A 100mA,BVW,BVW-T 2P 32A 100mA,3114,2179.8,Piece,Each,1,"Mitsubishi Electric BVW-T 2P 32A 100mA- Series BVW-T 2P 32A 100mA, 240V, AC Type RCCB",,,,,,No. of Poles,DP,Rated Current,32A,Rated Voltage,240 V,Cycles with Rated Current,2000,Cycles without Rated Current,3000,Rated Current Sensibility (mA),100mA,Pulsating Current Sensibility,TYPE AC,,,,,,,,,1719315214-Product-RCCB.PNG,1976229284-Mitsubishi-El,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,90 mm,74 mm,0.22kg,1,1-2 days,
6792,"Mitsubishi Electric BVW-T 2P 40A 100mA- Series BVW-T 2P 40A 100mA, 240V, AC Type RCCB",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,RCCB,Series BVW-T 2P 40A 100mA RCCB,BVW-T 2P 40A 100mA,BVW,BVW-T 2P 40A 100mA,3408,2385.6,Piece,Each,1,"Mitsubishi Electric BVW-T 2P 40A 100mA- Series BVW-T 2P 40A 100mA, 240V, AC Type RCCB",,,,,,No. of Poles,DP,Rated Current,40A,Rated Voltage,240 V,Cycles with Rated Current,2000,Cycles without Rated Current,3000,Rated Current Sensibility (mA),100mA,Pulsating Current Sensibility,TYPE AC,,,,,,,,,1719315214-Product-RCCB.PNG,6897746477-Mitsubishi-El,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,90 mm,74 mm,0.22kg,1,1-2 days,
6793,"Mitsubishi Electric BVW-T 2P 63A 100mA- Series BVW-T 2P 63A 100mA, 240V, AC Type RCCB",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,RCCB,Series BVW-T 2P 63A 100mA RCCB,BVW-T 2P 63A 100mA,BVW,BVW-T 2P 63A 100mA,3878,2714.6,Piece,Each,1,"Mitsubishi Electric BVW-T 2P 63A 100mA- Series BVW-T 2P 63A 100mA, 240V, AC Type RCCB",,,,,,No. of Poles,DP,Rated Current,63A,Rated Voltage,240 V,Cycles with Rated Current,2000,Cycles without Rated Current,3000,Rated Current Sensibility (mA),100mA,Pulsating Current Sensibility,TYPE AC,,,,,,,,,1719315214-Product-RCCB.PNG,9459299656-Mitsubishi-El,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,90 mm,74 mm,0.22kg,1,1-2 days,
