c1_category,c2_category,leaf_category
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 16A 30mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 25A 30mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 32A 30mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 40A 30mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 63A 30mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 16A 100mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 25A 100mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 32A 100mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 40A 100mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 63A 100mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 16A 300mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 25A 300 M RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 32A 300mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 40A 300mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 2P 63A 300mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 16A 30mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 25A 30mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 32A 30mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 40A 30mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 63A 30mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 16A 100mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 25A 100mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 32A 100mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 40A 100mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 63A 100mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 16A 300mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 25A 300mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 32A 300mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 40A 300mA RCCB
Low Voltage Switch Gear,RCCB,Series BVW-T 4P 63A 300mA RCCB
