name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi Electric KBW-T 2P 25A- Series KBW, 2P, 25 A Isolator",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,Isolators,"Series KBW, 2P, 25 A Isolator",KBW-T 2P 25A,KBW,KBW-T 2P 25A,546,382.2,Piece,Each,1,"Mitsubishi Electric KBW-T 2P 25A- Series KBW, 2P, 25 A Isolator",,,,,,No. of Poles,DP,Rated Current,25A,,,,,,,,,,,,,,,,,,,1719304256-Product-isolator.PNG,,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,92.6 mm,44 mm,0.22 kg,1,1-2 days,
"Mitsubishi Electric KBW-T 2P 40A- Series KBW, 2P, 40 A Isolator",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,Isolators,"Series KBW, 2P, 40 A Isolator",KBW-T 2P 40A,KBW,KBW-T 2P 40A,570,399,Piece,Each,1,"Mitsubishi Electric KBW-T 2P 40A- Series KBW, 2P, 40 A Isolator",,,,,,No. of Poles,DP,Rated Current,40A,,,,,,,,,,,,,,,,,,,1719304256-Product-isolator.PNG,,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,92.6 mm,44 mm,0.22 kg,1,1-2 days,
"Mitsubishi Electric KBW-T 2P 63A- Series KBW, 2P, 63 A Isolator",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,Isolators,"Series KBW, 2P, 63 A Isolator",KBW-T 2P 63A,KBW,KBW-T 2P 63A,658,460.6,Piece,Each,1,"Mitsubishi Electric KBW-T 2P 63A- Series KBW, 2P, 63 A Isolator",,,,,,No. of Poles,DP,Rated Current,63A,,,,,,,,,,,,,,,,,,,1719304256-Product-isolator.PNG,,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,92.6 mm,44 mm,0.22 kg,1,1-2 days,
"Mitsubishi Electric KBW-T 2P 80A- Series KBW, 2P, 80 A Isolator",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,Isolators,"Series KBW, 2P, 80 A Isolator",KBW-T 2P 80A,KBW,KBW-T 2P 80A,811,567.7,Piece,Each,1,"Mitsubishi Electric KBW-T 2P 80A- Series KBW, 2P, 80 A Isolator",,,,,,No. of Poles,DP,Rated Current,80A,,,,,,,,,,,,,,,,,,,1719304256-Product-isolator.PNG,,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,92.6 mm,44 mm,0.22 kg,1,1-2 days,
"Mitsubishi Electric KBW-T 2P 100A- Series KBW,2P, 100 A Isolator",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,Isolators,"Series KBW,2P, 100 A Isolator",KBW-T 2P 100A,KBW,KBW-T 2P 100A,1140,798,Piece,Each,1,"Mitsubishi Electric KBW-T 2P 100A- Series KBW,2P, 100 A Isolator",,,,,,No. of Poles,DP,Rated Current,100A,,,,,,,,,,,,,,,,,,,1719304256-Product-isolator.PNG,,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,92.6 mm,44 mm,0.22 kg,1,1-2 days,
"Mitsubishi Electric KBW-T 2P 125A- Series KBW,2P, 125 A Isolator",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,Isolators,"Series KBW,2P, 125 A Isolator",KBW-T 2P 125A,KBW,KBW-T 2P 125A,1163,814.1,Piece,Each,1,"Mitsubishi Electric KBW-T 2P 125A- Series KBW,2P, 125 A Isolator",,,,,,No. of Poles,DP,Rated Current,125A,,,,,,,,,,,,,,,,,,,1719304256-Product-isolator.PNG,,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,36 mm,92.6 mm,44 mm,0.22 kg,1,1-2 days,
"Mitsubishi Electric KBW-T 3P 25A- Series KBW, 3P, 25 A Isolator",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,Isolators,"Series KBW, 3P, 25 A Isolator",KBW-T 3P 25A,KBW,KBW-T 3P 25A,823,576.1,Piece,Each,1,"Mitsubishi Electric KBW-T 3P 25A- Series KBW, 3P, 25 A Isolator",,,,,,No. of Poles,TP,Rated Current,25A,,,,,,,,,,,,,,,,,,,1719304256-Product-isolator.PNG,,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,54 mm,92.6 mm,44 mm,0.33 kg,1,1-2 days,
"Mitsubishi Electric KBW-T 3P 40A- Series KBW,3P, 40 A Isolator",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,Isolators,"Series KBW,3P, 40 A Isolator",KBW-T 3P 40A,KBW,KBW-T 3P 40A,928,649.6,Piece,Each,1,"Mitsubishi Electric KBW-T 3P 40A- Series KBW,3P, 40 A Isolator",,,,,,No. of Poles,TP,Rated Current,40A,,,,,,,,,,,,,,,,,,,1719304256-Product-isolator.PNG,,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,54 mm,92.6 mm,44 mm,0.33 kg,1,1-2 days,
"Mitsubishi Electric KBW-T 3P 63A- Series KBW,3P, 63 A Isolator",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,Isolators,"Series KBW,3P, 63 A Isolator",KBW-T 3P 63A,KBW,KBW-T 3P 63A,1011,707.7,Piece,Each,1,"Mitsubishi Electric KBW-T 3P 63A- Series KBW,3P, 63 A Isolator",,,,,,No. of Poles,TP,Rated Current,63A,,,,,,,,,,,,,,,,,,,1719304256-Product-isolator.PNG,,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,54 mm,92.6 mm,44 mm,0.33 kg,1,1-2 days,
"Mitsubishi Electric KBW-T 3P 80A- Series KBW,3P, 80 A Isolator",Mitsubishi Electric,Factory Automation,Low Voltage Switch Gear,Isolators,"Series KBW,3P, 80 A Isolator",KBW-T 3P 80A,KBW,KBW-T 3P 80A,2350,1645,Piece,Each,1,"Mitsubishi Electric KBW-T 3P 80A- Series KBW,3P, 80 A Isolator",,,,,,No. of Poles,TP,Rated Current,80A,,,,,,,,,,,,,,,,,,,1719304256-Product-isolator.PNG,,,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,,,,54 mm,92.6 mm,44 mm,0.33 kg,1,1-2 days,
