name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi GS2107-WTBD-N- GOT Simple 7 inch Display Graphic Touch Terminal, Resolution 800X480, 24 V",Mitsubishi Electric,Factory Automation,Display Unit,Human Machine Interface (HMI),GOT Simple 7 inch Display Graphic Touch Terminal,GS2107-WTBD-N,GOT Simple Series,GS2107-WTBD-N,35200,15840,Piece,Each,1,"Mitsubishi GS2107-WTBD-N- GOT Simple 7 inch Display Graphic Touch Terminal, Resolution 800X480, 24 V",,,,,,Type of Product,Graphic Touch Terminal,Power Supply,24 V,Protection Class,Protection Class,Display,TFT Color LCD,Memory Type,SD,Display Size,7 inch,Display Resolution,800X480,Internal Memory,15 MB,Network,"MODBUS, CCLINK, ETHERNET",Display Color,65536,,,1712741474-Product-Screenshot 2024-04-10 150107.png,,85389000,18%,,,,,206 mm,155 mm,50 mm,1.1kg,1,1-2 Days,
Mitsubishi GS2110-WTBD-N- GOT SIMPLE 10 inch Display Graphic Touch Terminal,Mitsubishi Electric,Factory Automation,Display Unit,Human Machine Interface (HMI),GOT Simple 10 inch Display Graphic Touch Terminal,GS2110-WTBD-N,GOT Simple Series,GS2110-WTBD-N,83800,37710,Piece,Each,1,Mitsubishi GS2110-WTBD-N- GOT SIMPLE 10 inch Display Graphic Touch Terminal,,,,,,Type of Product,Graphic Touch Terminal,Power Supply,24 V,Protection Class,Protection Class,Display,TFT Color LCD,Memory Type,SD,Display Size,10 inch,Display Resolution,800X480,Internal Memory,15 MB,Network,MODBUS,Display Color,65536,,,1712741474-Product-Screenshot 2024-04-10 150107.png,,85389000,18%,,,,,272mm,214mm,56mm,1.1kg,1,1-2 Days,
"Mitsubishi GT2103-PMBD- LCD Dispaly 3.8 inch, Monochrome, Human Machine Interface",Mitsubishi Electric,Factory Automation,Display Unit,Human Machine Interface (HMI),Monochrome LCD Dispaly 3.8 inch Human Machine Interface,GT2103-PMBD,GT2000,GT2103-PMBD,32550,14647.5,Piece,Each,1,"Mitsubishi GT2103-PMBD- LCD Dispaly 3.8 inch, Monochrome, Human Machine Interface",,,,,,Display Type,TFT Color LCD,Screen Size,3.8,Resolution,320 x 128 dots,Display Color,"3.8, monochrome (black/white), 32 shade grayscale TFT LCD display",Protection Class,IP67F,Current Type,DC,Internal Memory Capacity (MB),3,Memory Card Slot,SD,USB,1,Network Options,"MODBUS, ETHERNET",,,1712741529-Product-Screenshot 2024-04-10 150203.png,,85437099,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/got/l08270/l08270engi.pdf,,,,113mm,74mm,27mm,0.2kg,1,1-2 Days,
"Mitsubishi GT2104-RTBD- GOT2000-4,3""TFT, DC, 480x272, 65k Colors, RS-422/485, RS-232, USB, Eth, SD, Black",Mitsubishi Electric,Factory Automation,Display Unit,Human Machine Interface (HMI),GT2000 Human Machine Interface 4.3 inch TFT Dispaly,GT2104-RTBD,GT2000,GT2104-RTBD,58900,26505,Piece,Each,1,"Mitsubishi GT2104-RTBD- GOT2000-4,3""TFT, DC, 480x272, 65k Colors, RS-422/485, RS-232, USB, Eth, SD, Black",,,,,,Display Type,TFT Color LCD,Screen Size,4.3,Resolution,480 x 272 dots,Display Color,"4.3, TFT color LCD, 65536 colors",Protection Class,IP67F,Current Type,DC,Internal Memory Capacity (MB),9,Memory Card Slot,SD,USB,3,Network Options,"MODBUS, ETHERNET",,,1712741591-Product-Screenshot 2024-04-10 150252.png,,85389000,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/got/l08270/l08270engi.pdf,,,,128mm,102mm,40mm,0.4kg,1,1-2 Days,
"Mitsubishi GT2105-QTBDS- GOT2000,5,7""TFT, DC, QVGA, 65k Colors, RS-422/485, RS-232, USB, SD, Black",Mitsubishi Electric,Factory Automation,Display Unit,Human Machine Interface (HMI),GT2000 Human Machine Interface 5.7 inch TFT Dispaly,GT2105-QTBDS,GT2000,GT2105-QTBDS,93750,42187.5,Piece,Each,1,"Mitsubishi GT2105-QTBDS- GOT2000,5,7""TFT, DC, QVGA, 65k Colors, RS-422/485, RS-232, USB, SD, Black",,,,,,Display Type,TFT Color LCD,Screen Size,5.7,Resolution,320 x 240 dots,Display Color,65536 colors,Protection Class,IP67F,Current Type,DC,Internal Memory Capacity (MB),9,Memory Card Slot,SD,USB,1,Network Options,"MODBUS, ETHERNET",,,1712741680-Product-Screenshot 2024-04-10 150434.png,,85389000,18%,https://dl.mitsubishielectric.com/dl/fa/document/manual/got/jy997d66601/jy997d66601b.pdf,,,,164mm,135mm,55mm,0.7kg,1,1-2 Days,
"Mitsubishi GT2107-WTBD- GOT2000;7""wideTFT, DC, WVGA, 65k colors, RS-422/485, RS-232, USB, Eth, SD, Black",Mitsubishi Electric,Factory Automation,Display Unit,Human Machine Interface (HMI),GT2000 Human Machine Interface 7 inch TFT Dispaly,GT2107-WTBD,GT2000,GT2107-WTBD,104750,47137.5,Piece,Each,1,"Mitsubishi GT2107-WTBD- GOT2000;7""wideTFT, DC, WVGA, 65k colors, RS-422/485, RS-232, USB, Eth, SD, Black",,,,,,Display Type,TFT Color LCD,Screen Size,7,Resolution,800 x 480 dots,Display Color,65536 colors,Protection Class,IP67F,Current Type,DC,Internal Memory Capacity (MB),15,Memory Card Slot,SD,USB,2,Network Options,"MODBUS, ETHERNET",,,1712741747-Product-Screenshot 2024-04-10 150528.png,,85389000,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/got/l08270/l08270engi.pdf,,,,189mm,142mm,48mm,0.7kg,1,1-2 Days,
"Mitsubishi GT2708-VTBA- GOT2000;8,4""TFT, AC, VGA, 65k colors, RS-422/485, RS-232, USB, Eth, SD, Black",Mitsubishi Electric,Factory Automation,Display Unit,Human Machine Interface (HMI),GT2000 Human Machine Interface 8.4 inch TFT Dispaly,GT2708-VTBA,GT2000,GT2708-VTBA,203250,91462.5,Piece,Each,1,"Mitsubishi GT2708-VTBA- GOT2000;8,4""TFT, AC, VGA, 65k colors, RS-422/485, RS-232, USB, Eth, SD, Black",,,,,,Display Type,TFT Color LCD,Screen Size,8.4,Resolution,640 x 480 dots,Display Color,65536 colors,Protection Class,IP67F,Current Type,AC,Internal Memory Capacity (MB),256,Memory Card Slot,SD,USB,3,Network Options,"MODBUS, PROFIBUS, MELSECNET, ETHERNET, CCLINK",,,1712741777-Product-Screenshot 2024-04-10 150610.png,,85389000,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/got/l08270/l08270engi.pdf,,,,241mm,194mm,52mm,1.5kg,1,1-2 Days,
"Mitsubishi GT2105-QMBDS- GOT2000;5,7""TFT, DC, QVGA, 32 Greyscales, RS-422/485, RS-232, USB, SD, Black",Mitsubishi Electric,Factory Automation,Display Unit,Human Machine Interface (HMI),GT2000 Human Machine Interface 5.7 inch TFT Monochrome display,GT2105-QMBDS,GT2000,GT2105-QMBDS,63300,28485,Piece,Each,1,"Mitsubishi GT2105-QMBDS- GOT2000;5,7""TFT, DC, QVGA, 32 Greyscales, RS-422/485, RS-232, USB, SD, Black",,,,,,Display Type,TFT monochrome display,Screen Size,5.7,Resolution,320 x 240 dots,Display Color,Monochrome (black/white) 32 shade grayscale,Protection Class,IP67F,Current Type,DC,Internal Memory Capacity (MB),9,Memory Card Slot,SD,USB,1,Network Options,"MODBUS, ETHERNET",,,1712741874-Product-Screenshot 2024-04-10 150748.png,,85389000,18%,https://dl.mitsubishielectric.com/dl/fa/document/manual/got/jy997d66601/jy997d66601b.pdf,,,,164mm,135mm,55mm,0.7kg,1,1-2 Days,
"Mitsubishi GT2710-VTWA- GOT2000;10,4""TFT, AC, VGA, 65k colors, RS-422/485, RS-232, USB, Eth, SD, White",Mitsubishi Electric,Factory Automation,Display Unit,Human Machine Interface (HMI),GT2000 Human Machine Interface 10.4 inch TFT Dispaly,GT2710-VTWA,GT2000,GT2710-VTWA,276400,124380,Piece,Each,1,"Mitsubishi GT2710-VTWA- GOT2000;10,4""TFT, AC, VGA, 65k colors, RS-422/485, RS-232, USB, Eth, SD, White",,,,,,Display Type,TFT Color LCD,Screen Size,10.4,Resolution,640 x 480 dots,Display Color,65536 colors,Protection Class,IP67F,Current Type,AC,Internal Memory Capacity (MB),256,Memory Card Slot,SD,USB,2,Network Options,"CCLINK, PROFIBUS, ETHERNET, MELSECNET, MODBUS",,,1712743703-Product-Screenshot 2024-04-10 153811.png,,85389000,18%,https://dl.mitsubishielectric.com/dl/fa/document/manual/got/sh081194eng/sh081194engap.pdf,,,,303mm,218mm,52mm,2.1kg,1,1-2 Days,
"Mitsubishi GT2710-STBA- GOT2000, 10,4""TFT, AC, SVGA, 65k colors, RS-422/485, RS-232, USB, Eth, SD, Black",Mitsubishi Electric,Factory Automation,Display Unit,Human Machine Interface (HMI),GT2000 Human Machine Interface 10.4 inch TFT Dispaly,GT2710-STBA,GT2000,GT2710-STBA,315400,141930,Piece,Each,1,"Mitsubishi GT2710-STBA- GOT2000, 10,4""TFT, AC, SVGA, 65k colors, RS-422/485, RS-232, USB, Eth, SD, Black",,,,,,Display Type,TFT Color LCD,Screen Size,10,Resolution,800X600,Display Color,65536 colors,Protection Class,IP67F,Current Type,AC,Internal Memory Capacity (MB),256,Memory Card Slot,SD,USB,,,,,,1712744362-Product-Screenshot 2024-04-10 154907.png,,85389000,18%,https://dl.mitsubishielectric.com/dl/fa/document/catalog/got/l08270/l08270engi.pdf,,,,303mm,218mm,52mm,2.1kg,1,1-2 Days,
