name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Murrelektronik 85690 EMPARRO Phase -2/3 , Power Supply , For Mounting Rail , 5A.",Murrelektronik,Panel & Panel Accessories,Power Supply,EMPARRO Phase -2/3,"EMPARRO Phase -2/3 , Power Supply , For Mounting Rail , 5A.",85690,EMPARRO,85690,,Ask For Price,Piece,Each,1,"Murrelektronik 85690 EMPARRO Phase -2/3 , Power Supply , For Mounting Rail , 5A.",,,,,,Type,For Mounting Rail.,Input Voltage,3*324…572 VAC/450..745 VDC,Input Current,0.45 A (3*360 VAC); 0.3 A(3*500 VAC),Inrush Current After 1ms,Max. 9.5 A (3*500 V AC),Output Voltage,"Adjustable 24 VDC(SELV),+/- 1%;24…28 V",Power Boost,Lout N*150%(min.5s),Efficiency,92.5%(3*400 VAC);91.8%(3*480 VAC),Device Protection,"Short - Circuit And Overload - Protected(Output),Permanently by 20%(to 45°C)",Holdup Time,Min. 25ms(3*360 VAC);5 A(24 VDC),Mouning Method,Push -In Spring Clamp Terminals,Temperature Range,"-40..+70 °C,…+70°C Derating (Storage Temperature -40…+85 °C)",1719994581-Product-murr images phase 2.PNG,,,18%,,,,,123mm,50mm,138mm,,1,8-10 Days,
"Murrelektronik 85695 EMPARRO Phase -2/3, Power Supply, Fastening With Screws 5A.",Murrelektronik,Panel & Panel Accessories,Power Supply,EMPARRO Phase -2/3,"EMPARRO Phase -2/3, Power Supply, Fastening With Screws 5A.",85695,EMPARRO,85695,,Ask For Price,Piece,Each,1,"Murrelektronik 85695 EMPARRO Phase -2/3, Fastening With Screws 5A.",,,,,,Type,Fastening With Screws .,Input Voltage,3*324…572 VAC/450..745 VDC,Input Current,0.45 A (3*360 VAC); 0.3 A(3*500 VAC),Inrush Current After 1ms,Max. 9.5 A (3*500 V AC),Output Voltage,"Adjustable 24 VDC(SELV),+/- 1%;24…28 V",Power Boost,Lout N*150%(min.5s),Efficiency,92.5%(3*400 VAC);91.8%(3*480 VAC),Device Protection,"Short - Circuit And Overload - Protected(Output),Permanently by 20%(to 45°C)",Holdup Time,Min. 25ms(3*360 VAC);5 A(24 VDC),Mouning Method,Push -In Spring Clamp Terminals,Temperature Range,"-40..+70 °C,…+70°C Derating (Storage Temperature -40…+85 °C)",1719994581-Product-murr images phase 2.PNG,,,18%,,,,,123mm,50mm,138mm,,1,8-10 Days,
"Murrelektronik 87690 EMPARRO Phase -2/3, Power Supply, For Coated PCB 5A.",Murrelektronik,Panel & Panel Accessories,Power Supply,EMPARRO Phase -2/3,"EMPARRO Phase -2/3, Power Supply, For Coated PCB 5A.",87690,EMPARRO,87690,,Ask For Price,Piece,Each,1,"Murrelektronik 87690 EMPARRO Phase -2/3, For Coated PCB 5A.",,,,,,Type,For Coated PCB.,Input Voltage,3*324…572 VAC/450..745 VDC,Input Current,0.45 A (3*360 VAC); 0.3 A(3*500 VAC),Inrush Current After 1ms,Max. 9.5 A (3*500 V AC),Output Voltage,"Adjustable 24 VDC(SELV),+/- 1%;24…28 V",Power Boost,Lout N*150%(min.5s),Efficiency,92.5%(3*400 VAC);91.8%(3*480 VAC),Device Protection,"Short - Circuit And Overload - Protected(Output),Permanently by 20%(to 45°C)",Holdup Time,Min. 25ms(3*360 VAC);5 A(24 VDC),Mouning Method,Push -In Spring Clamp Terminals,Temperature Range,"-40..+70 °C,…+70°C Derating (Storage Temperature -40…+85 °C)",1719994581-Product-murr images phase 2.PNG,,,18%,,,,,123mm,50mm,138mm,,1,8-10 Days,
"Murrelektronik 85691 EMPARRO Phase -2/3, Power Supply, For Mounting Rail 10 A.",Murrelektronik,Panel & Panel Accessories,Power Supply,EMPARRO Phase -2/3,"EMPARRO Phase -2/3, Power Supply, For Mounting Rail 10 A.",85691,EMPARRO,85691,,Ask For Price,Piece,Each,1,"Murrelektronik 85691 EMPARRO Phase -2/3, For Mounting Rail 10 A.",,,,,,Type,For Mounting Rail.,Input Voltage,3*324…572 VAC/450..745 VDC,Input Current,0.75 A (3*360 VAC); 0.55 A (3*500 VAC),Inrush Current After 1ms,Max. 9.0 A (3*500 V AC),Output Voltage,"Adjustable 24 VDC(SELV),+/- 1%;24…28 V",Power Boost,Lout N*150%(min.5s),Efficiency,93.7%(3*400 VAC);93.2%(3*480 VAC),Device Protection,"Short - Circuit And Overload - Protected(Output),Permanently by 20%(to 45°C)",Holdup Time,Min. 45 ms(3*500 VAC);10 A(24 VDC),Mouning Method,Push -In Spring Clamp Terminals,Temperature Range,"-40..+70 °C,…+70°C Derating (Storage Temperature -40…+85 °C)",1719994688-Product-murr image phase 2 (2).PNG,,,18%,,,,,123mm,65mm,138mm,,1,8-10 Days,
"Murrelektronik 85696 EMPARRO Phase -2/3, Power Supply, Fastening With Screws 10A.",Murrelektronik,Panel & Panel Accessories,Power Supply,EMPARRO Phase -2/3,"EMPARRO Phase -2/3, Power Supply, Fastening With Screws 10A.",85696,EMPARRO,85696,,Ask For Price,Piece,Each,1,"Murrelektronik 85696 EMPARRO Phase -2/3, Fastening With Screws 10A.",,,,,,Type,Fastening With Screws .,Input Voltage,3*324…572 VAC/450..745 VDC,Input Current,0.75 A (3*360 VAC); 0.55 A (3*500 VAC),Inrush Current After 1ms,Max. 9.0 A (3*500 V AC),Output Voltage,"Adjustable 24 VDC(SELV),+/- 1%;24…28 V",Power Boost,Lout N*150%(min.5s),Efficiency,93.7%(3*400 VAC);93.2%(3*480 VAC),Device Protection,"Short - Circuit And Overload - Protected(Output),Permanently by 20%(to 45°C)",Holdup Time,Min. 45 ms(3*500 VAC);10 A(24 VDC),Mouning Method,Push -In Spring Clamp Terminals,Temperature Range,"-40..+70 °C,…+70°C Derating (Storage Temperature -40…+85 °C)",1719994688-Product-murr image phase 2 (2).PNG,,,18%,,,,,123mm,65mm,138mm,,1,8-10 Days,
"Murrelektronik 87691 EMPARRO Phase -2/3, Power Supply,For Coated PCB 10A.",Murrelektronik,Panel & Panel Accessories,Power Supply,EMPARRO Phase -2/3,"EMPARRO Phase -2/3, Power Supply,For Coated PCB 10A.",87691,EMPARRO,87691,,Ask For Price,Piece,Each,1,"Murrelektronik 87691 EMPARRO Phase -2/3, For Coated PCB 10A.",,,,,,Type,For Coated PCB.,Input Voltage,3*324…572 VAC/450..745 VDC,Input Current,0.75 A (3*360 VAC); 0.55 A (3*500 VAC),Inrush Current After 1ms,Max. 9.0 A (3*500 V AC),Output Voltage,"Adjustable 24 VDC(SELV),+/- 1%;24…28 V",Power Boost,Lout N*150%(min.5s),Efficiency,93.7%(3*400 VAC);93.2%(3*480 VAC),Device Protection,"Short - Circuit And Overload - Protected(Output),Permanently by 20%(to 45°C)",Holdup Time,Min. 45 ms(3*500 VAC);10 A(24 VDC),Mouning Method,Push -In Spring Clamp Terminals,Temperature Range,"-40..+70 °C,…+70°C Derating (Storage Temperature -40…+85 °C)",1719994688-Product-murr image phase 2 (2).PNG,,,18%,,,,,123mm,65mm,138mm,,1,8-10 Days,
"Murrelektronik 85692 EMPARRO Phase -2/3, Power Supply, For Mounting Rail 20A.",Murrelektronik,Panel & Panel Accessories,Power Supply,EMPARRO Phase -2/3,"EMPARRO Phase -2/3, Power Supply, For Mounting Rail 20A.",85692,EMPARRO,85692,,Ask For Price,Piece,Each,1,"Murrelektronik 85692 EMPARRO Phase -2/3, For Mounting Rail 20A.",,,,,,Type,For Mounting Rail.,Input Voltage,3*324…572 VAC/450..745 VDC,Input Current,1.3 A (3*360 VAC); 1.0 A (3*500 VAC),Inrush Current After 1ms,Max.13 A (3*500 V AC),Output Voltage,"Adjustable 24 VDC(SELV),+/- 1%;24…28 V",Power Boost,Lout N*150%(min.5s),Efficiency,94.8%(3*400 VAC);94.5%(3*480 VAC),Device Protection,"Short - Circuit And Overload - Protected(Output),Permanently by 20%(to 45°C)",Holdup Time,Min. 40 ms(3*500 VAC),Mouning Method,Push -In Spring Clamp Terminals,Temperature Range,"-40..+70 °C,…+70°C Derating (Storage Temperature -40…+85 °C)",1719996305-Product-85692.PNG,,,18%,,,,,123mm,65mm,167mm,,1,8-10 Days,
"Murrelektronik 85697 EMPARRO Phase -2/3, Power Supply,Fastening With Screws 20A.",Murrelektronik,Panel & Panel Accessories,Power Supply,EMPARRO Phase -2/3,"EMPARRO Phase -2/3, Power Supply,Fastening With Screws 20A.",85697,EMPARRO,85697,,Ask For Price,Piece,Each,1,"Murrelektronik 85697 EMPARRO Phase -2/3,Fastening With Screws 20A.",,,,,,Type,Fastening With Screws .,Input Voltage,3*324…572 VAC/450..745 VDC,Input Current,1.3 A (3*360 VAC); 1.0 A (3*500 VAC),Inrush Current After 1ms,Max.13 A (3*500 V AC),Output Voltage,"Adjustable 24 VDC(SELV),+/- 1%;24…28 V",Power Boost,Lout N*150%(min.5s),Efficiency,94.8%(3*400 VAC);94.5%(3*480 VAC),Device Protection,"Short - Circuit And Overload - Protected(Output),Permanently by 20%(to 45°C)",Holdup Time,Min. 40 ms(3*500 VAC),Mouning Method,Push -In Spring Clamp Terminals,Temperature Range,"-40..+70 °C,…+70°C Derating (Storage Temperature -40…+85 °C)",1719996305-Product-85692.PNG,,,18%,,,,,123mm,65mm,167mm,,1,8-10 Days,
"Murrelektronik 87692 EMPARRO Phase -2/3, Power Supply, For Coated PCB ,20A.",Murrelektronik,Panel & Panel Accessories,Power Supply,EMPARRO Phase -2/3,"EMPARRO Phase -2/3, Power Supply, For Coated PCB ,20A.",87692,EMPARRO,87692,,Ask For Price,Piece,Each,1,"Murrelektronik 87692 EMPARRO Phase -2/3, For Coated PCB ,20A.",,,,,,Type,For Coated PCB.,Input Voltage,3*324…572 VAC/450..745 VDC,Input Current,1.3 A (3*360 VAC); 1.0 A (3*500 VAC),Inrush Current After 1ms,Max.13 A (3*500 V AC),Output Voltage,"Adjustable 24 VDC(SELV),+/- 1%;24…28 V",Power Boost,Lout N*150%(min.5s),Efficiency,94.8%(3*400 VAC);94.5%(3*480 VAC),Device Protection,"Short - Circuit And Overload - Protected(Output),Permanently by 20%(to 45°C)",Holdup Time,Min. 40 ms(3*500 VAC),Mouning Method,Push -In Spring Clamp Terminals,Temperature Range,"-40..+70 °C,…+70°C Derating (Storage Temperature -40…+85 °C)",1719996305-Product-85692.PNG,,,18%,,,,,123mm,65mm,167mm,,1,8-10 Days,
"Murrelektronik 85693 EMPARRO Phase -2/3, Power Supply,For Mounting Rail 40A.",Murrelektronik,Panel & Panel Accessories,Power Supply,EMPARRO Phase -2/3,"EMPARRO Phase -2/3, Power Supply,For Mounting Rail 40A.",85693,EMPARRO,85693,,Ask For Price,Piece,Each,1,"Murrelektronik 85693 EMPARRO Phase -2/3,For Mounting Rail 40A.",,,,,,Type,For Mounting Rail.,Input Voltage,3*324…572 VAC/480..745 VDC,Input Current,2.3 A (3*360 VAC); 1.6 A (3*500 VAC),Inrush Current After 1ms,Max.14 A (3*500 V AC),Output Voltage,"Adjustable 24 VDC(SELV),+/- 1%;24…28 V",Power Boost,Lout N*150%(min.5s),Efficiency,93.7%(3*400 VAC);93.5%(3*480 VAC),Device Protection,"Short - Circuit And Overload - Protected(Output),Permanently by 20%(to 45°C)",Holdup Time,Min. 40 ms(3*500 VAC),Mouning Method,Push -In Spring Clamp Terminals,Temperature Range,"-40..+70 °C,…+70°C Derating (Storage Temperature -40…+85 °C)",1719996392-Product-85693.PNG,,,18%,,,,,138mm,109mm,182mm,,1,8-10 Days,
