name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Fuji Electric AH164-ZTGE3- AH16 Series Command Switch, Pilot Light, Green Light, Signal Tower Buzzer Pilot Lamp",Fuji Electric,Panel & Panel Accessories,Switch Indicator,Small Warning Light Components,"Command Switch Indicator, AH16 Series, Pilot Light,Green",AH164-ZTGE3,AH16,AH164-ZTGE3,,,Piece,Each,1,,,,,,,Mounting Hole Size,(Φ 16.2),Shape,[Elongated] Elongated flat shape,Color,Green,Rated Voltage(V),DC24,Protection function,IP40,Light Source,[LED] LED,Representative Standard,CE / UL / TUV / CCC / CSA,Model Class/Structure,Enclosed type,Lamp power supply,Lamp power supply,,,,,1718774441-Product-Screenshot 2024-06-19 105031.png,,,18%,,,,,24mm,18 mm,34mm,,1,1-2 days,
"Fuji Electric AH164-ZTRE3- AH16 Series Command Switch, Pilot Light,Red Light, Signal Tower Buzzer Pilot Lamp",Fuji Electric,Panel & Panel Accessories,Switch Indicator,Small Warning Light Components,"Command Switch Indicator, AH16 Series, Pilot Light, Red",AH164-ZTRE3,AH16,AH164-ZTRE3,,,Piece,Each,1,,,,,,,Mounting Hole Size,(Φ 16.2),Shape,[Elongated] Elongated flat shape,Color,Red,Rated Voltage(V),DC24,Protection function,IP40,Light Source,[LED] LED,Representative Standard,CE / UL / TUV / CCC / CSA,Model Class/Structure,Enclosed type,Lamp power supply,Lamp power supply,,,,,1718774441-Product-Screenshot 2024-06-19 105031.png,,,18%,,,,,24mm,18 mm,34mm,,1,1-2 days,
"Fuji Electric AH165-TFW11- ø16 Series Push-Button Switch, AH164/165/165-2 Types",Fuji Electric,Panel & Panel Accessories,Switches,Push Button Switches,"Illuminated/Non-Illuminated, φ16 mm Mounting Hole, AH164/165/165-2 Series, Milk White",AH165-TFW11,AH16,AH165-TFW11,,,Piece,Each,1,,,,,,,Mounting Hole Size,(Φ 16.2),Shape,[Elongated] Elongated flat shape,Type,Push Button,Push button operation,Momentary,Button color,Milk White,Contact Configuration,1a / 1b,Terminal shape,Solder/tab terminal,Protection function,IP65F,Representative Standard,CE / UL / TUV / CSA,Specifications,Oil proof type,Button dimension(mm),18 x 24,1718778920-Product-Screenshot 2024-06-19 111127.png,,,18%,,,,,24mm,,52.5mm,,1,1-2 days,
"Fuji Electric AH165-TGFW11- ø16 Series Push-Button Switch, AH164/165/165-2 Types",Fuji Electric,Panel & Panel Accessories,Switches,Push Button Switches,"Illuminated/Non-Illuminated, φ16 mm Mounting Hole, AH164/165/165-2 Series, , Milk White",AH165-TGFW11,AH16,AH165-TGFW11,,,Piece,Each,1,,,,,,,Mounting Hole Size,(Φ 16.2),Shape,[Elongated] Elongated flat shape,Type,Push Button,Push button operation,Momentary,Button color,Milk White,Contact Configuration,1a / 1b,Terminal shape,Solder/tab terminal,Protection function,IP65F,Representative Standard,CE / UL / TUV / CSA,Specifications,Oil proof type,Button dimension(mm),18 x 24,1718779571-Product-Screenshot 2024-06-19 121555.png,,,18%,,,,,24mm,,52.5mm,,1,1-2 days,
"Fuji Electric AR22PCR-120BB- ø22 Series Selector Switch, AR22 Type",Fuji Electric,Panel & Panel Accessories,Switches,Selector Switches,"ø22 Series Selector Switch, AR22 Type",AR22PCR-120BB,,AR22PCR-120BB,,,Piece,Each,1,,,,,,,Mounting Hole,For both ? 22.3 and ? 25.5 mm,Shape,Round,"key lock, selector",4a,Notch number,3,Suspend/Return,Both return,Terminal shape,Screw terminal,Representative Standard,CE / UL / TUV / CCC / CSA,Model Class,Control type,Recovery Method,Automatic,Knob / cap color,Black,Key type,No key,1718781107-Product-Screenshot 2024-06-19 124138.png,,,18%,,,,,,,,,1,1-2 days,
"Fuji Electric AR22PCR-307CB- ø22 Series Selector Switch, AR22 Type",Fuji Electric,Panel & Panel Accessories,Switches,Selector Switches,"ø22 Series Selector Switch, AR22 Type",AR22PCR-307CB,,AR22PCR-307CB,,,Piece,Each,1,,,,,,,Mounting Hole,For both ? 22.3 and ? 25.5 mm,Shape,Round,"key lock, selector",2a2b,Notch number,3,Suspend/Return,Stop each position,Terminal shape,Screw terminal,Representative Standard,CE / UL / TUV / CCC / CSA,Model Class,Control type,Recovery Method,Manual,Knob / cap color,Black,Key type,No key,1718783193-Product-Screenshot 2024-06-19 131621.png,,,18%,,,,,,,,,1,1-2 days,
"Fuji Electric AR22PCR-311CB- ø22 Series Selector Switch, AR22 Type",Fuji Electric,Panel & Panel Accessories,Switches,Selector Switches,"ø22 Series Selector Switch, AR22 Type",AR22PCR-311CB,,AR22PCR-311CB,,,Piece,Each,1,,,,,,,Mounting Hole,For both ? 22.3 and ? 25.5 mm,Shape,Round,"key lock, selector",2a2b,Notch number,3,Suspend/Return,Stop each position,Terminal shape,Screw terminal,Representative Standard,CE / UL / TUV / CCC / CSA,Model Class,Control type,Recovery Method,Manual,Knob / cap color,Black,Key type,No key,1718783193-Product-Screenshot 2024-06-19 131621.png,,,18%,,,,,,,,,1,1-2 days,
"Fuji Electric AR22PL-210E3G- ø22 Series Selector Switch, AR22 Type",Fuji Electric,Panel & Panel Accessories,Switches,Selector Switches,"ø22 Series Selector Switch, AR22 Type",AR22PL-210E3G,,AR22PL-210E3G,,,Piece,Each,1,,,,,,,Mounting Hole,For both ? 22.3 and ? 25.5 mm,Shape,Round,"key lock, selector",1a,Notch number,2,Suspend/Return,Both return,Terminal shape,Screw terminal,Representative Standard,CE / UL / TUV / CCC / CSA,Model Class,Illumination,Knob / cap color,Green,Lamp structure,LED,Lamp working voltage,AC/DC24V,1718782561-Product-Screenshot 2024-06-19 130545.png,,,18%,,,,,,,,,1,1-2 days,
"Fuji Electric AR22PL-211E3G- ø22 Series Selector Switch, AR22 Type",Fuji Electric,Panel & Panel Accessories,Switches,Selector Switches,"ø22 Series Selector Switch, AR22 Type",AR22PL-211E3G,,AR22PL-211E3G,,,Piece,Each,1,,,,,,,Mounting Hole,For both ? 22.3 and ? 25.5 mm,Shape,Round,"key lock, selector",1a1b,Notch number,2,Suspend/Return,Stop each position,Terminal shape,Screw terminal,Representative Standard,CE / UL / TUV / CCC / CSA,Model Class,Illumination,Knob / cap color,Green,Lamp structure,LED,Lamp working voltage,AC/DC24V,1718783193-Product-Screenshot 2024-06-19 131621.png,,,18%,,,,,,,,,1,1-2 days,
"Fuji Electric AR22PR-201B- ø22 Series Selector Switch, AR22 Type",Fuji Electric,Panel & Panel Accessories,Switches,Selector Switches,"ø22 Series Selector Switch, AR22 Type",AR22PR-201B,,AR22PR-201B,,,Piece,Each,1,,,,,,,Mounting Hole,For both ? 22.3 and ? 25.5 mm,Shape,Round,"key lock, selector",1b,Notch number,2,Suspend/Return,Stop each position,Terminal shape,Screw terminal,Representative Standard,CE / UL / TUV / CCC / CSA,Model Class,Standard Type,Knob / cap color,Black,Lamp structure,Non-Illumination,Lamp working voltage,Non-Illumination,1718783193-Product-Screenshot 2024-06-19 131621.png,,,18%,,,,,,,,,1,1-2 days,
