name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Neptune 1217- Panel Mounting Socket Outlet Angled Splash Proof IP44, 2 Pole+E, 6h, 16/20 A, 230 V, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting",Panel Mounting Socket Outlet Angled Splash Proof IP44,1217,,1217,670,368.5,Piece,Each,1,"Neptune 1217- Panel Mounting Socket Outlet Angled Splash Proof IP44, 2 Pole+E, 6h, 16/20 A, 230 V, 3 Pin",,,,,,Type,Panel Mounting Socket,Number of Pole,2 Pole+E,Current Rating,16/20 A,Voltage Rating,230 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3 Pin,,,,,,,1720424298-Product-Screenshot 2024-07-08 130754.png,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 12310- Panel Mounting Socket Outlet Angled Splash Proof IP44, 2 Pole+E, 6h, 32 A, 230 V, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting",Panel Mounting Socket Outlet Angled Splash Proof IP44,12310,,12310,1160,638,Piece,Each,1,"Neptune 12310- Panel Mounting Socket Outlet Angled Splash Proof IP44, 2 Pole+E, 6h, 32 A, 230 V, 3 Pin",,,,,,Type,Panel Mounting Socket,Number of Pole,2 Pole+E,Current Rating,32 A,Voltage Rating,230 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3 Pin,,,,,,,1720424298-Product-Screenshot 2024-07-08 130754.png,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 12135- Panel Mounting Socket Outlet Angled Splash Proof IP44, 2 Pole+E, 6h, 63 A, 230 V, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting",Panel Mounting Socket Outlet Angled Splash Proof IP44,12135,,12135,4630,2546.5,Piece,Each,1,"Neptune 12135- Panel Mounting Socket Outlet Angled Splash Proof IP44, 2 Pole+E, 6h, 63 A, 230 V, 3 Pin",,,,,,Type,Panel Mounting Socket,Number of Pole,2 Pole+E,Current Rating,63 A,Voltage Rating,230 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3 Pin,,,,,,,1720424298-Product-Screenshot 2024-07-08 130754.png,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 1221- Panel Mounting Socket Outlet Angled Splash Proof IP44, 3 Pole+E, 6h, 16/20 A, 415 V, 4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting",Panel Mounting Socket Outlet Angled Splash Proof IP44,1221,,1221,1090,599.5,Piece,Each,1,"Neptune 1221- Panel Mounting Socket Outlet Angled Splash Proof IP44, 3 Pole+E, 6h, 16/20 A, 415 V, 4 Pin",,,,,,Type,Panel Mounting Socket,Number of Pole,3 Pole+E,Current Rating,16/20 A,Voltage Rating,415 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,4 Pin,,,,,,,1720425056-Product-Screenshot 2024-07-08 132037.png,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 1233- Panel Mounting Socket Outlet Angled Splash Proof IP44, 3 Pole+E, 6h, 32 A, 415 V, 4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting",Panel Mounting Socket Outlet Angled Splash Proof IP44,1233,,1233,1340,737,Piece,Each,1,"Neptune 1233- Panel Mounting Socket Outlet Angled Splash Proof IP44, 3 Pole+E, 6h, 32 A, 415 V, 4 Pin",,,,,,Type,Panel Mounting Socket,Number of Pole,3 Pole+E,Current Rating,32 A,Voltage Rating,415 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,4 Pin,,,,,,,1720425056-Product-Screenshot 2024-07-08 132037.png,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 12078- Panel Mounting Socket Outlet Angled Splash Proof IP44, 3 Pole+N+E, 6h, 16/20 A, 230/415 V, 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting",Panel Mounting Socket Outlet Angled Splash Proof IP44,12078,,12078,1090,599.5,Piece,Each,1,"Neptune 12078- Panel Mounting Socket Outlet Angled Splash Proof IP44, 3 Pole+N+E, 6h, 16/20 A, 230/415 V, 5 Pin",,,,,,Type,Panel Mounting Socket,Number of Pole,3 Pole+N+E,Current Rating,16/20 A,Voltage Rating,230/415 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,5 Pin,,,,,,,1720425361-Product-Screenshot 2024-07-08 132552.png,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 1215- Panel Mounting Socket Outlet Angled Splash Proof IP44, 3 Pole+N+E, 6h, 32 A, 230/415 V, 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting",Panel Mounting Socket Outlet Angled Splash Proof IP44,1215,,1215,1340,737,Piece,Each,1,"Neptune 1215- Panel Mounting Socket Outlet Angled Splash Proof IP44, 3 Pole+N+E, 6h, 32 A, 230/415 V, 5 Pin",,,,,,Type,Panel Mounting Socket,Number of Pole,3 Pole+N+E,Current Rating,32 A,Voltage Rating,230/415 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,5 Pin,,,,,,,1720425361-Product-Screenshot 2024-07-08 132552.png,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 12380- Panel Mounting Socket Outlet Angled Splash Proof IP44, 3 Pole+N+E, 6h, 63 A, 230/415 V, 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting",Panel Mounting Socket Outlet Angled Splash Proof IP44,12380,,12380,4760,2618,Piece,Each,1,"Neptune 12380- Panel Mounting Socket Outlet Angled Splash Proof IP44, 3 Pole+N+E, 6h, 63 A, 230/415 V, 5 Pin",,,,,,Type,Panel Mounting Socket,Number of Pole,3 Pole+N+E,Current Rating,63 A,Voltage Rating,230/415 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,5 Pin,,,,,,,1720425361-Product-Screenshot 2024-07-08 132552.png,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 131- Panel Mounting Socket Outlet Straight IP44, 2 Pole+E, 6h, 16/20 A, 230 V, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting",Panel Mounting Socket Outlet Straight IP44,131,,131,670,368.5,Piece,Each,1,"Neptune 131- Panel Mounting Socket Outlet Straight IP44, 2 Pole+E, 6h, 16/20 A, 230 V, 3 Pin",,,,,,Type,Panel Mounting Socket,Number of Pole,2 Pole+E,Current Rating,16/20 A,Voltage Rating,230 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3 Pin,,,,,,,1720503594-Product-Screenshot 2024-07-09 110940.png,,8536,18%,,,,,,,,,1,8-10 Days,
"Neptune 13007- Panel Mounting Socket Outlet Straight IP44, 2 Pole+E, 6h, 32 A, 230 V, 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting",Panel Mounting Socket Outlet Straight IP44,13007,,13007,1160,638,Piece,Each,1,"Neptune 13007- Panel Mounting Socket Outlet Straight IP44, 2 Pole+E, 6h, 32 A, 230 V, 3 Pin",,,,,,Type,Panel Mounting Socket,Number of Pole,2 Pole+E,Current Rating,32 A,Voltage Rating,230 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pin,3 Pin,,,,,,,1720503594-Product-Screenshot 2024-07-09 110940.png,,8536,18%,,,,,,,,,1,8-10 Days,
