id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
6983,"Neptune 111- Surface Mounting Socket, Splash Proof, IP44, 16/20 A, 2 Pole+E, 200 upto 250V 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP44, Splash Proof IP44",111,,111,1080,648,Piece,Each,1,"Neptune 111- Surface Mounting Socket, Splash Proof, IP44, 16/20 A, 2P+, 230 V",,,,,,Type,Surface Mounting Socket,Number of Pole,2 Pole+E,Current Rating,16/20 A,Voltage Rating,200 upto 250V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,3 Pin,,,,,,,1720255836-Product-Screenshot 2024-07-06 132210.png,6014914221-Neptune-111,8536,18%,,,,,,,,,1,8-10 Days,
6984,"Neptune 11651- Surface Mounting Socket, Splash Proof, IP44, 32 A, 2 Pole+E, 200 upto 250V 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP44, Splash Proof IP44",11651,,11651,1340,804,Piece,Each,1,"Neptune 11651- Surface Mounting Socket, Splash Proof, IP44, 32 A, 2P+, 230 V",,,,,,Type,Surface Mounting Socket,Number of Pole,2 Pole+E,Current Rating,32 A,Voltage Rating,200 upto 250V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,3 Pin,,,,,,,1720417020-Product-Screenshot 2024-07-08 110648.png,3055193541-Neptune-11651,8536,18%,,,,,,,,,1,8-10 Days,
6985,"Neptune 1104- Surface Mounting Socket, Splash Proof, IP44, 63 A, 2 Pole+E, 200 upto 250V 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP44, Splash Proof IP44",1104,,1104,5290,3174,Piece,Each,1,"Neptune 1104- Surface Mounting Socket, Splash Proof, IP44, 63 A, 2P+, 230 V",,,,,,Type,Surface Mounting Socket,Number of Pole,2 Pole+E,Current Rating,63 A,Voltage Rating,200 upto 250V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,3 Pin,,,,,,,1720416786-Product-Screenshot 2024-07-08 105359.png,4747591377-Neptune-1104,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_1104_en.pdf,,,,,,,,1,8-10 Days,
6986,"Neptune 11645- Surface Mounting Socket, Splash Proof, IP44, 16/20 A, 3 Pole+E, 380 up to 415V 4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP44, Splash Proof IP44",11645,,11645,1190,714,Piece,Each,1,"Neptune 11645- Surface Mounting Socket, Splash Proof, IP44, 16/20 A, 3P+, 415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+E,Current Rating,16/20 A,Voltage Rating,380 up to 415V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,4 Pin,,,,,,,1720418222-Product-Screenshot 2024-07-08 112653.png,1686851146-Neptune-11645,8536,18%,,,,,,,,,1,8-10 Days,
6987,"Neptune 11646- Surface Mounting Socket, Splash Proof, IP44, 32 A, 3 Pole+E, 380 up to 415V 4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP44, Splash Proof IP44",11646,,11646,1450,870,Piece,Each,1,"Neptune 11646- Surface Mounting Socket, Splash Proof, IP44, 32 A, 3P+, 415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+E,Current Rating,32 A,Voltage Rating,380 up to 415V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,4 Pin,,,,,,,1720418297-Product-Screenshot 2024-07-08 112802.png,9234614926-Neptune-11646,8536,18%,,,,,,,,,1,8-10 Days,
6988,"Neptune 1127- Surface Mounting Socket, Splash Proof, IP44, 63 A, 3 Pole+E, 380 up to 415V 4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP44, Splash Proof IP44",1127,,1127,5300,3180,Piece,Each,1,"Neptune 1127- Surface Mounting Socket, Splash Proof, IP44, 63 A, 3P+, 415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+E,Current Rating,63 A,Voltage Rating,380 up to 415V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,4 Pin,,,,,,,1720418346-Product-Screenshot 2024-07-08 112857.png,7512293874-Neptune-1127,8536,18%,,,,,,,,,1,8-10 Days,
6989,"Neptune 100- Surface Mounting Socket, Splash Proof, IP44, 16/20 A, 3 Pole+N+E, 230/415 V 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP44, Splash Proof IP44",100,,100,1190,714,Piece,Each,1,"Neptune 100- Surface Mounting Socket, Splash Proof, IP44, 16/20 A, P + N + P, 230/415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+N+E,Current Rating,16/20 A,Voltage Rating,230/415 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,5 Pin,,,,,,,1720419785-Product-Screenshot 2024-07-08 115255.png,5869141137-Neptune-100,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_100_en%20(1).pdf,,,,,,,,1,8-10 Days,
6990,"Neptune 101- Surface Mounting Socket, Splash Proof, IP44, 32 A, 3 3 Pole+N+E, 230/415 V 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP44, Splash Proof IP44",101,,101,1450,870,Piece,Each,1,"Neptune 101- Surface Mounting Socket, Splash Proof, IP44, 32 A, 3P + N + P, 230/415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+N+E,Current Rating,32 A,Voltage Rating,230/415 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,5 Pin,,,,,,,1720419947-Product-Screenshot 2024-07-08 115535.png,5042353543-Neptune-101,8536,18%,,,,,,,,,1,8-10 Days,
6991,"Neptune 1124- Surface Mounting Socket, Splash Proof, IP44, 63 A, 3 Pole+N+E, 230/415 V 5 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP44, Splash Proof IP44",1124,,1124,5300,3180,Piece,Each,1,"Neptune 1124- Surface Mounting Socket, Splash Proof, IP44, 63 A, 3P + N + P, 230/415 V",,,,,,Type,Surface Mounting Socket,Number of Pole,3 Pole+N+E,Current Rating,63 A,Voltage Rating,230/415 V,IP Protection,IP44,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,5 Pin,,,,,,,1720420020-Product-Screenshot 2024-07-08 115651.png,9702136878-Neptune-1124,8536,18%,https://neptuneindia.com/wp-content/uploads/files/1124_ip_44_surface_mounting_5_pole.pdf,,,,,,,,1,8-10 Days,
6992,"Neptune 1133- Surface Mounting Socket, Water Tight IP67, 16/20 A, 2 Pole+E, 200 upto 250V 3 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Surface Mounting Socket Outlet IP67, Water Tight",1133,,1133,1820,1092,Piece,Each,1,"Neptune 1133- Surface Mounting Socket, Water Tight IP67, 16/20 A, 2P+, 230 V",,,,,,Type,Surface Mounting Socket,Number of Pole,2 Pole+E,Current Rating,16/20 A,Voltage Rating,200 upto 250V,IP Protection,IP67,Earth ‘Clock’ Position,6h,Frequency,50 and 60Hz,Number of Pine,3 Pin,,,,,,,1720420132-Product-Screenshot 2024-07-08 115826.png,6247778452-Neptune-1133,8536,18%,,,,,,,,,1,8-10 Days,
