name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"KAYCEE SRP112-Ammeter Selector Switch, 16Amp, 1Pole, 250V, AC-Type, Position-90°, ON-OFF",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, ON-OFF",SRP112,SRP,SRP112,,403,Piece,Each,1,"KAYCEE SRP112-Ammeter Selector Switch, 16Amp, 1Pole, 250V, AC-Type, Position-90°, ON-OFF",,,,,,Current Rating,16 Amp,Voltage Rating,250V,No.of Pole,1,Switching,ON-OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRP123-Ammeter Selector Switch, 16Amp, 2Pole, 250V, AC-Type, Position-90°, ON-OFF",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, ON-OFF",SRP123,SRP,SRP123,,623,Piece,Each,1,"KAYCEE SRP123-Ammeter Selector Switch, 16Amp, 2Pole, 250V, AC-Type, Position-90°, ON-OFF",,,,,,Current Rating,16 Amp,Voltage Rating,250V,No.of Pole,2,Switching,ON-OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRPM134-Ammeter Selector Switch, 16Amp, 3Pole, 440V, AC-Type, Position-90°, ON-OFF",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, ON-OFF",SRPM134,SRP,SRPM134,,754,Piece,Each,1,"KAYCEE SRPM134-Ammeter Selector Switch, 16Amp, 3Pole, 440V, AC-Type, Position-90°, ON-OFF",,,,,,Current Rating,16 Amp,Voltage Rating,440V,No.of Pole,3,Switching,ON-OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRPM145-Ammeter Selector Switch, 16Amp, 4Pole, 440V, AC-Type, Position-90°, ON-OFF",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, ON-OFF",SRPM145,SRP,SRPM145,,772,Piece,Each,1,"KAYCEE SRPM145-Ammeter Selector Switch, 16Amp, 4Pole, 440V, AC-Type, Position-90°, ON-OFF",,,,,,Current Rating,16 Amp,Voltage Rating,440V,No.of Pole,4,Switching,ON-OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRP113A-Ammeter Selector Switch, 16Amp, 1Pole, 250V, AC-Type, Position-90°, TWO WAY NO OFF",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, TWO WAY NO OFF",SRP113A,SRP,SRP113A,,570,Piece,Each,1,"KAYCEE SRP113A-Ammeter Selector Switch, 16Amp, 1Pole, 250V, AC-Type, Position-90°, TWO WAY NO OFF",,,,,,Current Rating,16 Amp,Voltage Rating,250V,No.of Pole,1,Switching,TWO WAY NO OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRP125A-Ammeter Selector Switch, 16Amp, 2Pole, 250V, AC-Type, Position-90°, TWO WAY NO OFF",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, TWO WAY NO OFF",SRP125A,SRP,SRP125A,,785,Piece,Each,1,"KAYCEE SRP125A-Ammeter Selector Switch, 16Amp, 2Pole, 250V, AC-Type, Position-90°, TWO WAY NO OFF",,,,,,Current Rating,16 Amp,Voltage Rating,250V,No.of Pole,2,Switching,TWO WAY NO OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRPM137A -Ammeter Selector Switch, 16Amp, 3Pole, 440V, AC-Type, Position-90°, TWO WAY NO OFF",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, TWO WAY NO OFF",SRPM137A,SRP,SRPM137A,,1041,Piece,Each,1,"KAYCEE SRPM137A -Ammeter Selector Switch, 16Amp, 3Pole, 440V, AC-Type, Position-90°, TWO WAY NO OFF",,,,,,Current Rating,16 Amp,Voltage Rating,440V,No.of Pole,3,Switching,TWO WAY NO OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRPM149A-Ammeter Selector Switch, 16Amp, 4Pole, 440V, AC-Type, Position-90°, TWO WAY NO OFF",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, TWO WAY NO OFF",SRPM149A,SRP,SRPM149A,,1167,Piece,Each,1,"KAYCEE SRPM149A-Ammeter Selector Switch, 16Amp, 4Pole, 440V, AC-Type, Position-90°, TWO WAY NO OFF",,,,,,Current Rating,16 Amp,Voltage Rating,440V,No.of Pole,4,Switching,TWO WAY NO OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRP113B-Ammeter Selector Switch, 16Amp, 1Pole, 250V, AC-Type, Position-90°, TWO WAY WITH OFF",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, TWO WAY WITH OFF",SRP113B,SRP,SRP113B,,578,Piece,Each,1,"KAYCEE SRP113B-Ammeter Selector Switch, 16Amp, 1Pole, 250V, AC-Type, Position-90°, TWO WAY WITH OFF",,,,,,Current Rating,16 Amp,Voltage Rating,250V,No.of Pole,1,Switching,TWO WAY WITH OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRP125B-Ammeter Selector Switch, 16Amp, 2Pole, 250V, AC-Type, Position-90°, TWO WAY WITH OFF",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, TWO WAY WITH OFF",SRP125B,SRP,SRP125B,,689,Piece,Each,1,"KAYCEE SRP125B-Ammeter Selector Switch, 16Amp, 2Pole, 250V, AC-Type, Position-90°, TWO WAY WITH OFF",,,,,,Current Rating,16 Amp,Voltage Rating,250V,No.of Pole,2,Switching,TWO WAY WITH OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
