c1_category,c2_category,leaf_category
Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting","Panel Mounting, Socket Outlet Schuko, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting","Panel Mounting, Plug-Schuko, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Panel Mounting","Panel Mounting, Angled-Plug With Short Cab, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug, Splash Proof IP44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug, Splash Proof IP44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug, Splash Proof IP44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug, Splash Proof IP44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug, Splash Proof IP44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug, Splash Proof IP44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug, Splash Proof IP44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug, Splash Proof IP44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug, Splash Proof IP44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, Plug Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Splash proof IP-44"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
Plug and Sockets,"Industrial Plug & Sockets, Plug / Connector","Industrial Plug & Sockets, GT Connector, Water Tight IP67"
