name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Neptune15019-Socket-Outlet With MCB Provision, Splash Proof IP44,16/20 A,230V,6h,2 Pole+E,3Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Socket-Outlet With MCB Provision, Splash Proof IP44",15019,,15019,7120,4272,Piece,Each,1,"Neptune15019-Socket-Outlet With MCB Provision, Splash Proof IP44,16/20 A,230V,6h,2 Pole+E,3Pin",,,,,,Type,Socket-Outlet With MCB Provision,Number of Pole,2 Pole+E,Current Rating,16/20 A,Voltage Rating,230 V,IP Protection,IP44,Earth ‘Clock’ Position,6 h,Frequency,50 and 60Hz,Number of Pin,3 Pin,,,,,,,1720692141-Product-15019 nep.PNG,,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_15019_en.pdf,,,,,,,,1,3-4 days,
"Neptune 15030 -Socket-Outlet With MCB Provision, Splash Proof IP44,32 A,230V,6h,2 Pole+E,3Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Socket-Outlet With MCB Provision, Splash Proof IP44",15030,,15030,7900,4740,Piece,Each,1,"Neptune 15030 -Socket-Outlet With MCB Provision, Splash Proof IP44,32 A,230V,6h,2 Pole+E,3Pin",,,,,,Type,Socket-Outlet With MCB Provision,Number of Pole,2 Pole+E,Current Rating,32 A,Voltage Rating,230 V,IP Protection,IP44,Earth ‘Clock’ Position,6 h,Frequency,50 and 60Hz,Number of Pin,3 Pin,,,,,,,1720692238-Product-15030 neptune.PNG,,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_15030_en.pdf,,,,,,,,1,3-4 days,
"Neptune 15059 -Socket-Outlet With MCB Provision, Splash Proof IP44,16/20 A,230/415 V,6h,3 Pole+N+E,5Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Socket-Outlet With MCB Provision, Splash Proof IP44",15059,,15059,7890,4734,Piece,Each,1,"Neptune 15059 -Socket-Outlet With MCB Provision, Splash Proof IP44,16/20 A,230/415 V,6h,3 Pole+N+E,5Pin",,,,,,Type,Socket-Outlet With MCB Provision,Number of Pole,3 Pole+N+E,Current Rating,16/20 A,Voltage Rating,230 V/415 V,IP Protection,IP44,Earth ‘Clock’ Position,6 h,Frequency,50 and 60Hz,Number of Pin,5 Pin,,,,,,,1720692292-Product-15059 neptune.PNG,,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_15059_en.pdf,,,,,,,,1,3-4 days,
"Neptune 1585 -Socket-Outlet With MCB Provision, Splash Proof IP44,32 A,230/415 V,6h,3 Pole+N+E,5Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Socket-Outlet With MCB Provision, Splash Proof IP44",1585,,1585,9280,5568,Piece,Each,1,"Neptune 1585 -Socket-Outlet With MCB Provision, Splash Proof IP44,32 A,230/415 V,6h,3 Pole+N+E,5Pin",,,,,,Type,Socket-Outlet With MCB Provision,Number of Pole,3 Pole+N+E,Current Rating,32 A,Voltage Rating,230 V/415 V,IP Protection,IP44,Earth ‘Clock’ Position,6 h,Frequency,50 and 60Hz,Number of Pin,5 Pin,,,,,,,1720692344-Product-1585 neptune.PNG,,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_1585_en.pdf,,,,,,,,1,3-4 days,
"Neptune 15036 -Socket-Outlet With MCB Provision, Splash Proof IP44,63 A,230/415 V,6h,3 Pole+N+E,5Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Socket-Outlet With MCB Provision, Splash Proof IP44",15036,,15036,18900,11340,Piece,Each,1,"Neptune 15036 -Socket-Outlet With MCB Provision, Splash Proof IP44,63 A,230/415 V,6h,3 Pole+N+E,5Pin",,,,,,Type,Socket-Outlet With MCB Provision,Number of Pole,3 Pole+N+E,Current Rating,63 A,Voltage Rating,230 V/415 V,IP Protection,IP44,Earth ‘Clock’ Position,6 h,Frequency,50 and 60Hz,Number of Pin,5 Pin,,,,,,,1720692421-Product-15036.PNG,,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_15036_en.pdf,,,,,,,,1,3-4 days,
"Neptune 15024-Socket-Outlet With MCB Provision, Water Tight IP67,16/20 A,230V,6h,2 Pole+E,3Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Socket-Outlet With MCB Provision, Water Tight IP67",15024,,15024,7300,4380,Piece,Each,1,"Neptune 15024-Socket-Outlet With MCB Provision, Water Tight IP67,16/20 A,230V,6h,2 Pole+E,3Pin",,,,,,Type,Socket-Outlet With MCB Provision,Number of Pole,2 Pole+E,Current Rating,16/20 A,Voltage Rating,230 V,IP Protection,IP67,Earth ‘Clock’ Position,6 h,Frequency,50 and 60Hz,Number of Pin,3 Pin,,,,,,,1720692466-Product-15024.PNG,,8536,18%,https://neptuneindia.com/wp-content/uploads/files/15024%20-%20Copy.PDF,,,,,,,,1,3-4 days,
"Neptune 15024-Socket-Outlet With MCB Provision, Water Tight IP67,16/20 A,230V,6h,2 Pole+E,3Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Socket-Outlet With MCB Provision, Water Tight IP67",15352,,15352,8000,4800,Piece,Each,1,"Neptune 15024-Socket-Outlet With MCB Provision, Water Tight IP67,16/20 A,230V,6h,2 Pole+E,3Pin",,,,,,Type,Socket-Outlet With MCB Provision,Number of Pole,2 Pole+E,Current Rating,32 A,Voltage Rating,230 V,IP Protection,IP67,Earth ‘Clock’ Position,6 h,Frequency,50 and 60Hz,Number of Pin,3 Pin,,,,,,,1720692545-Product-15352.PNG,,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_15352_en.pdf,,,,,,,,1,3-4 days,
"Neptune 15098-Socket-Outlet With MCB Provision, Water Tight IP67,16/20 A,415 V,3 Pole+E,4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Socket-Outlet With MCB Provision, Water Tight IP67",15098,,15098,8290,4974,Piece,Each,1,"Neptune 15098-Socket-Outlet With MCB Provision, Water Tight IP67,16/20 A,415 V,3 Pole+E,4 Pin",,,,,,Type,Socket-Outlet With MCB Provision,Number of Pole,3 Pole+E,Current Rating,16/20 A,Voltage Rating,415 V,IP Protection,IP67,Earth ‘Clock’ Position,6 h,Frequency,50 and 60Hz,Number of Pin,4 Pin,,,,,,,1720692615-Product-15098.PNG,,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_15098_en.pdf,,,,,,,,1,3-4 days,
"Neptune 15111-Socket-Outlet With MCB Provision, Water Tight IP67,32 A,415 V,3 Pole+E,4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Socket-Outlet With MCB Provision, Water Tight IP67",15111,,15111,9890,5934,Piece,Each,1,"Neptune 15111-Socket-Outlet With MCB Provision, Water Tight IP67,32 A,415 V,3 Pole+E,4 Pin",,,,,,Type,Socket-Outlet With MCB Provision,Number of Pole,3 Pole+E,Current Rating,32 A,Voltage Rating,415 V,IP Protection,IP67,Earth ‘Clock’ Position,6 h,Frequency,50 and 60Hz,Number of Pin,4 Pin,,,,,,,1720692684-Product-15111.PNG,,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_15111_en.pdf,,,,,,,,1,3-4 days,
"Neptune 15000-Socket-Outlet With MCB Provision, Water Tight IP67,63 A,415 V,3 Pole+E,4 Pin",Neptune,Panel & Panel Accessories,Plug and Sockets,"Industrial Plug & Sockets, Surface Mounting","Socket-Outlet With MCB Provision, Water Tight IP67",15000,,15000,20800,12480,Piece,Each,1,"Neptune 15000-Socket-Outlet With MCB Provision, Water Tight IP67,63 A,415 V,3 Pole+E,4 Pin",,,,,,Type,Socket-Outlet With MCB Provision,Number of Pole,3 Pole+E,Current Rating,63 A,Voltage Rating,415 V,IP Protection,IP67,Earth ‘Clock’ Position,6 h,Frequency,50 and 60Hz,Number of Pin,4 Pin,,,,,,,1720692733-Product-15000.PNG,,8536,18%,https://neptuneindia.com/wp-content/uploads/files/db_15000_en.pdf,,,,,,,,1,3-4 days,
