name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"KAYCEE SRP213-Ammeter Selector Switch, 25Amp, 1Pole, 250V, AC-Type, Position-90°, On-Off",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, On-Off",SRP213,SRP,SRP213,,545,Piece,Each,1,"KAYCEE SRP213-Ammeter Selector Switch, 25Amp, 1Pole, 250V, AC-Type, Position-90°, On-Off",,,,,,Current Rating,25 Amp,Voltage Rating,250V,No.of Pole,1,Switching,ON-OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRP225-Ammeter Selector Switch, 25Amp, 2Pole, 250V, AC-Type, Position-90°, On-Off",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, On-Off",SRP225,SRP,SRP225,,722,Piece,Each,1,"KAYCEE SRP225-Ammeter Selector Switch, 25Amp, 2Pole, 250V, AC-Type, Position-90°, On-Off",,,,,,Current Rating,25 Amp,Voltage Rating,250V,No.of Pole,2,Switching,ON-OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRPM237-Ammeter Selector Switch, 25Amp, 3Pole, 400V, AC-Type, Position-90°, On-Off",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, On-Off",SRPM237,SRP,SRPM237,,986,Piece,Each,1,"KAYCEE SRPM237-Ammeter Selector Switch, 25Amp, 3Pole, 400V, AC-Type, Position-90°, On-Off",,,,,,Current Rating,25 Amp,Voltage Rating,440V,No.of Pole,3,Switching,ON-OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRPM249-Ammeter Selector Switch, 25Amp, 4Pole, 400V, AC-Type, Position-90°, On-Off",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, On-Off",SRPM249,SRP,SRPM249,,1199,Piece,Each,1,"KAYCEE SRPM249-Ammeter Selector Switch, 25Amp, 4Pole, 400V, AC-Type, Position-90°, On-Off",,,,,,Current Rating,25 Amp,Voltage Rating,440V,No.of Pole,4,Switching,ON-OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRP213A-Ammeter Selector Switch, 25Amp, 1Pole, 250V, AC-Type, Position-90°, Two way No Off",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, Two way No Off",SRP213A,SRP,SRP213A,,672,Piece,Each,1,"KAYCEE SRP213A-Ammeter Selector Switch, 25Amp, 1Pole, 250V, AC-Type, Position-90°, Two way No Off",,,,,,Current Rating,25 Amp,Voltage Rating,250V,No.of Pole,1,Switching,TWO WAY NO OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRP225A-Ammeter Selector Switch, 25Amp, 2Pole, 250V, AC-Type, Position-90°, Two way No Off",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, Two way No Off",SRP225A,SRP,SRP225A,,874,Piece,Each,1,"KAYCEE SRP225A-Ammeter Selector Switch, 25Amp, 2Pole, 250V, AC-Type, Position-90°, Two way No Off",,,,,,Current Rating,25 Amp,Voltage Rating,250V,No.of Pole,2,Switching,TWO WAY NO OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRPM237A-Ammeter Selector Switch, 25Amp, 3Pole, 440V, AC-Type, Position-90°, Two way No Off",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, Two way No Off",SRPM237A,SRP,SRPM237A,,1185,Piece,Each,1,"KAYCEE SRPM237A-Ammeter Selector Switch, 25Amp, 3Pole, 440V, AC-Type, Position-90°, Two way No Off",,,,,,Current Rating,25 Amp,Voltage Rating,440V,No.of Pole,3,Switching,TWO WAY NO OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRPM249A-Ammeter Selector Switch, 25Amp, 4Pole, 440V, AC-Type, Position-90°, Two way No Off",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, Two way No Off",SRPM249A,SRP,SRPM249A,,1481,Piece,Each,1,"KAYCEE SRPM249A-Ammeter Selector Switch, 25Amp, 4Pole, 440V, AC-Type, Position-90°, Two way No Off",,,,,,Current Rating,25 Amp,Voltage Rating,440V,No.of Pole,4,Switching,TWO WAY NO OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRP215B-Ammeter Selector Switch, 25Amp, 1Pole, 250V, AC-Type, Position-90°, Two way with Off",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, Two way with Off",SRP215B,SRP,SRP215B,,709,Piece,Each,1,"KAYCEE SRP215B-Ammeter Selector Switch, 25Amp, 1Pole, 250V, AC-Type, Position-90°, Two way with Off",,,,,,Current Rating,25 Amp,Voltage Rating,250V,No.of Pole,1,Switching,TWO WAY WITH OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
"KAYCEE SRP229B-Ammeter Selector Switch, 25Amp, 2Pole, 250V, AC-Type, Position-90°, Two way with Off",KAYCEE,Panel & Panel Accessories,Rotary Switches,Ammeter Selector Switch,"Ammeter Selector Switch, AC-Type, Position-90°, Two way with Off",SRP229B,SRP,SRP229B,,995,Piece,Each,1,"KAYCEE SRP229B-Ammeter Selector Switch, 25Amp, 2Pole, 250V, AC-Type, Position-90°, Two way with Off",,,,,,Current Rating,25 Amp,Voltage Rating,250V,No.of Pole,2,Switching,TWO WAY WITH OFF,Position,90°,Type,AC,,,,,,,,,,,1720680208-Product-Ammeter Rotatry Switches.png,,853650,18%,,,,,,,,,1,8-10 Days,
