c1_category,c2_category,leaf_category
Wires & Cables,Power Multi Core Cables,0.75 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,1 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,1.5 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,2.5 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,4 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,6 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,10 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,16 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,25 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,35 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,50 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,70 Sq.mm x 2 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,0.5 sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,0.75 Sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,1 Sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,1.5 Sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,2.5 Sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,4 Sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,6 Sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,10 Sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,16 Sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,25 Sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,35 Sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,50 Sq.mm x 3 Core Copper Flexible FR Wire
Wires & Cables,Power Multi Core Cables,70 Sq.mm x 3 Core Copper Flexible FR Wire
