c1_category,c2_category,leaf_category
Wires & Cables,Power Multi Core Cables,7 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,7 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,7 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,7 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,7 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,7 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,8 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,8 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,8 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,8 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,8 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,10 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,10 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,10 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,10 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,10 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,12 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,12 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,12 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,12 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,12 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,14 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,14 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,14 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,14 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,14 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,16 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,16 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,16 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,16 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,16 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,19 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,19 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,19 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,19 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,19 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,24 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,24 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,24 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,24 Core Industrial Multicore Copper Flexible FRLS Cable
Wires & Cables,Power Multi Core Cables,24 Core Industrial Multicore Copper Flexible FRLS Cable
