id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
7513,Polycab 0.5 sq.mm x 16 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,16 Core Copper Flexible Multi Strand PVC Cable,,,,23100,12012,Meter,( 1 Pack of 100 Mtrs ),1,Polycab 0.5 sq.mm x 16 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,,,,,,Type of Core,16 Core,Nominal Area of Conductor,0.5 sq.mm,Current Carrying Capacity,(5 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,8008391957-Polycab-0.5-s,,18%,,,,,,,,,1,1-2 Days,
7514,Polycab 0.75 Sq.mm x 16 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,16 Core Copper Flexible Multi Strand PVC Cable,,,,33200,17264,Meter,( 1 Pack of 100 Mtrs ),1,Polycab 0.75 Sq.mm x 16 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,,,,,,Type of Core,16 Core,Nominal Area of Conductor,0.75 Sq.mm,Current Carrying Capacity,(8 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,5600687291-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
7515,Polycab 1 Sq.mm x 16 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,16 Core Copper Flexible Multi Strand PVC Cable,,,,42800,22256,Meter,( 1 Pack of 100 Mtrs ),1,Polycab 1 Sq.mm x 16 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,,,,,,Type of Core,16 Core,Nominal Area of Conductor,1 Sq.mm,Current Carrying Capacity,(13 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,1399925895-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
7516,Polycab 1.5 Sq.mm x 16 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,16 Core Copper Flexible Multi Strand PVC Cable,,,,61600,32032,Meter,( 1 Pack of 100 Mtrs ),1,Polycab 1.5 Sq.mm x 16 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,,,,,,Type of Core,16 Core,Nominal Area of Conductor,1.5 Sq.mm,Current Carrying Capacity,(17 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,5955233523-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
7517,Polycab 2.5 Sq.mm x 16 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,16 Core Copper Flexible Multi Strand PVC Cable,,,,99300,51636,Meter,( 1 Pack of 100 Mtrs ),1,Polycab 2.5 Sq.mm x 16 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,,,,,,Type of Core,16 Core,Nominal Area of Conductor,2.5 Sq.mm,Current Carrying Capacity,(24 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,6966630671-Polycab-2.5-S,,18%,,,,,,,,,1,1-2 Days,
7518,Polycab 0.5 sq.mm x 19 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,19 Core Copper Flexible Multi Strand PVC Cable,,,,26900,13988,Meter,( 1 Pack of 100 Mtrs ),1,Polycab 0.5 sq.mm x 19 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,,,,,,Type of Core,19 Core,Nominal Area of Conductor,0.5 sq.mm,Current Carrying Capacity,(5 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,1434286199-Polycab-0.5-s,,18%,,,,,,,,,1,1-2 Days,
7519,Polycab 0.75 Sq.mm x 19 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,19 Core Copper Flexible Multi Strand PVC Cable,,,,38900,20228,Meter,( 1 Pack of 100 Mtrs ),1,Polycab 0.75 Sq.mm x 19 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,,,,,,Type of Core,19 Core,Nominal Area of Conductor,0.75 Sq.mm,Current Carrying Capacity,(8 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,9691265551-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
7520,Polycab 1 Sq.mm x 19 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,19 Core Copper Flexible Multi Strand PVC Cable,,,,50200,26104,Meter,( 1 Pack of 100 Mtrs ),1,Polycab 1 Sq.mm x 19 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,,,,,,Type of Core,19 Core,Nominal Area of Conductor,1 Sq.mm,Current Carrying Capacity,(13 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,1675071233-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
7521,Polycab 1.5 Sq.mm x 19 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,19 Core Copper Flexible Multi Strand PVC Cable,,,,71200,37024,Meter,( 1 Pack of 100 Mtrs ),1,Polycab 1.5 Sq.mm x 19 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,,,,,,Type of Core,19 Core,Nominal Area of Conductor,1.5 Sq.mm,Current Carrying Capacity,(17 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,7662380741-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
7522,Polycab 2.5 Sq.mm x 19 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,19 Core Copper Flexible Multi Strand PVC Cable,,,,115200,59904,Meter,( 1 Pack of 100 Mtrs ),1,Polycab 2.5 Sq.mm x 19 Core Copper Flexible Multi Strand PVC Cable- 100Mtrs.,,,,,,Type of Core,19 Core,Nominal Area of Conductor,2.5 Sq.mm,Current Carrying Capacity,(24 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,6621675979-Polycab-2.5-S,,18%,,,,,,,,,1,1-2 Days,
