c1_category,c2_category,leaf_category
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 25 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 25 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 25 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 35 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 35 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 50 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 50 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 50 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 70 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 70 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 70 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 95 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 95 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 95 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 120 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 120 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 120 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 150 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 150 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 150 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 185 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 185 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 185 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 240 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 240 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 300 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 300 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 400 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 500 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 630 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 3 Core, Size 25 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 3 Core, Size 25 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 3 Core, Size 25 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 3 Core, Size 35 sq. mm"
Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 3 Core, Size 35 sq. mm"
