name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's 2S-ALS-218- 2 Core, 25 sq. mm Short Barrel Aluminium Sector Lug (1 Pack Of 50 No)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector lugs-Short Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 25 sq. mm",2S-ALS-218,2S-ALS,2S-ALS-218,359.5,233.68,Piece,(1 Pack Of 50 No),1,"Dowell's 2S-ALS-218- 2 Core, 25 sq. mm Short Barrel Aluminium Sector Lug",,,,,,Type of Product,Aluminium Sector Lug- Short Barrel,No of Core,2 Core,Size,25 sq. mm,E-Bolt Hole,8.4,Material,Aluminium,,,,,,,,,,,,,1721035641-Product-Screenshot 2024-07-15 145704.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's 2S-ALS-219- 2 Core, 25 sq. mm Short Barrel Aluminium Sector Lug (1 Pack Of 50 No)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 25 sq. mm",2S-ALS-219,2S-ALS,2S-ALS-219,359.5,233.68,Piece,(1 Pack Of 50 No),1,"Dowell's 2S-ALS-219- 2 Core, 25 sq. mm Short Barrel Aluminium Sector Lug",,,,,,Type of Product,Aluminium Sector Lug- Short Barrel,No of Core,2 Core,Size,25 sq. mm,E-Bolt Hole,10.5,Material,Aluminium,,,,,,,,,,,,,1721035641-Product-Screenshot 2024-07-15 145704.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's 2S-ALS-220- 2 Core, 25 sq. mm Short Barrel Aluminium Sector Lug (1 Pack Of 50 No)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 25 sq. mm",2S-ALS-220,2S-ALS,2S-ALS-220,359.5,233.68,Piece,(1 Pack Of 50 No),1,"Dowell's 2S-ALS-220- 2 Core, 25 sq. mm Short Barrel Aluminium Sector Lug",,,,,,Type of Product,Aluminium Sector Lug- Short Barrel,No of Core,2 Core,Size,25 sq. mm,E-Bolt Hole,13,Material,Aluminium,,,,,,,,,,,,,1721035641-Product-Screenshot 2024-07-15 145704.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's 2S-ALS-221- 2 Core, 35 sq. mm Short Barrel Aluminium Sector Lug (1 Pack Of 50 No)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 35 sq. mm",2S-ALS-221,2S-ALS,2S-ALS-221,492,319.8,Piece,(1 Pack Of 50 No),1,"Dowell's 2S-ALS-221- 2 Core, 35 sq. mm Short Barrel Aluminium Sector Lug",,,,,,Type of Product,Aluminium Sector Lug- Short Barrel,No of Core,2 Core,Size,35 sq. mm,E-Bolt Hole,8.4,Material,Aluminium,,,,,,,,,,,,,1721035641-Product-Screenshot 2024-07-15 145704.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's 2S-ALS-222- 2 Core, 35 sq. mm Short Barrel Aluminium Sector Lug (1 Pack Of 50 No)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 35 sq. mm",2S-ALS-222,2S-ALS,2S-ALS-222,492,319.8,Piece,(1 Pack Of 50 No),1,"Dowell's 2S-ALS-222- 2 Core, 35 sq. mm Short Barrel Aluminium Sector Lug",,,,,,Type of Product,Aluminium Sector Lug- Short Barrel,No of Core,2 Core,Size,35 sq. mm,E-Bolt Hole,10.5,Material,Aluminium,,,,,,,,,,,,,1721035641-Product-Screenshot 2024-07-15 145704.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's 2S-ALS-255- 2 Core, 50 sq. mm Short Barrel Aluminium Sector Lug (1 Pack Of 50 No)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 50 sq. mm",2S-ALS-255,2S-ALS,2S-ALS-255,775.5,504.08,Piece,(1 Pack Of 50 No),1,"Dowell's 2S-ALS-255- 2 Core, 50 sq. mm Short Barrel Aluminium Sector Lug",,,,,,Type of Product,Aluminium Sector Lug- Short Barrel,No of Core,2 Core,Size,50 sq. mm,E-Bolt Hole,8.4,Material,Aluminium,,,,,,,,,,,,,1721035641-Product-Screenshot 2024-07-15 145704.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's 2S-ALS-312- 2 Core, 50 sq. mm Short Barrel Aluminium Sector Lug (1 Pack Of 50 No)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 50 sq. mm",2S-ALS-312,2S-ALS,2S-ALS-312,775.5,504.08,Piece,(1 Pack Of 50 No),1,"Dowell's 2S-ALS-312- 2 Core, 50 sq. mm Short Barrel Aluminium Sector Lug",,,,,,Type of Product,Aluminium Sector Lug- Short Barrel,No of Core,2 Core,Size,50 sq. mm,E-Bolt Hole,10.5,Material,Aluminium,,,,,,,,,,,,,1721035641-Product-Screenshot 2024-07-15 145704.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's 2S-ALS-224- 2 Core, 50 sq. mm Short Barrel Aluminium Sector Lug (1 Pack Of 50 No)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 50 sq. mm",2S-ALS-224,2S-ALS,2S-ALS-224,775.5,504.08,Piece,(1 Pack Of 50 No),1,"Dowell's 2S-ALS-224- 2 Core, 50 sq. mm Short Barrel Aluminium Sector Lug",,,,,,Type of Product,Aluminium Sector Lug- Short Barrel,No of Core,2 Core,Size,50 sq. mm,E-Bolt Hole,13,Material,Aluminium,,,,,,,,,,,,,1721035641-Product-Screenshot 2024-07-15 145704.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's 2S-ALS-256- 2 Core, 70 sq. mm Short Barrel Aluminium Sector Lug (1 Pack Of 30 No)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 70 sq. mm",2S-ALS-256,2S-ALS,2S-ALS-256,729.3,474.05,Piece,(1 Pack Of 30 No),1,"Dowell's 2S-ALS-256- 2 Core, 70 sq. mm Short Barrel Aluminium Sector Lug",,,,,,Type of Product,Aluminium Sector Lug- Short Barrel,No of Core,2 Core,Size,70 sq. mm,E-Bolt Hole,8.4,Material,Aluminium,,,,,,,,,,,,,1721035641-Product-Screenshot 2024-07-15 145704.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's 2S-ALS-225- 2 Core, 70 sq. mm Short Barrel Aluminium Sector Lug (1 Pack Of 30 No)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector lugs-Long Barrel,"Long Barrel Aluminium Sector Lug, 2 Core, Size 70 sq. mm",2S-ALS-225,2S-ALS,2S-ALS-225,729.3,474.05,Piece,(1 Pack Of 30 No),1,"Dowell's 2S-ALS-225- 2 Core, 70 sq. mm Short Barrel Aluminium Sector Lug",,,,,,Type of Product,Aluminium Sector Lug- Short Barrel,No of Core,2 Core,Size,70 sq. mm,E-Bolt Hole,10.5,Material,Aluminium,,,,,,,,,,,,,1721035641-Product-Screenshot 2024-07-15 145704.png,,,18%,,,,,,,,,1,4-6 Days,
