name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Polycab FRLS- 0.5 sq.mm x Single Core Industrial Copper Conductor Flexible Cable- 100Mtr,Polycab,Panel & Panel Accessories,Wires & Cables,Power Single Core Cables,1 Core Industrial Copper Conductor Flexible FRLS Cable,,,,1345,699.4,Meter,( 1 Pack of 100 Mtr ),1,Polycab FRLS- 0.5 sq.mm x Single Core Industrial Copper Conductor Flexible Cable,,,,,,Type of Core,1 Core,Voltage Rating,1100 Volts,Unit,Coil,Cable Length,100 Mtr,Colour,Black,,,,,,,,,,,,,1720787079-Product-single core.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab FRLS- 0.75 sq.mm x Single Core Industrial Copper Conductor Flexible Cable- 100 Mtr,Polycab,Panel & Panel Accessories,Wires & Cables,Power Single Core Cables,1 Core Industrial Copper Conductor Flexible FRLS Cable,,,,1885,980.2,Meter,( 1 Pack of 100 Mtr ),1,Polycab FRLS- 0.75 sq.mm x Single Core Industrial Copper Conductor Flexible Cable,,,,,,Type of Core,1 Core,Voltage Rating,1100 Volts,Unit,Coil,Cable Length,100 Mtr,Colour,Black,,,,,,,,,,,,,1720787079-Product-single core.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab FRLS- 1 sq.mm x Single Core Industrial Copper Conductor Flexible Cable- 100 Mtr,Polycab,Panel & Panel Accessories,Wires & Cables,Power Single Core Cables,1 Core Industrial Copper Conductor Flexible FRLS Cable,,,,2370,1232.4,Meter,( 1 Pack of 100 Mtr ),1,Polycab FRLS- 1 sq.mm x Single Core Industrial Copper Conductor Flexible Cable,,,,,,Type of Core,1 Core,Voltage Rating,1100 Volts,Unit,Coil,Cable Length,100 Mtr,Colour,Black,,,,,,,,,,,,,1720787079-Product-single core.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab FRLS- 1.5 sq.mm x Single Core Industrial Copper Conductor Flexible Cable- 100 Mtr,Polycab,Panel & Panel Accessories,Wires & Cables,Power Single Core Cables,1 Core Industrial Copper Conductor Flexible FRLS Cable,,,,3405,1770.6,Meter,( 1 Pack of 100 Mtr ),1,Polycab FRLS- 1.5 sq.mm x Single Core Industrial Copper Conductor Flexible Cable,,,,,,Type of Core,1 Core,Voltage Rating,1100 Volts,Unit,Coil,Cable Length,100 Mtr,Colour,Black,,,,,,,,,,,,,1720787079-Product-single core.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab FRLS- 2.5 sq.mm x Single Core Industrial Copper Conductor Flexible Cable- 100Mtr,Polycab,Panel & Panel Accessories,Wires & Cables,Power Single Core Cables,1 Core Industrial Copper Conductor Flexible FRLS Cable,,,,5640,2932.8,Meter,( 1 Pack of 100 Mtr ),1,Polycab FRLS- 2.5 sq.mm x Single Core Industrial Copper Conductor Flexible Cable,,,,,,Type of Core,1 Core,Voltage Rating,1100 Volts,Unit,Coil,Cable Length,100 Mtr,Colour,Black,,,,,,,,,,,,,1720787079-Product-single core.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab FRLS- 4 sq.mm x Single Core Industrial Copper Conductor Flexible Cable- 100 Mtr,Polycab,Panel & Panel Accessories,Wires & Cables,Power Single Core Cables,1 Core Industrial Copper Conductor Flexible FRLS Cable,,,,8685,4516.2,Meter,( 1 Pack of 100 Mtr ),1,Polycab FRLS- 4 sq.mm x Single Core Industrial Copper Conductor Flexible Cable,,,,,,Type of Core,1 Core,Voltage Rating,1100 Volts,Unit,Coil,Cable Length,100 Mtr,Colour,Black,,,,,,,,,,,,,1720787079-Product-single core.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab FRLS- 6 sq.mm x Single Core Industrial Copper Conductor Flexible Cable- 100 Mtr,Polycab,Panel & Panel Accessories,Wires & Cables,Power Single Core Cables,1 Core Industrial Copper Conductor Flexible FRLS Cable,,,,13000,6760,Meter,( 1 Pack of 100 Mtr ),1,Polycab FRLS- 6 sq.mm x Single Core Industrial Copper Conductor Flexible Cable,,,,,,Type of Core,1 Core,Voltage Rating,1100 Volts,Unit,Coil,Cable Length,100 Mtr,Colour,Black,,,,,,,,,,,,,1720787079-Product-single core.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab FRLS- 10 sq.mm x Single Core Industrial Copper Conductor Flexible Cable- 100 Mtr,Polycab,Panel & Panel Accessories,Wires & Cables,Power Single Core Cables,1 Core Industrial Copper Conductor Flexible FRLS Cable,,,,23050,11986,Meter,( 1 Pack of 100 Mtr ),1,Polycab FRLS- 10 sq.mm x Single Core Industrial Copper Conductor Flexible Cable,,,,,,Type of Core,1 Core,Voltage Rating,1100 Volts,Unit,Coil,Cable Length,100 Mtr,Colour,Black,,,,,,,,,,,,,1720787079-Product-single core.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab FRLS- 16 sq.mm x Single Core Industrial Copper Conductor Flexible Cable- 100 Mtr,Polycab,Panel & Panel Accessories,Wires & Cables,Power Single Core Cables,1 Core Industrial Copper Conductor Flexible FRLS Cable,,,,35700,18564,Meter,( 1 Pack of 100 Mtr ),1,Polycab FRLS- 16 sq.mm x Single Core Industrial Copper Conductor Flexible Cable,,,,,,Type of Core,1 Core,Voltage Rating,1100 Volts,Unit,Coil,Cable Length,100 Mtr,Colour,Black,,,,,,,,,,,,,1720787079-Product-single core.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.5 sq.mm x 2 Core Copper Conductor Flexible Multi Strand PVC Cable 100 Mtr,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,2 Core Copper Conductor Flexible Multi Strand PVC Cable,,,,3670,1908.4,Meter,( 1 Pack of 100 Mtr ),1,Polycab 0.5 sq.mm x 2 Core Copper Conductor Flexible Multi Strand PVC Cable,,,,,,Type of Core,2 Core,Voltage Rating,1100 Volts,Unit,Coil,Cable Length,100 Mtr,Colour,Black,,,,,,,,,,,,,1720787269-Product-multi core.PNG,,,18%,,,,,,,,,1,1-2 Days,
