c1_category,c2_category,leaf_category
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Metal Enclosure Splash Proof IP44
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Polycarbonate Enclosure Plug Socket
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Polycarbonate Enclosure Plug Socket
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Polycarbonate Enclosure Plug Socket
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Plug/Socket Combined in Polycarbonate Enclosure Plug Socket
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Appliance Inlet Splash Proof IP44
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Appliance Inlet Splash Proof IP44
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Appliance Inlet Splash Proof IP44
Plug & Sockets,"Industrial Plug & Sockets, Domestic AC/Industrial Outlet",Appliance Inlet Splash Proof IP44
