name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's CUS-05- Copper Tube Terminal Medium Duty , Size 2.5-5 q.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-05,,CUS-05,730,474.5,Piece,100,1,"Dowell's CUS-05- Copper Tube Terminal Medium Duty , Size 2.5-5 q.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,2.5-5 q.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-06- Copper Tube Terminal Medium Duty , Size 4-6 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-06,,CUS-06,521,338.65,Piece,50,1,"Dowell's CUS-06- Copper Tube Terminal Medium Duty , Size 4-6 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,4-6 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-07- Copper Tube Terminal Medium Duty , Size 6-6 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-07,,CUS-07,567,368.55,Piece,50,1,"Dowell's CUS-07- Copper Tube Terminal Medium Duty , Size 6-6 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,6-6 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-08- Copper Tube Terminal Medium Duty , Size 10-6 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-08,,CUS-08,729.5,474.175,Piece,50,1,"Dowell's CUS-08- Copper Tube Terminal Medium Duty , Size 10-6 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,10-6 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-09- Copper Tube Terminal Medium Duty , Size 16-6 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-09,,CUS-09,949.5,617.175,Piece,50,1,"Dowell's CUS-09- Copper Tube Terminal Medium Duty , Size 16-6 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,16-6 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-10- Copper Tube Terminal Medium Duty , Size 25-6 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-10,,CUS-10,793.25,515.6125,Piece,25,1,"Dowell's CUS-10- Copper Tube Terminal Medium Duty , Size 25-6 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,25-6 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-11- Copper Tube Terminal Medium Duty , Size 35-6 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-11,,CUS-11,856.75,556.8875,Piece,25,1,"Dowell's CUS-11- Copper Tube Terminal Medium Duty , Size 35-6 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,35-6 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-12- Copper Tube Terminal Medium Duty , Size 35-8 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-12,,CUS-12,856.75,556.8875,Piece,25,1,"Dowell's CUS-12- Copper Tube Terminal Medium Duty , Size 35-8 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,35-8 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-13- Copper Tube Terminal Medium Duty , Size 50-6 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-13,,CUS-13,1143.25,743.1125,Piece,25,1,"Dowell's CUS-13- Copper Tube Terminal Medium Duty , Size 50-6 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,50-6 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-14- Copper Tube Terminal Medium Duty , Size 50-8 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-14,,CUS-14,1143.25,743.1125,Piece,25,1,"Dowell's CUS-14- Copper Tube Terminal Medium Duty , Size 50-8 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,50-8 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-15- Copper Tube Terminal Medium Duty , Size 50-10 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-15,,CUS-15,1143.25,743.1125,Piece,25,1,"Dowell's CUS-15- Copper Tube Terminal Medium Duty , Size 50-10 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,50-10 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-16- Copper Tube Terminal Medium Duty , Size 70-8 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-16,,CUS-16,798.8,519.22,Piece,10,1,"Dowell's CUS-16- Copper Tube Terminal Medium Duty , Size 70-8 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,70-8 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's CUS-17- Copper Tube Terminal Medium Duty , Size 70-10 Sq.mm-E",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-17,,CUS-17,798.8,519.22,Piece,10,1,"Dowell's CUS-17- Copper Tube Terminal Medium Duty , Size 70-10 Sq.mm-E",,,,,,Product Type,Copper Tube Terminal,Product Sub Type,Medium Duty,Size,70-10 Sq.mm-E,,,,,,,,,,,,,,,,,1721108278-Product-Screenshot 2024-07-16 110745.png,,,18%,,,,,,,,,1,4-6 Days,
