c1_category,c2_category,leaf_category
Engine,Petrol Engine,Petrol Engine - 4 Stroke OHV
Engine,Petrol Engine,Petrol Engine - 4 Stroke OHV
Engine,Petrol Engine,Petrol Engine - 4 Stroke OHV
Engine,Petrol Engine,Petrol Engine - 4 Stroke OHV with Gear
Engine,Petrol Engine,Petrol Engine - 4 Stroke OHV Self Starter
Engine,Petrol Engine,Petrol Engine - 4 Stroke OHV Taper Rewind
Engine,Petrol Engine,Petrol Engine - 4 Stroke OHV Self Starter
Engine,Petrol Engine,Petrol Engine - 4 Stroke OHV Taper Self Starter
Generator,Inverter Generator,Inverter Generator - 50Hz
Generator,Inverter Generator,Inverter Generator - 50Hz
Generator,Inverter Generator,Inverter Generator - 50Hz
Generator,Inverter Generator,Inverter Generator - 50Hz
Generator,Inverter Generator,Inverter Generator - 50Hz
Generator,Inverter Generator,Inverter Generator - 50Hz
Generator,Inverter Generator,Inverter Generator - 50Hz
Generator,Inverter Generator,Inverter Generator - 50Hz
Generator,Inverter Generator,Inverter Generator - 50Hz
