c1_category,c2_category,leaf_category
Cable Ties,Nylon Cable Ties,"75 mm Length x 2.5 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"100 mm Length x 1.8 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"100 mm Length x 1.8 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"100 mm Length x 2.2 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"100 mm Length x 2.2 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"100 mm Length x 2.5 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"100 mm Length x 2.5 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"150 mm Length x 1.9 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"150 mm Length x 2.2 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"150 mm Length x 2.5 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"150 mm Length x 3.0 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"150 mm Length x 3.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"200 mm Length x 2.2 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"200 mm Length x 2.5 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"200 mm Length x 3.0 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"200 mm Length x 3.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"200 mm Length x 4.8 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"200 mm Length x 7.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"250 mm Length x 2.7 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"250 mm Length x 3.2 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"250 mm Length x 3.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"250 mm Length x 4.0 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"250 mm Length x 4.8 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"250 mm Length x 7.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"300 mm Length x 2.7 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"300 mm Length x 3.0 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"300 mm Length x 3.3 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"300 mm Length x 3.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"300 mm Length x 4.0 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"300 mm Length x 4.8 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"300 mm Length x 7.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"350 mm Length x 3.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"364 mm Length x 4.8 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"364 mm Length x 7.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"400 mm Length x 4.2 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"400 mm Length x 4.2 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"450 mm Length x 4.8 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"430 mm Length x 7.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"460 mm Length x 8.8 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"530 mm Length x 7.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"530 mm Length x 8.8 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"550 mm Length x 12.7 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"630 mm Length x 8.8 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"750 mm Length x 7.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"710 mm Length x 8.8 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"800 mm Length x 9.0 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"900 mm Length x 9.0 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"920 mm Length x 8.6 mm Width, Nylon Cable Ties"
Cable Ties,Nylon Cable Ties,"1230 mm Length x 8.6 mm Width, Nylon Cable Ties"
