name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Tycab 75 mm Length x 2.5 mm Width, Nylon Cable Ties ( 1 Pack of 700 )",Tycab,Industrial Wires & Cables,Cable Ties,Nylon Cable Ties,"75 mm Length x 2.5 mm Width, Nylon Cable Ties",,,,,,Piece,( 1 Pack of 700 ),1,"Tycab 75 mm Length x 2.5 mm Width, Nylon Cable Ties",1721202382-Product-Tycab Cable Tie 2.PNG,1721202411-Product-Tycab Cable Tie 3.PNG,,,,Size in mm Length x Width,75 mm L x 2.5 mm W,Material,Nylon,Colour,White,,,,,,,,,,,,,,,,,1721202345-Product-Tycab Cable tie 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Tycab 100 mm Length x 1.8 mm Width, Nylon Cable Ties ( 1 Pack of 90 )",Tycab,Industrial Wires & Cables,Cable Ties,Nylon Cable Ties,"100 mm Length x 1.8 mm Width, Nylon Cable Ties",,,,,,Piece,( 1 Pack of 90 ),1,"Tycab 100 mm Length x 1.8 mm Width, Nylon Cable Ties",1721202382-Product-Tycab Cable Tie 2.PNG,1721202411-Product-Tycab Cable Tie 3.PNG,,,,Size in mm Length x Width,100 mm L x 1.8 mm W,Material,Nylon,Colour,White,,,,,,,,,,,,,,,,,1721202345-Product-Tycab Cable tie 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Tycab 100 mm Length x 1.8 mm Width, Nylon Cable Ties ( 1 Pack of 800 )",Tycab,Industrial Wires & Cables,Cable Ties,Nylon Cable Ties,"100 mm Length x 1.8 mm Width, Nylon Cable Ties",,,,,,Piece,( 1 Pack of 800 ),1,"Tycab 100 mm Length x 1.8 mm Width, Nylon Cable Ties",1721202382-Product-Tycab Cable Tie 2.PNG,1721202411-Product-Tycab Cable Tie 3.PNG,,,,Size in mm Length x Width,100 mm L x 1.8 mm W,Material,Nylon,Colour,White,,,,,,,,,,,,,,,,,1721202345-Product-Tycab Cable tie 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Tycab 100 mm Length x 2.2 mm Width, Nylon Cable Ties ( 1 Pack of 80 )",Tycab,Industrial Wires & Cables,Cable Ties,Nylon Cable Ties,"100 mm Length x 2.2 mm Width, Nylon Cable Ties",,,,,,Piece,( 1 Pack of 80 ),1,"Tycab 100 mm Length x 2.2 mm Width, Nylon Cable Ties",1721202382-Product-Tycab Cable Tie 2.PNG,1721202411-Product-Tycab Cable Tie 3.PNG,,,,Size in mm Length x Width,100 mm L x 2.2 mm W,Material,Nylon,Colour,White,,,,,,,,,,,,,,,,,1721202345-Product-Tycab Cable tie 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Tycab 100 mm Length x 2.2 mm Width, Nylon Cable Ties ( 1 Pack of 700 )",Tycab,Industrial Wires & Cables,Cable Ties,Nylon Cable Ties,"100 mm Length x 2.2 mm Width, Nylon Cable Ties",,,,,,Piece,( 1 Pack of 700 ),1,"Tycab 100 mm Length x 2.2 mm Width, Nylon Cable Ties",1721202382-Product-Tycab Cable Tie 2.PNG,1721202411-Product-Tycab Cable Tie 3.PNG,,,,Size in mm Length x Width,100 mm L x 2.2 mm W,Material,Nylon,Colour,White,,,,,,,,,,,,,,,,,1721202345-Product-Tycab Cable tie 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Tycab 100 mm Length x 2.5 mm Width, Nylon Cable Ties ( 1 Pack of 65 )",Tycab,Industrial Wires & Cables,Cable Ties,Nylon Cable Ties,"100 mm Length x 2.5 mm Width, Nylon Cable Ties",,,,,,Piece,( 1 Pack of 65 ),1,"Tycab 100 mm Length x 2.5 mm Width, Nylon Cable Ties",1721202382-Product-Tycab Cable Tie 2.PNG,1721202411-Product-Tycab Cable Tie 3.PNG,,,,Size in mm Length x Width,100 mm L x 2.5 mm W,Material,Nylon,Colour,White,,,,,,,,,,,,,,,,,1721202345-Product-Tycab Cable tie 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Tycab 100 mm Length x 2.5 mm Width, Nylon Cable Ties ( 1 Pack of 500 )",Tycab,Industrial Wires & Cables,Cable Ties,Nylon Cable Ties,"100 mm Length x 2.5 mm Width, Nylon Cable Ties",,,,,,Piece,( 1 Pack of 500 ),1,"Tycab 100 mm Length x 2.5 mm Width, Nylon Cable Ties",1721202382-Product-Tycab Cable Tie 2.PNG,1721202411-Product-Tycab Cable Tie 3.PNG,,,,Size in mm Length x Width,100 mm L x 2.5 mm W,Material,Nylon,Colour,White,,,,,,,,,,,,,,,,,1721202345-Product-Tycab Cable tie 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Tycab 150 mm Length x 1.9 mm Width, Nylon Cable Ties ( 1 Pack of 550 )",Tycab,Industrial Wires & Cables,Cable Ties,Nylon Cable Ties,"150 mm Length x 1.9 mm Width, Nylon Cable Ties",,,,,,Piece,( 1 Pack of 550 ),1,"Tycab 150 mm Length x 1.9 mm Width, Nylon Cable Ties",1721202382-Product-Tycab Cable Tie 2.PNG,1721202411-Product-Tycab Cable Tie 3.PNG,,,,Size in mm Length x Width,150 mm L x 1.9 mm W,Material,Nylon,Colour,White,,,,,,,,,,,,,,,,,1721202345-Product-Tycab Cable tie 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Tycab 150 mm Length x 2.2 mm Width, Nylon Cable Ties ( 1 Pack of 500 )",Tycab,Industrial Wires & Cables,Cable Ties,Nylon Cable Ties,"150 mm Length x 2.2 mm Width, Nylon Cable Ties",,,,,,Piece,( 1 Pack of 500 ),1,"Tycab 150 mm Length x 2.2 mm Width, Nylon Cable Ties",1721202382-Product-Tycab Cable Tie 2.PNG,1721202411-Product-Tycab Cable Tie 3.PNG,,,,Size in mm Length x Width,150 mm L x 2.2 mm W,Material,Nylon,Colour,White,,,,,,,,,,,,,,,,,1721202345-Product-Tycab Cable tie 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Tycab 150 mm Length x 2.5 mm Width, Nylon Cable Ties ( 1 Pack of 400 )",Tycab,Industrial Wires & Cables,Cable Ties,Nylon Cable Ties,"150 mm Length x 2.5 mm Width, Nylon Cable Ties",,,,,,Piece,( 1 Pack of 400 ),1,"Tycab 150 mm Length x 2.5 mm Width, Nylon Cable Ties",1721202382-Product-Tycab Cable Tie 2.PNG,1721202411-Product-Tycab Cable Tie 3.PNG,,,,Size in mm Length x Width,150 mm L x 2.5 mm W,Material,Nylon,Colour,White,,,,,,,,,,,,,,,,,1721202345-Product-Tycab Cable tie 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
