c1_category,c2_category,leaf_category
Connectors,IP68 Straight Connector Series,"IP68 Straight Connector Series, 2-Pole, 32Amp"
Connectors,IP68 Straight Connector Series,"IP68 Straight Connector Series, 3-Pole, 32Amp"
Connectors,IP68 Straight Connector Series,"IP68 Straight Connector Series, 4-Pole, 32Amp"
Connectors,IP68 Straight Connector Series,"IP68 Straight Connector Series, 5-Pole, 32Amp"
Connectors,IP68 Straight Connector Series,"IP68 Straight Connector Series, 2-Pole, 32Amp"
Connectors,IP68 Straight Connector Series,"IP68 Straight Connector Series, 3-Pole, 32Amp"
Connectors,IP68 Straight Connector Series,"IP68 Straight Connector Series, 4-Pole, 32Amp"
Connectors,IP68 Straight Connector Series,"IP68 Straight Connector Series, 5-Pole, 32Amp"
Connectors,IP68 T Connector Series,"IP68 T Connector Series, 2-Pole, 32Amp"
Connectors,IP68 T Connector Series,"IP68 T Connector Series, 3-Pole, 32Amp"
Connectors,IP68 T Connector Series,"IP68 T Connector Series, 4-Pole, 32Amp"
Connectors,IP68 T Connector Series,"IP68 T Connector Series, 5-Pole, 32Amp"
Connectors,IP68 T Connector Series,"IP68 T Connector Series, 2-Pole, 32Amp"
Connectors,IP68 T Connector Series,"IP68 T Connector Series, 3-Pole, 32Amp"
Connectors,IP68 T Connector Series,"IP68 T Connector Series, 4-Pole, 32Amp"
Connectors,IP68 T Connector Series,"IP68 T Connector Series, 5-Pole, 32Amp"
Connectors,IP68 Straight Connector Series,"IP68 Straight Connector Series, 2-Pole, 16Amp"
Connectors,IP68 Straight Connector Series,"IP68 Straight Connector Series, 3-Pole, 16Amp"
Connectors,Releasable Straight Connector Series,"Releasable Straight Connector Series, 2-Pole, 16Amp"
Connectors,Releasable Straight Connector Series,"Releasable Straight Connector Series, 3-Pole, 16Amp"
Connectors,Releasable T Connector Series,"Releasable T Connector Series, 3-Pole, 16Amp"
