name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Neptune 6180-Modular Distribution Board – IP 65,Neptune,Panel & Panel Accessories,Eco Box Enclosure & Junction Boxes,Modular Enclosure,Modular Distribution Board – IP 65,6180,,6180,1380,828,Piece,Each,1,Our Modular Distribution System Provides Optimum Security to Both Operations and Equipment Because They Feature Total Insulation and Protection Degree IP 65 According to IEC 60529 and EN 60529.,,,,,,Dimension L*W*H,180*180*135 mm,,,,,,,,,,,,,,,,,,,,,1721028324-Product-6180.PNG,,8538,18%,,,,,,,,,1,8-10 Days,
Neptune 6260-Modular Distribution Board – IP 65,Neptune,Panel & Panel Accessories,Eco Box Enclosure & Junction Boxes,Modular Enclosure,Modular Distribution Board – IP 65,6260,,6260,1620,972,Piece,Each,1,Our Modular Distribution System Provides Optimum Security to Both Operations and Equipment Because They Feature Total Insulation and Protection Degree IP 65 According to IEC 60529 and EN 60529.,,,,,,Dimension L*W*H,180*240*135 mm,,,,,,,,,,,,,,,,,,,,,1721028336-Product-6260.PNG,,8538,18%,,,,,,,,,1,8-10 Days,
Neptune 6320-Modular Distribution Board – IP 65,Neptune,Panel & Panel Accessories,Eco Box Enclosure & Junction Boxes,Modular Enclosure,Modular Distribution Board – IP 65,6320,,6320,2940,1764,Piece,Each,1,Our Modular Distribution System Provides Optimum Security to Both Operations and Equipment Because They Feature Total Insulation and Protection Degree IP 65 According to IEC 60529 and EN 60529.,,,,,,Dimension L*W*H,240*320*135 mm,,,,,,,,,,,,,,,,,,,,,1721028347-Product-6320.PNG,,8538,18%,,,,,,,,,1,8-10 Days,
Neptune 6420-Modular Distribution Board – IP 65,Neptune,Panel & Panel Accessories,Eco Box Enclosure & Junction Boxes,Modular Enclosure,Modular Distribution Board – IP 65,6420,,6420,4050,2430,Piece,Each,1,Our Modular Distribution System Provides Optimum Security to Both Operations and Equipment Because They Feature Total Insulation and Protection Degree IP 65 According to IEC 60529 and EN 60529.,,,,,,Dimension L*W*H,320*420*135 mm,,,,,,,,,,,,,,,,,,,,,1721028359-Product-6420.PNG,,8538,18%,,,,,,,,,1,8-10 Days,
Neptune 6520-Modular Distribution Board – IP 65,Neptune,Panel & Panel Accessories,Eco Box Enclosure & Junction Boxes,Modular Enclosure,Modular Distribution Board – IP 65,6520,,6520,8910,5346,Piece,Each,1,Our Modular Distribution System Provides Optimum Security to Both Operations and Equipment Because They Feature Total Insulation and Protection Degree IP 65 According to IEC 60529 and EN 60529.,,,,,,Dimension L*W*H,420*640*160 mm,,,,,,,,,,,,,,,,,,,,,1721028371-Product-6520.PNG,,8538,18%,,,,,,,,,1,8-10 Days,
Neptune 1001-Modular Distribution Board – IP 65,Neptune,Panel & Panel Accessories,Eco Box Enclosure & Junction Boxes,Junction Boxes,Modular Distribution Board – IP 65,1001,,1001,300,180,Piece,Each,1,Our Modular Distribution System Provides Optimum Security to Both Operations and Equipment Because They Feature Total Insulation and Protection Degree IP 65 According to IEC 60529 and EN 60529.,,,,,,Dimension L*W*H,90*90*50 mm,,,,,,,,,,,,,,,,,,,,,1721028382-Product-1001.PNG,,8538,18%,,,,,,,,,1,8-10 Days,
Neptune 1002-Modular Distribution Board – IP 65,Neptune,Panel & Panel Accessories,Eco Box Enclosure & Junction Boxes,Junction Boxes,Modular Distribution Board – IP 65,1002,,1002,350,210,Piece,Each,1,Our Modular Distribution System Provides Optimum Security to Both Operations and Equipment Because They Feature Total Insulation and Protection Degree IP 65 According to IEC 60529 and EN 60529.,,,,,,Dimension L*W*H,100*100*60 mm,,,,,,,,,,,,,,,,,,,,,1721028393-Product-1002.PNG,,8538,18%,,,,,,,,,1,8-10 Days,
Neptune 1003-Modular Distribution Board – IP 65,Neptune,Panel & Panel Accessories,Eco Box Enclosure & Junction Boxes,Junction Boxes,Modular Distribution Board – IP 65,1003,,1003,600,360,Piece,Each,1,Our Modular Distribution System Provides Optimum Security to Both Operations and Equipment Because They Feature Total Insulation and Protection Degree IP 65 According to IEC 60529 and EN 60529.,,,,,,Dimension L*W*H,110*140*70 mm,,,,,,,,,,,,,,,,,,,,,1721028403-Product-1003.PNG,,8538,18%,,,,,,,,,1,8-10 Days,
Neptune 1004-Modular Distribution Board – IP 65,Neptune,Panel & Panel Accessories,Eco Box Enclosure & Junction Boxes,Junction Boxes,Modular Distribution Board – IP 65,1004,,1004,720,432,Piece,Each,1,Our Modular Distribution System Provides Optimum Security to Both Operations and Equipment Because They Feature Total Insulation and Protection Degree IP 65 According to IEC 60529 and EN 60529.,,,,,,Dimension L*W*H,130*130*100 mm,,,,,,,,,,,,,,,,,,,,,1721028412-Product-1004.PNG,,8538,18%,,,,,,,,,1,8-10 Days,
Neptune 1005-Modular Distribution Board – IP 65,Neptune,Panel & Panel Accessories,Eco Box Enclosure & Junction Boxes,Junction Boxes,Modular Distribution Board – IP 65,1005,,1005,790,474,Piece,Each,1,Our Modular Distribution System Provides Optimum Security to Both Operations and Equipment Because They Feature Total Insulation and Protection Degree IP 65 According to IEC 60529 and EN 60529.,,,,,,Dimension L*W*H,130*170*80 mm,,,,,,,,,,,,,,,,,,,,,1721028422-Product-1005.PNG,,8538,18%,,,,,,,,,1,8-10 Days,
