name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Combination Plier,Reputed,Tools,Tools Section,Combination Plier,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721302806-Product-Combination Plier.PNG,,,18%,,,,,,,,,1,06-08 Days,
Adjustable Wrench,Reputed,Tools,Tools Section,Adjustable Wrench,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721302831-Product-Adjustable Wrench.PNG,,,18%,,,,,,,,,1,06-08 Days,
Water Pump Plier,Reputed,Tools,Tools Section,Water Pump Plier,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721302857-Product-Water Pump Plier.PNG,,,18%,,,,,,,,,1,06-08 Days,
Phillip Screwdriver,Reputed,Tools,Tools Section,Phillip Screwdriver,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721302870-Product-Phillip Screwdriver.PNG,,,18%,,,,,,,,,1,06-08 Days,
Flat Screwdriver,Reputed,Tools,Tools Section,Flat Screwdriver,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721302888-Product-Flat Screwdriver.PNG,,,18%,,,,,,,,,1,06-08 Days,
Grip Locking Pliers,Reputed,Tools,Tools Section,Grip Locking Pliers,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721302916-Product-Grip Locking Pliers.PNG,,,18%,,,,,,,,,1,06-08 Days,
Grip Locking Pliers,Reputed,Tools,Tools Section,Grip Locking Pliers,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721302946-Product-Grip Locking Pliers-1.PNG,,,18%,,,,,,,,,1,06-08 Days,
Pipe & Tube Benders,Reputed,Tools,Tools Section,Pipe & Tube Benders,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721302961-Product-Pipe & Tube Benders.PNG,,,18%,,,,,,,,,1,06-08 Days,
Pipe & Tube Benders,Reputed,Tools,Tools Section,Pipe & Tube Benders,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721302974-Product-Pipe & Tube Benders-2.PNG,,,18%,,,,,,,,,1,06-08 Days,
Pipe & Tube Benders,Reputed,Tools,Tools Section,Pipe & Tube Benders,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721303025-Product-Pipe & Tube Benders-3.PNG,,,18%,,,,,,,,,1,06-08 Days,
Hole Saw Kit,Reputed,Tools,Tools Section,Hole Saw Kit,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721303038-Product-Hole Saw Kit.PNG,,,18%,,,,,,,,,1,06-08 Days,
Pipe Vice with Stand,Reputed,Tools,Tools Section,Pipe Vice with Stand,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721303057-Product-Pipe Vice with Stand.PNG,,,18%,,,,,,,,,1,06-08 Days,
Pipe Vice,Reputed,Tools,Tools Section,Pipe Vice,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721303074-Product-Pipe Vice.PNG,,,18%,,,,,,,,,1,06-08 Days,
Manual Pipe Threading Die Sets,Reputed,Tools,Tools Section,Manual Pipe Threading Die Sets,,,,,,,Piece,Each,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721303091-Product-Manual Pipe Threading Die Sets.PNG,,,18%,,,,,,,,,1,06-08 Days,
