name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Polycab 16 Sq.mm. X 1 Core Copper Armoured Stranded Multicore Conductor PVC Power Cable (1 Pack of 100 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,1 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,76300,28231,Meter,(1 Pack of 100 Mtr),1,Polycab 16 Sq.mm. 1 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,1 Core,Size,16 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 4 Sq.mm. X 2 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 100 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,2 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,39200,14504,Meter,(1 Pack of 100 Mtr),1,Polycab 4 Sq.mm. 2 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,2 Core,Size,4 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 6 Sq.mm. X 2 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 100 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,2 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,53600,19832,Meter,(1 Pack of 100 Mtr),1,Polycab 6 Sq.mm. 2 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,2 Core,Size,6 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 10 Sq.mm. X 2 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 100 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,2 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,85600,31672,Meter,(1 Pack of 100 Mtr),1,Polycab 10 Sq.mm. 2 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,2 Core,Size,10 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 16 Sq.mm. X 2 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 50 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,2 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,62500,23125,Meter,(1 Pack of 50 Mtr),1,Polycab 16 Sq.mm. 2 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,2 Core,Size,16 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 4 Sq.mm. X 3 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 100 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,3 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,52500,19425,Meter,(1 Pack of 100 Mtr),1,Polycab 4 Sq.mm. 3 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,3 Core,Size,4 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 6 Sq.mm. X 3 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 100 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,3 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,74000,27380,Meter,(1 Pack of 100 Mtr),1,Polycab 6 Sq.mm. 3 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,3 Core,Size,6 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 10 Sq.mm. X 3 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 50 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,3 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,58750,21737.5,Meter,(1 Pack of 50 Mtr),1,Polycab 10 Sq.mm. 3 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,3 Core,Size,10 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 16 Sq.mm. X 3 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 50 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,3 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,91900,34003,Meter,(1 Pack of 50 Mtr),1,Polycab 16 Sq.mm. 3 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,3 Core,Size,16 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 4 Sq.mm. X 4 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 100 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,4 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,67200,24864,Meter,(1 Pack of 100 Mtr),1,Polycab 4 Sq.mm. 4 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,4 Core,Size,4 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 6 Sq.mm. X 4 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 100 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,4 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,95000,35150,Meter,(1 Pack of 100 Mtr),1,Polycab 6 Sq.mm. 4 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,4 Core,Size,6 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 10 Sq.mm. X 4 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 20 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,4 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,30760,11381.2,Meter,(1 Pack of 20 Mtr),1,Polycab 10 Sq.mm. 4 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,4 Core,Size,10 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 16 Sq.mm. X 4 Core Copper Armoured Stranded Conductor PVC Power Cable (1 Pack of 20 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured,4 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,47420,17545.4,Meter,(1 Pack of 20 Mtr),1,Polycab 16 Sq.mm. 4 Core Copper Armoured Stranded Conductor PVC Power Cable,,,,,,Type of Core,4 Core,Size,16 Sq.mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,,,18%,,,,,,,,,1,1-2 Days,
