id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
8376,Polycab 1.50 Sq.mm. X 14 Core LT Copper Armoured Control FRLSH Cable (1 Pack of 100 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured Control Cable,14 Core LT Copper Armoured Control FRLSH Cable,,,,89800,33226,Meter,(1 Pack of 100 Mtr),1,Polycab 1.50 Sq.mm. X 14 Core LT Copper Armoured Control FRLSH Cable,,,,,,Type of Core,14 Core,Size,1.5 Sq. mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,9607722193-Polycab-1.50,,18%,,,,,,,,,1,1-2 Days,
8377,Polycab 1.50 Sq.mm. X 16 Core LT Copper Armoured Control FRLSH Cable (1 Pack of 50 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured Control Cable,16 Core LT Copper Armoured Control FRLSH Cable,,,,50400,18648,Meter,(1 Pack of 50 Mtr),1,Polycab 1.50 Sq.mm. X 16 Core LT Copper Armoured Control FRLSH Cable,,,,,,Type of Core,16 Core,Size,1.5 Sq. mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,9401295835-Polycab-1.50,,18%,,,,,,,,,1,1-2 Days,
8378,Polycab 1.50 Sq.mm. X 19 Core LT Copper Armoured Control FRLSH Cable (1 Pack of 50 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured Control Cable,19 Core LT Copper Armoured Control FRLSH Cable,,,,59850,22144.5,Meter,(1 Pack of 50 Mtr),1,Polycab 1.50 Sq.mm. X 19 Core LT Copper Armoured Control FRLSH Cable,,,,,,Type of Core,19 Core,Size,1.5 Sq. mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,5948024006-Polycab-1.50,,18%,,,,,,,,,1,1-2 Days,
8379,Polycab 1.50 Sq.mm. X 24 Core LT Copper Armoured Control FRLSH Cable (1 Pack of 20 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured Control Cable,24 Core LT Copper Armoured Control FRLSH Cable,,,,29960,11085.2,Meter,(1 Pack of 20 Mtr),1,Polycab 1.50 Sq.mm. X 24 Core LT Copper Armoured Control FRLSH Cable,,,,,,Type of Core,24 Core,Size,1.5 Sq. mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,6521402584-Polycab-1.50,,18%,,,,,,,,,1,1-2 Days,
8380,Polycab 1.50 Sq.mm. X 27 Core LT Copper Armoured Control FRLSH Cable (1 Pack of 20 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured Control Cable,27 Core LT Copper Armoured Control FRLSH Cable,,,,32980,12202.6,Meter,(1 Pack of 20 Mtr),1,Polycab 1.50 Sq.mm. X 27 Core LT Copper Armoured Control FRLSH Cable,,,,,,Type of Core,27 Core,Size,1.5 Sq. mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,4632329529-Polycab-1.50,,18%,,,,,,,,,1,1-2 Days,
8381,Polycab 1.50 Sq.mm. X 30 Core LT Copper Armoured Control FRLSH Cable (1 Pack of 20 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured Control Cable,30 Core LT Copper Armoured Control FRLSH Cable,,,,36760,13601.2,Meter,(1 Pack of 20 Mtr),1,Polycab 1.50 Sq.mm. X 30 Core LT Copper Armoured Control FRLSH Cable,,,,,,Type of Core,30 Core,Size,1.5 Sq. mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,2139777366-Polycab-1.50,,18%,,,,,,,,,1,1-2 Days,
8382,Polycab 1.50 Sq.mm. X 37 Core LT Copper Armoured Control FRLSH Cable (1 Pack of 20 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured Control Cable,37 Core LT Copper Armoured Control FRLSH Cable,,,,49660,18374.2,Meter,(1 Pack of 20 Mtr),1,Polycab 1.50 Sq.mm. X 37 Core LT Copper Armoured Control FRLSH Cable,,,,,,Type of Core,37 Core,Size,1.5 Sq. mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,7507456064-Polycab-1.50,,18%,,,,,,,,,1,1-2 Days,
8383,Polycab 1.50 Sq.mm. X 44 Core LT Copper Armoured Control FRLSH Cable (1 Pack of 10 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured Control Cable,44 Core LT Copper Armoured Control FRLSH Cable,,,,29610,10955.7,Meter,(1 Pack of 10 Mtr),1,Polycab 1.50 Sq.mm. X 44 Core LT Copper Armoured Control FRLSH Cable,,,,,,Type of Core,44 Core,Size,1.5 Sq. mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,9092241459-Polycab-1.50,,18%,,,,,,,,,1,1-2 Days,
8384,Polycab 1.50 Sq.mm. X 61 Core LT Copper Armoured Control FRLSH Cable (1 Pack of 10 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured Control Cable,61 Core LT Copper Armoured Control FRLSH Cable,,,,43580,16124.6,Meter,(1 Pack of 10 Mtr),1,Polycab 1.50 Sq.mm. X 61 Core LT Copper Armoured Control FRLSH Cable,,,,,,Type of Core,61 Core,Size,1.5 Sq. mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,6849328705-Polycab-1.50,,18%,,,,,,,,,1,1-2 Days,
8385,Polycab 2.50 Sq.mm. X 14 Core LT Copper Armoured Control FRLSH Cable (1 Pack of 50 Mtr),Polycab,Industrial Wires & Cables,Cables,Copper Armoured Control Cable,14 Core LT Copper Armoured Control FRLSH Cable,,,,70200,25974,Meter,(1 Pack of 50 Mtr),1,Polycab 2.50 Sq.mm. X 14 Core LT Copper Armoured Control FRLSH Cable,,,,,,Type of Core,14 Core,Size,2.5 Sq. mm.,Conductor,Plain Annealed Copper Stranded Circular,Armouring,Galvanised Steel,Type of Armouring,Round Wire,Voltage,1100 Volts,,,,,,,,,,,1721294885-Product-Screen Sht Image Polycab.PNG,1276106502-Polycab-2.50,,18%,,,,,,,,,1,1-2 Days,
