name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Polycab 0.50 Sq.mm X 1 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,16300,8313,,,,Polycab 0.50 Sq.mm X 1 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 100 No),,,,,Size,0.50 Sqmm,Pair,1 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 2 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,27100,13821,,,,Polycab 0.50 Sq.mm X 2 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 100 No),,,,,Size,0.50 Sqmm,Pair,2 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 3 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,33600,17136,,,,Polycab 0.50 Sq.mm X 3 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 100 No),,,,,Size,0.50 Sqmm,Pair,3 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 4 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,40400,20604,,,,Polycab 0.50 Sq.mm X 4 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 100 No),,,,,Size,0.50 Sqmm,Pair,4 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 5 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,46700,23817,,,,Polycab 0.50 Sq.mm X 5 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 100 No),,,,,Size,0.50 Sqmm,Pair,5 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 6 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,53900,27489,,,,Polycab 0.50 Sq.mm X 6 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 100 No),,,,,Size,0.50 Sqmm,Pair,6 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 7 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,59600,30396,,,,Polycab 0.50 Sq.mm X 7 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 100 No),,,,,Size,0.50 Sqmm,Pair,7 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 8 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,67100,34221,,,,Polycab 0.50 Sq.mm X 8 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 100 No),,,,,Size,0.50 Sqmm,Pair,8 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 10 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,79500,40545,,,,Polycab 0.50 Sq.mm X 10 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 100 No),,,,,Size,0.50 Sqmm,Pair,10 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 11 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,90500,46155,,,,Polycab 0.50 Sq.mm X 11 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 100 No),,,,,Size,0.50 Sqmm,Pair,11 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 12 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,51450,26239.5,,,,Polycab 0.50 Sq.mm X 12 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 50 No),,,,,Size,0.50 Sqmm,Pair,12 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 14 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,57000,29070,,,,Polycab 0.50 Sq.mm X 14 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 50 No),,,,,Size,0.50 Sqmm,Pair,14 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 16 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,65750,33532.5,,,,Polycab 0.50 Sq.mm X 16 Traid Overall shielded Armoured Instrumentation FRLS Cable,(1 Pack of 50 No),,,,,Size,0.50 Sqmm,Pair,16 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,,,18%,,,,,,,,,1,1-2 Days,
