name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Polycab 0.50 Sq.mm X 1 Pair Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Pair Overall shielded Armoured Instrumentation Cable,Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,13400,6834,(1 Pack of 100 No),,,Polycab 0.50 Sq.mm X 1 Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,1 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721372190-Product-1 pair.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 2 Pair Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Pair Overall shielded Armoured Instrumentation Cable,Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,19600,9996,(1 Pack of 100 No),,,Polycab 0.50 Sq.mm X 2 Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,2 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721372196-Product-2 pair.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 3 Pair Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Pair Overall shielded Armoured Instrumentation Cable,Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,23500,11985,(1 Pack of 100 No),,,Polycab 0.50 Sq.mm X 3 Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,3 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721372200-Product-3 Pair.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 4 Pair Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Pair Overall shielded Armoured Instrumentation Cable,Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,28100,14331,(1 Pack of 100 No),,,Polycab 0.50 Sq.mm X 4 Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,4 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721372207-Product-4 pair.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 5 Pair Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Pair Overall shielded Armoured Instrumentation Cable,Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,32900,16779,(1 Pack of 100 No),,,Polycab 0.50 Sq.mm X 5 Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,5 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721372228-Product-5 Pair.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 6 Pair Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Pair Overall shielded Armoured Instrumentation Cable,Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,37900,19329,(1 Pack of 100 No),,,Polycab 0.50 Sq.mm X 6 Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,6 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721372233-Product-6 Pair.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 7 Pair Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Pair Overall shielded Armoured Instrumentation Cable,Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,41600,21216,(1 Pack of 100 No),,,Polycab 0.50 Sq.mm X 7 Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,7 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721372233-Product-6 Pair.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 8 Pair Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Pair Overall shielded Armoured Instrumentation Cable,Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,46600,23766,(1 Pack of 100 No),,,Polycab 0.50 Sq.mm X 8 Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,8 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721372252-Product-8 Pair.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 10 Pair Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Pair Overall shielded Armoured Instrumentation Cable,Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,55800,28458,(1 Pack of 100 No),,,Polycab 0.50 Sq.mm X 10 Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,10 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721372278-Product-10 Pair.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 12 Pair Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Pair Overall shielded Armoured Instrumentation Cable,Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,63200,32232,(1 Pack of 100 No),,,Polycab 0.50 Sq.mm X 12 Pair Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.50 Sqmm,Pair,12 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721372295-Product-12 Pair.PNG,,,18%,,,,,,,,,1,1-2 Days,
