c1_category,c2_category,leaf_category
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Spade/Fork Terminal,Non Insulated Spade/Fork Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Non Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
Thimbles,Ring Terminal,Insulated Ring Type
