name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's CUS-05 Copper Tube Terminal Medium Duty, Size 2.5-5 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-05,,CUS-05,730,474.5,(1 Pack of 100 No),,,,", Size",,,,,Size,2.5-5 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-06 Copper Tube Terminal Medium Duty, Size 4-6 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-06,,CUS-06,1042,677.3,(1 Pack of 100 No),,,,", Size",,,,,Size,4-6 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-09 Copper Tube Terminal Medium Duty, Size 10-16 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-09,,CUS-09,1899,1234.35,(1 Pack of 100 No),,,,", Size",,,,,Size,10-16 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-10 Copper Tube Terminal Medium Duty, Size 25-6 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-10,,CUS-10,3173,2062.45,(1 Pack of 100 No),,,,", Size",,,,,Size,25-6 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-11 Copper Tube Terminal Medium Duty, Size 35-6 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-11,,CUS-11,3427,2227.55,(1 Pack of 100 No),,,,", Size",,,,,Size,35-6 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-13 Copper Tube Terminal Medium Duty, Size 50-6 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-13,,CUS-13,4573,2972.45,(1 Pack of 100 No),,,,", Size",,,,,Size,50-6 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-14 Copper Tube Terminal Medium Duty, Size 50-8 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-14,,CUS-14,4573,2972.45,(1 Pack of 100 No),,,,", Size",,,,,Size,50-8 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-15 Copper Tube Terminal Medium Duty, Size 50-10 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-15,,CUS-15,4573,2972.45,(1 Pack of 100 No),,,,", Size",,,,,Size,50-10 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-16 Copper Tube Terminal Medium Duty, Size 70-8 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-16,,CUS-16,7988,5192.2,(1 Pack of 100 No),,,,", Size",,,,,Size,70-8 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-17 Copper Tube Terminal Medium Duty, Size 70-10 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-17,,CUS-17,7988,5192.2,(1 Pack of 100 No),,,,", Size",,,,,Size,70-10 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-18 Copper Tube Terminal Medium Duty, Size 70-12 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-18,,CUS-18,7988,5192.2,(1 Pack of 100 No),,,,", Size",,,,,Size,70-12 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-19 Copper Tube Terminal Medium Duty, Size 95-10 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-19,,CUS-19,11346,7374.9,(1 Pack of 100 No),,,,", Size",,,,,Size,95-10 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-20 Copper Tube Terminal Medium Duty, Size 95-12 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-20,,CUS-20,10883,7073.95,(1 Pack of 100 No),,,,", Size",,,,,Size,95-12 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-21 Copper Tube Terminal Medium Duty, Size 120-10 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-21,,CUS-21,14587,9481.55,(1 Pack of 100 No),,,,", Size",,,,,Size,120-10 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-22 Copper Tube Terminal Medium Duty, Size 120-12 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-22,,CUS-22,14587,9481.55,(1 Pack of 100 No),,,,", Size",,,,,Size,120-12 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-23 Copper Tube Terminal Medium Duty, Size 120-16 Sqmm",Dowell's,Panel & Panel Accessories,Copper Series,Copper Tube Terminal Medium Duty,Medium Duty,CUS-23,,CUS-23,14587,9481.55,(1 Pack of 100 No),,,,", Size",,,,,Size,120-16 Sqmm,,,,,,,,,,,,,,,,,,,,,1721206709-Product-Screenshot 2024-07-16 144311.png,,,18%,,,,,,,,,1,1-2 Days,
