c1_category,c2_category,leaf_category
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-15*15"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-15*20"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-15*30"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-15*37"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-25*38"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-25*57"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-35*75"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-35*100"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-35*125"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-45*125"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-45*150"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-45*175"
Industrial Hardware Section,Drag Chain,"Drag Chain, Size-60*150"
Industrial Hardware Section,Polyamide Rigid Flexiable Conduits,"Polyamide Rigid Flexiable Conduits, Dia(InXOut)-6.5mm*10.0mm"
Industrial Hardware Section,Polyamide Rigid Flexiable Conduits,"Polyamide Rigid Flexiable Conduits, Dia(InXOut)-10.0mm*13.0mm"
Industrial Hardware Section,Polyamide Rigid Flexiable Conduits,"Polyamide Rigid Flexiable Conduits, Dia(InXOut)-12.0mm*15.8mm"
Industrial Hardware Section,Polyamide Rigid Flexiable Conduits,"Polyamide Rigid Flexiable Conduits, Dia(InXOut)-14.3mm*18.5mm"
Industrial Hardware Section,Polyamide Rigid Flexiable Conduits,"Polyamide Rigid Flexiable Conduits, Dia(InXOut)-17.0mm*21.2mm"
Industrial Hardware Section,Polyamide Rigid Flexiable Conduits,"Polyamide Rigid Flexiable Conduits, Dia(InXOut)-23.0mm*28.5mm"
Industrial Hardware Section,Polyamide Rigid Flexiable Conduits,"Polyamide Rigid Flexiable Conduits, Dia(InXOut)-29.0mm*34.5mm"
Industrial Hardware Section,Polyamide Rigid Flexiable Conduits,"Polyamide Rigid Flexiable Conduits, Dia(InXOut)-36.0mm*42.5mm"
Industrial Hardware Section,Polyamide Rigid Flexiable Conduits,"Polyamide Rigid Flexiable Conduits, Dia(InXOut)-48.0mm*54.5mm"
