name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's DBW-01SS Double Compression Armoured Weather Proof Brass Cable Glands 3/4"" ( 1 Pack of 56 No)",Dowell's,Panel & Panel Accessories,Cable Glands,Double Compersion Armoured Glands,Double Compression Armoured Weather Proof Brass Cable Glands,DBW-01SS,,DBW-01SS,280.16,182.104,Piece,( 1 Pack of 56 No),1,"Dowell's DBW-01SS Double Compression Armoured Weather Proof Brass Cable Glands 3/4""",,,,,,Nipple ET Thread,"3/4""",Type,Double Compression armoured Weather Proof Brass Cable Glands,Suitable Over All Diameter,6.0-12.0,,,,,,,,,,,,,,,,,1721717109-Product-glands dowell.PNG,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's DBW-01S Double Compression Armoured Weather Proof Brass Cable Glands 3/4"" ( 1 Pack of 50 No)",Dowell's,Panel & Panel Accessories,Cable Glands,Double Compersion Armoured Glands,Double Compression Armoured Weather Proof Brass Cable Glands,DBW-01S,,DBW-01S,321.83,209.1895,Piece,( 1 Pack of 50 No),1,"Dowell's DBW-01S Double Compression Armoured Weather Proof Brass Cable Glands 3/4""",,,,,,Nipple ET Thread,"3/4""",Type,Double Compression armoured Weather Proof Brass Cable Glands,Suitable Over All Diameter,12.0-16.5,,,,,,,,,,,,,,,,,1721717109-Product-glands dowell.PNG,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's DBW-01 Double Compression Armoured Weather Proof Brass Cable Glands 3/4"" ( 1 Pack of 36 No)",Dowell's,Panel & Panel Accessories,Cable Glands,Double Compersion Armoured Glands,Double Compression Armoured Weather Proof Brass Cable Glands,DBW-01,,DBW-01,360.03,234.0195,Piece,( 1 Pack of 36 No),1,"Dowell's DBW-01 Double Compression Armoured Weather Proof Brass Cable Glands 3/4""",,,,,,Nipple ET Thread,"3/4""",Type,Double Compression armoured Weather Proof Brass Cable Glands,Suitable Over All Diameter,16.5-18.5,,,,,,,,,,,,,,,,,1721717109-Product-glands dowell.PNG,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's DBW-01A Double Compression Armoured Weather Proof Brass Cable Glands 1"" ( 1 Pack of 30 No)",Dowell's,Panel & Panel Accessories,Cable Glands,Double Compersion Armoured Glands,Double Compression Armoured Weather Proof Brass Cable Glands,DBW-01A,,DBW-01A,412.12,267.878,Piece,( 1 Pack of 30 No),1,"Dowell's DBW-01A Double Compression Armoured Weather Proof Brass Cable Glands 1""",,,,,,Nipple ET Thread,"1""",Type,Double Compression armoured Weather Proof Brass Cable Glands,Suitable Over All Diameter,16.5-18.5,,,,,,,,,,,,,,,,,1721717109-Product-glands dowell.PNG,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's DBW-02 Double Compression Armoured Weather Proof Brass Cable Glands 1"" ( 1 Pack of 20 No)",Dowell's,Panel & Panel Accessories,Cable Glands,Double Compersion Armoured Glands,Double Compression Armoured Weather Proof Brass Cable Glands,DBW-02,,DBW-02,460.74,299.481,Piece,( 1 Pack of 20 No),1,"Dowell's DBW-02 Double Compression Armoured Weather Proof Brass Cable Glands 1""",,,,,,Nipple ET Thread,"1""",Type,Double Compression armoured Weather Proof Brass Cable Glands,Suitable Over All Diameter,18.5-20.0,,,,,,,,,,,,,,,,,1721717109-Product-glands dowell.PNG,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's DBW-02A Double Compression Armoured Weather Proof Brass Cable Glands 3/4"" ( 1 Pack of 20 No)",Dowell's,Panel & Panel Accessories,Cable Glands,Double Compersion Armoured Glands,Double Compression Armoured Weather Proof Brass Cable Glands,DBW-02A,,DBW-02A,475.79,309.2635,Piece,( 1 Pack of 20 No),1,"Dowell's DBW-02A Double Compression Armoured Weather Proof Brass Cable Glands 3/4""",,,,,,Nipple ET Thread,"3/4""",Type,Double Compression armoured Weather Proof Brass Cable Glands,Suitable Over All Diameter,18.5-20.0,,,,,,,,,,,,,,,,,1721717109-Product-glands dowell.PNG,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's DBW-03 Double Compression Armoured Weather Proof Brass Cable Glands 1"" ( 1 Pack of 20 No)",Dowell's,Panel & Panel Accessories,Cable Glands,Double Compersion Armoured Glands,Double Compression Armoured Weather Proof Brass Cable Glands,DBW-03,,DBW-03,488.53,317.5445,Piece,( 1 Pack of 20 No),1,"Dowell's DBW-03 Double Compression Armoured Weather Proof Brass Cable Glands 1""",,,,,,Nipple ET Thread,"1""",Type,Double Compression armoured Weather Proof Brass Cable Glands,Suitable Over All Diameter,20.0-23.0,,,,,,,,,,,,,,,,,1721717109-Product-glands dowell.PNG,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's DBW-04 Double Compression Armoured Weather Proof Brass Cable Glands 1"" ( 1 Pack of 12 No)",Dowell's,Panel & Panel Accessories,Cable Glands,Double Compersion Armoured Glands,Double Compression Armoured Weather Proof Brass Cable Glands,DBW-04,,DBW-04,637.86,414.609,Piece,( 1 Pack of 12 No),1,"Dowell's DBW-04 Double Compression Armoured Weather Proof Brass Cable Glands 1""",,,,,,Nipple ET Thread,"1""",Type,Double Compression armoured Weather Proof Brass Cable Glands,Suitable Over All Diameter,23.0-26.0,,,,,,,,,,,,,,,,,1721717109-Product-glands dowell.PNG,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's DBW-04A Double Compression Armoured Weather Proof Brass Cable Glands 1.1/4"" ( 1 Pack of 12 No)",Dowell's,Panel & Panel Accessories,Cable Glands,Double Compersion Armoured Glands,Double Compression Armoured Weather Proof Brass Cable Glands,DBW-04A,,DBW-04A,717.73,466.5245,Piece,( 1 Pack of 12 No),1,"Dowell's DBW-04A Double Compression Armoured Weather Proof Brass Cable Glands 1.1/4""",,,,,,Nipple ET Thread,"1.1/4""",Type,Double Compression armoured Weather Proof Brass Cable Glands,Suitable Over All Diameter,23.0-26.0,,,,,,,,,,,,,,,,,1721717109-Product-glands dowell.PNG,,,18%,,,,,,,,,1,4-6 Days,
"Dowell's DBW-05 Double Compression Armoured Weather Proof Brass Cable Glands 1.1/4"" ( 1 Pack of 12 No)",Dowell's,Panel & Panel Accessories,Cable Glands,Double Compersion Armoured Glands,Double Compression Armoured Weather Proof Brass Cable Glands,DBW-05,,DBW-05,798.77,519.2005,Piece,( 1 Pack of 12 No),1,"Dowell's DBW-05 Double Compression Armoured Weather Proof Brass Cable Glands 1.1/4""",,,,,,Nipple ET Thread,"1.1/4""",Type,Double Compression armoured Weather Proof Brass Cable Glands,Suitable Over All Diameter,26.0-30.0,,,,,,,,,,,,,,,,,1721717109-Product-glands dowell.PNG,,,18%,,,,,,,,,1,4-6 Days,
