c1_category,c2_category,leaf_category
Crimping Tools,Hand Operated Crimping Tools,1.5-6 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,0.5-16 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,0.75 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,1.5 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,2.5 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,4-6 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,10-95 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,10-185 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,1.5-10 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,10-185 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,25-400 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,16-300 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,6-50 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,16-50 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,25-400 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,10-35 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,0.25-6 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,120 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,240 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,500 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,0.5-6 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,1.5-4.6 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,10-185 mm² Hand Operated Crimping Tools
Crimping Tools,Hand Operated Crimping Tools,240 mm² Hand Operated Crimping Tools
