name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's SYT-17- Hand Operated Crimping Tools, 1.5-6 mm²",Dowell's,Tools,Crimping Tools,Hand Operated Crimping Tools,1.5-6 mm² Hand Operated Crimping Tools,SYT-17,,SYT-17,"1,126.65",732.3225,Piece,Each,1,"Dowell's SYT-17- Hand Operated Crimping Tools, 1.5-6 mm²",,1721805946-Product-234.PNG,,,,Type of Product,Crimping Tool,Capacity,1.5-6 mm²,Operated By,Hand,,,,,,,,,,,,,,,,,1721805946-Product-12.PNG,,,18%,,,,,,,,,1,4-6 days,
"Dowell's SYT-2- Hand Operated Crimping Tools, 0.5-16 mm²",Dowell's,Tools,Crimping Tools,Hand Operated Crimping Tools,0.5-16 mm² Hand Operated Crimping Tools,SYT-2,,SYT-2,"1,432.20",930.93,Piece,Each,1,"Dowell's SYT-2- Hand Operated Crimping Tools, 0.5-16 mm²",,1721805946-Product-234.PNG,,,,Type of Product,Crimping Tool,Capacity,0.5-16 mm²,Operated By,Hand,,,,,,,,,,,,,,,,,1721805946-Product-12.PNG,,,18%,,,,,,,,,1,4-6 days,
"Dowell's SYG-2622- Hand Operated Crimping Tools, 0.75 mm²",Dowell's,Tools,Crimping Tools,Hand Operated Crimping Tools,0.75 mm² Hand Operated Crimping Tools,SYG-2622,,SYG-2622,"2,058.37",1337.941,Piece,Each,1,"Dowell's SYG-2622- Hand Operated Crimping Tools, 0.75 mm²",,1721805946-Product-234.PNG,,,,Type of Product,Crimping Tool,Capacity,0.75 mm²,Operated By,Hand,,,,,,,,,,,,,,,,,1721805946-Product-12.PNG,,,18%,,,,,,,,,1,4-6 days,
"Dowell's SYG-2216- Hand Operated Crimping Tools, 1.5 mm²",Dowell's,Tools,Crimping Tools,Hand Operated Crimping Tools,1.5 mm² Hand Operated Crimping Tools,SYG-2216,,SYG-2216,"2,058.37",1337.941,Piece,Each,1,"Dowell's SYG-2216- Hand Operated Crimping Tools, 1.5 mm²",,1721805946-Product-234.PNG,,,,Type of Product,Crimping Tool,Capacity,1.5 mm²,Operated By,Hand,,,,,,,,,,,,,,,,,1721805946-Product-12.PNG,,,18%,,,,,,,,,1,4-6 days,
"Dowell's SYH-1614- Hand Operated Crimping Tools, 2.5 mm²",Dowell's,Tools,Crimping Tools,Hand Operated Crimping Tools,2.5 mm² Hand Operated Crimping Tools,SYH-1614,,SYH-1614,"2,058.37",1337.941,Piece,Each,1,"Dowell's SYH-1614- Hand Operated Crimping Tools, 2.5 mm²",,1721805946-Product-234.PNG,,,,Type of Product,Crimping Tool,Capacity,2.5 mm²,Operated By,Hand,,,,,,,,,,,,,,,,,1721805946-Product-12.PNG,,,18%,,,,,,,,,1,4-6 days,
"Dowell's SYI-1210/SYO-1210- Hand Operated Crimping Tools, 4-6 mm²",Dowell's,Tools,Crimping Tools,Hand Operated Crimping Tools,4-6 mm² Hand Operated Crimping Tools,SYI-1210/SYO-1210,,SYI-1210/SYO-1210,"3,499.34",2274.571,Piece,Each,1,"Dowell's SYI-1210/SYO-1210- Hand Operated Crimping Tools, 4-6 mm²",,1721805946-Product-234.PNG,,,,Type of Product,Crimping Tool,Capacity,4-6 mm²,Operated By,Hand,,,,,,,,,,,,,,,,,1721805946-Product-12.PNG,,,18%,,,,,,,,,1,4-6 days,
"Dowell's SYB-95- Hand Operated Crimping Tools, 10-95 mm²",Dowell's,Tools,Crimping Tools,Hand Operated Crimping Tools,10-95 mm² Hand Operated Crimping Tools,SYB-95,,SYB-95,"9,215.85",5990.303,Piece,Each,1,"Dowell's SYB-95- Hand Operated Crimping Tools, 10-95 mm²",,1721805946-Product-234.PNG,,,,Type of Product,Crimping Tool,Capacity,10-95 mm²,Operated By,Hand,,,,,,,,,,,,,,,,,1721805946-Product-12.PNG,,,18%,,,,,,,,,1,4-6 days,
"Dowell's SYB-9502- Hand Operated Crimping Tools, 10-185 mm²",Dowell's,Tools,Crimping Tools,Hand Operated Crimping Tools,10-185 mm² Hand Operated Crimping Tools,SYB-9502,,SYB-9502,"12,770.10",8300.565,Piece,Each,1,"Dowell's SYB-9502- Hand Operated Crimping Tools, 10-185 mm²",,1721805946-Product-234.PNG,,,,Type of Product,Crimping Tool,Capacity,10-185 mm²,Operated By,Hand,,,,,,,,,,,,,,,,,1721805946-Product-12.PNG,,,18%,,,,,,,,,1,4-6 days,
"Dowell's SYA-427- Hand Operated Crimping Tools, 1.5-10 mm²",Dowell's,Tools,Crimping Tools,Hand Operated Crimping Tools,1.5-10 mm² Hand Operated Crimping Tools,SYA-427,,SYA-427,"1,231.65",800.5725,Piece,Each,1,"Dowell's SYA-427- Hand Operated Crimping Tools, 1.5-10 mm²",,1721805946-Product-234.PNG,,,,Type of Product,Crimping Tool,Capacity,1.5-10 mm²,Operated By,Hand,,,,,,,,,,,,,,,,,1721805946-Product-12.PNG,,,18%,,,,,,,,,1,4-6 days,
"Dowell's SYT-185- Hand Operated Crimping Tools, 10-185 mm²",Dowell's,Tools,Crimping Tools,Hand Operated Crimping Tools,10-185 mm² Hand Operated Crimping Tools,SYT-185,,SYT-185,"8,958.60",5823.09,Piece,Each,1,"Dowell's SYT-185- Hand Operated Crimping Tools, 10-185 mm²",,1721805946-Product-234.PNG,,,,Type of Product,Crimping Tool,Capacity,10-185 mm²,Operated By,Hand,,,,,,,,,,,,,,,,,1721805946-Product-12.PNG,,,18%,,,,,,,,,1,4-6 days,
