name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"BCH BIL-50000-Single Door Box, WHD : 200x200x150, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 200x200x150, Sheet Steel, IP55",BIL-50000,,BIL-50000,,3160,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50010-Single Door Box, WHD : 200x300x150, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 200x300x150, Sheet Steel, IP55",BIL-50010,,BIL-50010,,3615,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50020-Single Door Box, WHD : 250x300x150, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 250x300x150, Sheet Steel, IP55",BIL-50020,,BIL-50020,,3755,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50030-Single Door Box, WHD : 300x300x150, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 300x300x150, Sheet Steel, IP55",BIL-50030,,BIL-50030,,4050,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50050-Single Door Box, WHD : 300x300x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 300x300x200, Sheet Steel, IP55",BIL-50050,,BIL-50050,,4315,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50060-Single Door Box, WHD : 300x400x150, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 300x400x150, Sheet Steel, IP55",BIL-50060,,BIL-50060,,4500,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50080-Single Door Box, WHD : 300x400x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 300x400x200, Sheet Steel, IP55",BIL-50080,,BIL-50080,,5050,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50090-Single Door Box, WHD : 400x300x150, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x300x150, Sheet Steel, IP55",BIL-50090,,BIL-50090,,4410,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50110-Single Door Box, WHD : 400x300x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x300x200, Sheet Steel, IP55",BIL-50110,,BIL-50110,,4945,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50120-Single Door Box, WHD : 400x400x150, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x400x150, Sheet Steel, IP55",BIL-50120,,BIL-50120,,5050,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50140-Single Door Box, WHD : 400x400x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x400x200, Sheet Steel, IP55",BIL-50140,,BIL-50140,,5350,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50150-Single Door Box, WHD : 400x500x150, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x500x150, Sheet Steel, IP55",BIL-50150,,BIL-50150,,5700,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50170-Single Door Box, WHD : 400x500x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x500x200, Sheet Steel, IP55",BIL-50170,,BIL-50170,,6040,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50180-Single Door Box, WHD : 500x500x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 500x500x200, Sheet Steel, IP55",BIL-50180,,BIL-50180,,7120,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50190-Single Door Box, WHD : 400x600x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x600x200, Sheet Steel, IP55",BIL-50190,,BIL-50190,,7120,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50210-Single Door Box, WHD : 500x600x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 500x600x200, Sheet Steel, IP55",BIL-50210,,BIL-50210,,8170,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50220-Single Door Box, WHD : 500x700x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 500x700x200, Sheet Steel, IP55",BIL-50220,,BIL-50220,,9285,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50230-Single Door Box, WHD : 500x700x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 500x700x300, Sheet Steel, IP55",BIL-50230,,BIL-50230,,10685,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50240-Single Door Box, WHD : 600x400x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 600x400x200, Sheet Steel, IP55",BIL-50240,,BIL-50240,,7255,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50250-Single Door Box, WHD : 600x400x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 600x400x300, Sheet Steel, IP55",BIL-50250,,BIL-50250,,9325,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50260-Single Door Box, WHD : 600x500x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 600x500x200, Sheet Steel, IP55",BIL-50260,,BIL-50260,,8415,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50270-Single Door Box, WHD : 600x600x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 600x600x200, Sheet Steel, IP55",BIL-50270,,BIL-50270,,8755,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50280-Single Door Box, WHD : 600x600x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 600x600x300, Sheet Steel, IP55",BIL-50280,,BIL-50280,,10525,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50290-Single Door Box, WHD : 600x700x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 600x700x200, Sheet Steel, IP55",BIL-50290,,BIL-50290,,10550,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50300-Single Door Box, WHD : 600x800x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 600x800x200, Sheet Steel, IP55",BIL-50300,,BIL-50300,,10580,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50320-Single Door Box, WHD : 600x800x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 600x800x300, Sheet Steel, IP55",BIL-50320,,BIL-50320,,12105,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50330-Single Door Box, WHD : 600x1000x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 600x1000x200, Sheet Steel, IP55",BIL-50330,,BIL-50330,,13340,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50340-Single Door Box, WHD : 600x1000x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 600x1000x300, Sheet Steel, IP55",BIL-50340,,BIL-50340,,15135,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50310-Single Door Box, WHD : 800x800x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 800x800x300, Sheet Steel, IP55",BIL-50310,,BIL-50310,,14120,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50350-Single Door Box, WHD : 800x1000x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 800x1000x200, Sheet Steel, IP55",BIL-50350,,BIL-50350,,15720,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50360-Single Door Box, WHD : 800x1000x250, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 800x1000x250, Sheet Steel, IP55",BIL-50360,,BIL-50360,,16050,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50390-Single Door Box, WHD : 800x1000x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 800x1000x300, Sheet Steel, IP55",BIL-50390,,BIL-50390,,16240,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50395-Single Door Box, WHD : 800x1200x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 800x1200x300, Sheet Steel, IP55",BIL-50395,,BIL-50395,,20235,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50500-Double Door Box, WHD : 1000x800x200, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Double Door Box,"WHD : 1000x800x200, Sheet Steel, IP55",BIL-50500,,BIL-50500,,16970,Piece,Each,1,,,,,,,Type,Double Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805383-Product-BCH-2.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50520-Double Door Box, WHD : 1000x800x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Double Door Box,"WHD : 1000x800x300, Sheet Steel, IP55",BIL-50520,,BIL-50520,,19460,Piece,Each,1,,,,,,,Type,Double Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805383-Product-BCH-2.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50540-Double Door Box, WHD : 1000x1000x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Double Door Box,"WHD : 1000x1000x300, Sheet Steel, IP55",BIL-50540,,BIL-50540,,22630,Piece,Each,1,,,,,,,Type,Double Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805383-Product-BCH-2.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50550-Double Door Box, WHD : 1000x1200x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Double Door Box,"WHD : 1000x1200x300, Sheet Steel, IP55",BIL-50550,,BIL-50550,,26015,Piece,Each,1,,,,,,,Type,Double Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805383-Product-BCH-2.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50560-Double Door Box, WHD : 1000x1400x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Double Door Box,"WHD : 1000x1400x300, Sheet Steel, IP55",BIL-50560,,BIL-50560,,31115,Piece,Each,1,,,,,,,Type,Double Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805383-Product-BCH-2.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50570-Double Door Box, WHD : 1200x1400x300, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Double Door Box,"WHD : 1200x1400x300, Sheet Steel, IP55",BIL-50570,,BIL-50570,,34595,Piece,Each,1,,,,,,,Type,Double Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805383-Product-BCH-2.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50580-Double Door Box, WHD : 1000x1400x400, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Double Door Box,"WHD : 1000x1400x400, Sheet Steel, IP55",BIL-50580,,BIL-50580,,32810,Piece,Each,1,,,,,,,Type,Double Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805383-Product-BCH-2.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-50590-Double Door Box, WHD : 1200x1400x400, Sheet Steel, IP55",BCH,Panel & Panel Accessories,Electric Enclosure,Double Door Box,"WHD : 1200x1400x400, Sheet Steel, IP55",BIL-50590,,BIL-50590,,36110,Piece,Each,1,,,,,,,Type,Double Door,Range,IP55,Sheet,Steel,,,,,,,,,,,,,,,,,1721805383-Product-BCH-2.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-60000-Single Door Box, WHD : 200x200x150, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 200x200x150, Sheet Steel, IP66",BIL-60000,,BIL-60000,,3320,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-60010-Single Door Box, WHD : 200x300x150, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 200x300x150, Sheet Steel, IP66",BIL-60010,,BIL-60010,,3690,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-60020-Single Door Box, WHD : 250x300x150, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 250x300x150, Sheet Steel, IP66",BIL-60020,,BIL-60020,,3875,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-60030-Single Door Box, WHD : 300x300x150, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 300x300x150, Sheet Steel, IP66",BIL-60030,,BIL-60030,,4210,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-60050-Single Door Box, WHD : 300x300x200, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 300x300x200, Sheet Steel, IP66",BIL-60050,,BIL-60050,,4570,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCHBIL-60060-Single Door Box, WHD : 300x400x150, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 300x400x150, Sheet Steel, IP66",BIL-60060,,BIL-60060,,4740,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-60080-Single Door Box, WHD : 300x400x200, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 300x400x200, Sheet Steel, IP66",BIL-60080,,BIL-60080,,5080,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-60090-Single Door Box, WHD : 400x300x150, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x300x150, Sheet Steel, IP66",BIL-60090,,BIL-60090,,4675,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-60110-Single Door Box, WHD : 400x300x200, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x300x200, Sheet Steel, IP66",BIL-60110,,BIL-60110,,5020,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-60120-Single Door Box, WHD : 400x400x150, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x400x150, Sheet Steel, IP66",BIL-60120,,BIL-60120,,5145,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-60140-Single Door Box, WHD : 400x400x200, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x400x200, Sheet Steel, IP66",BIL-60140,,BIL-60140,,5515,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
"BCH BIL-60150-Single Door Box, WHD : 400x500x150, Sheet Steel, IP66",BCH,Panel & Panel Accessories,Electric Enclosure,Single Door Box,"WHD : 400x500x150, Sheet Steel, IP66",BIL-60150,,BIL-60150,,6000,Piece,Each,1,,,1721805211-Product-BCH.webp,,,,Type,Single Door,Range,IP66,Sheet,Steel,,,,,,,,,,,,,,,,,1721805236-Product-BCH-1.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
