name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Dowell's SYD-20A- Hydraulic Crimping Tools 10-300 mm²,Dowell's,Tools,Crimping Tools,Hydraulic Crimping Tools,10-300 mm² Hydraulic Crimping Tools,SYD-20A,,SYD-20A,"33,791.10",,Piece,Each,1,Dowell's SYD-20A- Hydraulic Crimping Tools 10-300 mm²,,,,,,Type of Product,Hydraulic Crimping Tool,Capacity,10-300 mm²,,,,,,,,,,,,,,,,,,,1721816799-Product-hyd.PNG,,,18%,,,,,,,,,1,4-6 days,
Dowell's SYD-20B- Hydraulic Crimping Tools 50-400 mm²,Dowell's,Tools,Crimping Tools,Hydraulic Crimping Tools,50-400 mm² Hydraulic Crimping Tools,SYD-20B,,SYD-20B,"41,503.35",,Piece,Each,1,Dowell's SYD-20B- Hydraulic Crimping Tools 50-400 mm²,,,,,,Type of Product,Hydraulic Crimping Tool,Capacity,50-400 mm²,,,,,,,,,,,,,,,,,,,1721816799-Product-hyd.PNG,,,18%,,,,,,,,,1,4-6 days,
Dowell's SYD-20C- Hydraulic Crimping Tools 10-300 mm²,Dowell's,Tools,Crimping Tools,Hydraulic Crimping Tools,10-300 mm² Hydraulic Crimping Tools,SYD-20C,,SYD-20C,"43,095.15",,Piece,Each,1,Dowell's SYD-20C- Hydraulic Crimping Tools 10-300 mm²,,,,,,Type of Product,Hydraulic Crimping Tool,Capacity,10-300 mm²,,,,,,,,,,,,,,,,,,,1721816799-Product-hyd.PNG,,,18%,,,,,,,,,1,4-6 days,
Dowell's SYE-150A- Hydraulic Crimping Tools 10-1000 mm²,Dowell's,Tools,Crimping Tools,Hydraulic Crimping Tools,10-1000 mm² Hydraulic Crimping Tools,SYE-150A,,SYE-150A,"54,909.75",,Piece,Each,1,Dowell's SYE-150A- Hydraulic Crimping Tools 10-1000 mm²,,,,,,Type of Product,Hydraulic Crimping Tool,Capacity,10-1000 mm²,,,,,,,,,,,,,,,,,,,1721816799-Product-hyd.PNG,,,18%,,,,,,,,,1,4-6 days,
Dowell's SYT-107- Hydraulic Crimping Tools 10-120 mm²,Dowell's,Tools,Crimping Tools,Hydraulic Crimping Tools,10-120 mm² Hydraulic Crimping Tools,SYT-107,,SYT-107,"13,343.56",,Piece,Each,1,Dowell's SYT-107- Hydraulic Crimping Tools 10-120 mm²,,,,,,Type of Product,Hydraulic Crimping Tool,Capacity,10-120 mm²,,,,,,,,,,,,,,,,,,,1721816799-Product-hyd.PNG,,,18%,,,,,,,,,1,4-6 days,
Dowell's SYE-150B- Hydraulic Crimping Tools 10-1000 mm²,Dowell's,Tools,Crimping Tools,Hydraulic Crimping Tools,10-1000 mm² Hydraulic Crimping Tools,SYE-150B,,SYE-150B,"60,602.85",,Piece,Each,1,Dowell's SYE-150B- Hydraulic Crimping Tools 10-1000 mm²,,,,,,Type of Product,Hydraulic Crimping Tool,Capacity,10-1000 mm²,,,,,,,,,,,,,,,,,,,1721816778-Product-hydrolic.PNG,,,18%,,,,,,,,,1,4-6 days,
Dowell's SYE-150C- Hydraulic Crimping Tools 10-1000 mm²,Dowell's,Tools,Crimping Tools,Hydraulic Crimping Tools,10-1000 mm²Hydraulic Crimping Tools,SYE-150C,,SYE-150C,"53,489.10",,Piece,Each,1,Dowell's SYE-150C- Hydraulic Crimping Tools 10-1000 mm²,,,,,,Type of Product,Hydraulic Crimping Tool,Capacity,10-1000 mm²,,,,,,,,,,,,,,,,,,,1721816778-Product-hydrolic.PNG,,,18%,,,,,,,,,1,4-6 days,
Dowell's SYT-106- Hydraulic Crimping Tools 16-300 mm²,Dowell's,Tools,Crimping Tools,Hydraulic Crimping Tools,16-300 mm² Hydraulic Crimping Tools,SYT-106,,SYT-106,"12,081.30",,Piece,Each,1,Dowell's SYT-106- Hydraulic Crimping Tools 16-300 mm²,,,,,,Type of Product,Hydraulic Crimping Tool,Capacity,16-300 mm²,,,,,,,,,,,,,,,,,,,1721816778-Product-hydrolic.PNG,,,18%,,,,,,,,,1,4-6 days,
Dowell's SYT-102R- Hydraulic Crimping Tools 50-630 mm²,Dowell's,Tools,Crimping Tools,Hydraulic Crimping Tools,50-630 mm² Hydraulic Crimping Tools,SYT-102R,,SYT-102R,"54,428.22",,Piece,Each,1,Dowell's SYT-102R- Hydraulic Crimping Tools 50-630 mm²,,,,,,Type of Product,Hydraulic Crimping Tool,Capacity,50-630 mm²,,,,,,,,,,,,,,,,,,,1721816778-Product-hydrolic.PNG,,,18%,,,,,,,,,1,4-6 days,
Dowell's SYT-109- Hydraulic Crimping Tools 50-400 mm²,Dowell's,Tools,Crimping Tools,Hydraulic Crimping Tools,50-400 mm² Hydraulic Crimping Tools,SYT-109,,SYT-109,"74,926.95",,Piece,Each,1,Dowell's SYT-109- Hydraulic Crimping Tools 50-400 mm²,,,,,,Type of Product,Hydraulic Crimping Tool,Capacity,50-400 mm²,,,,,,,,,,,,,,,,,,,1721816778-Product-hydrolic.PNG,,,18%,,,,,,,,,1,4-6 days,
