name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Dowell's AWP-01- Aluminium Reducer Terminals 2.5 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Reducer Terminals,2.5 mm²-E Aluminium Reducer Terminals,AWP-01,,AWP-01,1031,(Pack of 100),Piece,670.15,1,,,,,,,Size,2.5 mm²-E,Type of Product,Aluminium Reducer Terminals,,,,,,,,,,,,,,,,,,,1721905672-Product-dowells.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's AWP-07- Aluminium Reducer Terminals 2.5 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Reducer Terminals,2.5 mm²-E Aluminium Reducer Terminals,AWP-07,,AWP-07,1031,(Pack of 100),Piece,670.15,1,,,,,,,Size,2.5 mm²-E,Type of Product,Aluminium Reducer Terminals,,,,,,,,,,,,,,,,,,,1721905672-Product-dowells.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's AWP-15- Aluminium Reducer Terminals 4 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Reducer Terminals,4 mm²-E Aluminium Reducer Terminals,AWP-15,,AWP-15,1031,(Pack of 100),Piece,670.15,1,,,,,,,Size,4 mm²-E,Type of Product,Aluminium Reducer Terminals,,,,,,,,,,,,,,,,,,,1721905672-Product-dowells.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's AWP-16- Aluminium Reducer Terminals 4 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Reducer Terminals,4 mm²-E Aluminium Reducer Terminals,AWP-16,,AWP-16,950,(Pack of 100),Piece,617.5,1,,,,,,,Size,4 mm²-E,Type of Product,Aluminium Reducer Terminals,,,,,,,,,,,,,,,,,,,1721905672-Product-dowells.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's AWP-17- Aluminium Reducer Terminals 6 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Reducer Terminals,6 mm²-E Aluminium Reducer Terminals,AWP-17,,AWP-17,1088,(Pack of 100),Piece,707.2,1,,,,,,,Size,6 mm²-E,Type of Product,Aluminium Reducer Terminals,,,,,,,,,,,,,,,,,,,1721905672-Product-dowells.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's AWP-18- Aluminium Reducer Terminals 6 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Reducer Terminals,6 mm²-E Aluminium Reducer Terminals,AWP-18,,AWP-18,950,(Pack of 100),Piece,617.5,1,,,,,,,Size,6 mm²-E,Type of Product,Aluminium Reducer Terminals,,,,,,,,,,,,,,,,,,,1721905672-Product-dowells.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's AWP-19- Aluminium Reducer Terminals 10 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Reducer Terminals,10 mm²-E Aluminium Reducer Terminals,AWP-19,,AWP-19,1182,(Pack of 100),Piece,768.3,1,,,,,,,Size,10 mm²-E,Type of Product,Aluminium Reducer Terminals,,,,,,,,,,,,,,,,,,,1721905672-Product-dowells.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's AWP-20- Aluminium Reducer Terminals 10 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Reducer Terminals,10 mm²-E Aluminium Reducer Terminals,AWP-20,,AWP-20,1182,(Pack of 100),Piece,768.3,1,,,,,,,Size,10 mm²-E,Type of Product,Aluminium Reducer Terminals,,,,,,,,,,,,,,,,,,,1721905672-Product-dowells.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's AWP-21- Aluminium Reducer Terminals 10 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Reducer Terminals,10 mm²-E Aluminium Reducer Terminals,AWP-21,,AWP-21,1182,(Pack of 100),Piece,768.3,1,,,,,,,Size,10 mm²-E,Type of Product,Aluminium Reducer Terminals,,,,,,,,,,,,,,,,,,,1721905672-Product-dowells.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's AWP-22- Aluminium Reducer Terminals 10 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Reducer Terminals,10 mm²-E Aluminium Reducer Terminals,AWP-22,,AWP-22,1182,(Pack of 100),Piece,768.3,1,,,,,,,Size,10 mm²-E,Type of Product,Aluminium Reducer Terminals,,,,,,,,,,,,,,,,,,,1721905672-Product-dowells.PNG,,,18%,,,,,,,,,1,1-2 Days,
